No,Date,Username,Tweet
1,2021-11-04T23:21:01.000Z,"Angela Hurtado
@angelahurtado11
·
Nov 5, 2021",My goal for my next trip is Bali
2,2021-11-04T23:18:52.000Z,"Mathiemagik
@jimtimshim
·
Nov 5, 2021",They’ll be in the same boat because they won’t be able to train or travel or play. Time to get that Bali security license Nelson.
3,2021-11-04T21:24:28.000Z,"Miranda Duncan (Wayan Roshni Rose)
@minderellasf
·
Nov 5, 2021","They’re on trend here in textiles focused Bali, Indonesia and IDX is up is relevant IMO. Also Levi’s and GAP NYSE fashion wars and Levi’s bought Beyond Yoga deal comes to mind. Breeze blown for like an evening beach sunset walk pageant presence and yogic sales on the internet."
4,2021-11-04T20:19:02.000Z,"Tunechi
@SheDontGetTired
·
Nov 5, 2021",I got half a mind to take a trip to Bali since I'm close
5,2021-11-04T17:42:11.000Z,"Indonesian Embassy in Washington DC, USA
@IndonesiainDC
·
Nov 5, 2021","generations for over a thousand years, whose results can be admired in the wonderful terraced rice fields of Bali.

----------
Source & photo: 
@indtravel"
6,2021-11-04T17:26:47.000Z,"蔡语冰 Cai Yubing Guardian (slow)
@caibingguardian
·
Nov 5, 2021","Me: ""If you could travel anywhere, where would you go? ""

Cai Yubing: ""I want to go to Bali. ""

(Note: i don't feel comfortable posting screenshots again, maybe later, but you can take my word for it - I've been 100% honest with you this whole time )

#蔡语冰 #CAIYUBING"
7,2021-11-04T16:11:55.000Z,"RUSHIL
@rushilofficial
·
Nov 4, 2021",Spontaneous trip to Bali sounds better with every passing day
8,2021-11-04T14:58:47.000Z,"Glen Cocoa
@riricakesss
·
Nov 4, 2021","You’re welcome, wait wasn’t a Bali trip supposed to happen?"
9,2021-11-04T13:24:54.000Z,"Shashank Shekhar
@Shashankssa
·
Nov 4, 2021",Read the group name. It's called comedy culture .
10,2021-11-04T13:19:26.000Z,"a.shooketh.fan
@oreokinolulu
·
Nov 4, 2021",Yess! I'm going to Bali on the 20th for some vacation too! Have fun Koji!
11,2021-11-04T12:33:25.000Z,"Your Resident Hot Girl•
@OyinSoExtra
·
Nov 4, 2021","I want an Apple Watch, iPad, 2 bad bitch wigs and an all expense paid trip to Bali and I’ll be alright."
12,2021-11-04T12:13:45.000Z,"devyyy
@wargamars0912
·
Nov 4, 2021",Missing my Bali trip! 
13,2021-11-04T12:08:04.000Z,"Razzy
@RazzleDazzle_20
·
Nov 4, 2021",I would love to travel to Bali 
14,2021-11-04T11:46:28.000Z,"Kenneth Lai
@kenlaiya
·
Nov 4, 2021","@hkvittinghus
 great episode again with Anders and Kim, keep it up and looking forward to your plans for the podcast in Bali  just a question, with the Badminton Experience going greatly, are you more focused on that now, or will A Year On Tour get some love too? "
15,2021-11-04T11:12:55.000Z,"Alex Napier Holland
@AlexNapierNomad
·
Nov 4, 2021","Fear of missing out on a life of living in luxury beach resorts across Bali and Thailand - with summers in Lisbon?

Sure. But no-one’s going to get FOMO on stepping over human excrement and living in a shithole, shoebox apartment in SF."
16,2021-11-04T10:49:04.000Z,"hahaha
@bymhhj
·
Nov 4, 2021","I am not sure, but at bali some tourist spots have been opened"
17,2021-11-04T10:28:27.000Z,"OhYeahh!
@rhp_alvarez
·
Nov 4, 2021",A trip to Bali lookin more and more appealing 
18,2021-11-04T09:13:07.000Z,"James Fletcher
@James85fletcher
·
Nov 4, 2021","Unfair.

He had to go to Glasgow, AND try to sleep with old Dave Attenborough wheezing through a mask right next to him.

How much punishment can one great statesman take before needing a holiday?

Have we forgotten that Churchill spent the war in Bali, and D-Day was a beach day?"
19,2021-11-04T08:42:21.000Z,"₿REAKOUT ₿EAST
@iam_Beast_
·
Nov 4, 2021",Jiii !! Ham Sab $MEL Invester Friends BALI ghumne jane vale the !!! Now Looks Like BALI Trip Sponcer hogi as MEL Pump hoga to*** 
20,2021-11-04T08:17:42.000Z,"member
@BudzakFilip
·
Nov 4, 2021",Would like to travel to Bali :)
21,2021-11-04T07:34:35.000Z,"tracy
@tracyyeww
·
Nov 4, 2021",my next travel destination will be Bali
