No,Date,Username,Tweet
1,2022-08-30T23:37:25.000Z,"Rinjusticia87
@Kawai87Rin
·
Aug 31, 2022","People used to know Bali. But they don't even know that Bali is in Indonesia.
Yes, Bali is one of island in Indonesia. 
But if you get to know Jakarta, You will also get shock. Jakarta is Capital city &  Metropolitan City of Indonesia."
2,2022-08-30T23:26:06.000Z,"AllshouseDelta
@AllshouseDelta1
·
Aug 31, 2022","Top 12 Places to Visit in Indonesia - Top 12 Indonesia Travel Guide (Includes Bali, Jakarta, Borobudur, Komodo National Park, [VTZHQYI]"
3,2022-08-30T22:31:45.000Z,"G.W.O.
@gwo_design
·
Aug 31, 2022",She’s on a photo shoot in Bali.
4,2022-08-30T22:09:20.000Z,"Lisa L. ade Parody
@lemonade_lisa
·
Aug 31, 2022","Gosh. Just caught up on #MKR. 

If I had of known you only had eat other peoples food, travel around the country & cook twice to get to the Grand Final I would have roped someone in to do it with

Easiest 100k ever! 

Darl the foodie.  No one would join you, like Bali holidays"
5,2022-08-30T21:26:07.000Z,"E||
@deedeescott_
·
Aug 31, 2022",I still wake up in cold sweats thinking about the Bali trip and 
6,2022-08-30T21:01:18.000Z,"Jago Promote
@JagoPromote48
·
Aug 31, 2022",One of fans chanting is Kecha. Inspired by 'Kecak' dance from Bali. #48FamilyFacts
7,2022-08-30T20:13:00.000Z,"T.Elis
@tf_elis
·
Aug 31, 2022","Home is a sanctuary! I travel pretty much a lot on vacation, and no matter if it’s Tokyo, Bali, Peru…or even my nenka Ukraine, always happy to come back home…"
8,2022-08-30T18:31:29.000Z,"tripnusapenidabali
@tripnusapenida_
·
Aug 31, 2022",Trip Nusa Penida Bali Best Offers Private Day Tours to Nusa Penida Island  #nusapenidatrip #nusapenida #tripnusapenidabali
9,2022-08-30T18:00:22.000Z,"Char
@Char_maineee25
·
Aug 31, 2022","NZ, Dubai, Bali, and Greece is on my travel list year "
10,2022-08-30T17:55:22.000Z,"ab..
@nyaxamerie
·
Aug 31, 2022",Omgggg not a trip to Bali with my man & he already booked it I could cry rn 
11,2022-08-30T17:55:11.000Z,"Midori Magma
@Midori_Magma
·
Aug 31, 2022","It can't be done. A lot of those high earners are a new class of IT worker. They can simply take their high wage to work on a beach in a low tax haven who are actively opening up with digital nomad visas. Cayman, Bali, Portugal etc.. covid changed the game."
12,2022-08-30T17:12:53.000Z,"Jessica Offenberger
@JLipowski
·
Aug 31, 2022","A1: In distance, probably my trip to Bali via Singapore with 
@JR_justJR
 and Bree. In time, probably a 7-week road trip visiting all three families over the holidays across the US with 
@himynameisalec9
 #TRLT"
