No,Date,Username,Tweet
1,2022-09-08T23:44:56.000Z,"Philip
@Philip68928769
·
Sep 9, 2022","@EktaChain
 is bridging the blockchain with the physical world: real estate, Ekta Island (Island bought by the founder), the game MetaTrees (trees planted irl on Ekta Island) and this off the coast of Bali. With future expansion plans into other countries. Pretty cool huh? "
2,2022-09-08T23:42:28.000Z,"Mr luxury
@Mrluxury888
·
Sep 9, 2022","I didn't know that. Thanks for sharing this amazing culture and belief of Bali

Long love the queen"
3,2022-09-08T23:27:04.000Z,"KopiAis
@KopiAisNFT
·
Sep 9, 2022",bruhh said Bali trip XD
4,2022-09-08T22:22:35.000Z,"Sherence24
@sherence24
·
Sep 9, 2022",Take the wife the body shop. Get whatever she wants done. Take a trip to Bali and take my time and think about what I’m going to do for financial independent
5,2022-09-08T21:05:26.000Z,"Vociferous... yeah, I'm
@monikasharma309
·
Sep 9, 2022","@KBRI_NewDelhi
 my husband and me have booked the tickets to bali for travel on 9 sep 2022. However, we just found out that my husband's passport is set to expire in less than 5 months. Would be be allowed to travel to Bali and get visa on arrival?"
6,2022-09-08T20:55:51.000Z,"Cig Newton
@_Trippy_Mane21
·
Sep 9, 2022",Bitches be like “mentally still here” and post pictures from they sugar daddy financed trip to Bali like 8 years ago
7,2022-09-08T20:47:10.000Z,"عافية
@_tum2_
·
Sep 9, 2022",My mental needs a Bali trip.
8,2022-09-08T20:40:49.000Z,"Dave Byrnes
@djbyrnes1
·
Sep 9, 2022","Some legal news unrelated to the #RKelly trial in Chicago: Heather Mack's federal trial here has been set for 7/31/2023. Mack was convicted of murder in Indonesia in 2015 for killing her mother on the island of Bali. She now faces conspiracy charges in the US. 
@CourthouseNews"
9,2022-09-08T20:28:05.000Z,"SRK_x10 fan account
@010_srk
·
Sep 9, 2022","True but Bali - the island where the statue stands - has 85% Hindu population… 

Still, important Hindu temples also stand on Java and the other islands, the Indonesian govt invests in their upkeep, and tolerance between religions is much better in Indonesia."
10,2022-09-08T19:19:33.000Z,"Laura Gibbs
@OnlineCrsLady
·
Sep 9, 2022","after I get back from Oklahoma trip, I'll be adding presenter information and then contacting presenters to see if they have more materials to include.
#MYFest was full of so much good stuff, and Padlet slideshow captures it nicely!
pinging 
@Bali_Maha
 @RissaChem 
@MiaZamoraPhD
 :-)"
11,2022-09-08T19:16:17.000Z,"Amber
@ambzzzzg
·
Sep 9, 2022",I’m ready for this Colorado trip in December and Bali in January 
12,2022-09-08T18:55:04.000Z,"Dyana Wang
@DyanaWangArt
·
Sep 9, 2022","I took this photo, when I lived in Bali "
