No,Date,Username,Tweet
1,2022-02-27T23:58:18.000Z,"48Family's Full News
@48FullNews
·
Feb 28, 2022",One of fans chanting is Kecha. Inspired by 'Kecak' dance from Bali. #48MemberFact
2,2022-02-27T23:05:28.000Z,"Marie still in state of
@MarieODea3
·
Feb 28, 2022",At least it makes use of all the new roads that have been under utilised for the past 2 years. It will also remind people of not being able to travel to Bali. Perhaps it is a good plan.
3,2022-02-27T22:44:39.000Z,"jennifer philp Prole and proud. No DMs
@jennifer_philp
·
Feb 28, 2022","You'll need a pcr to fly. Not sure of all the travel info, but there's an excellent fb page called Bali Covid-19 Update that keeps pretty well across everything,  if you're interested. Hope to see you soon! PS. Nyepi is my favourite holiday "
4,2022-02-27T20:55:10.000Z,"Paket tour bali
@balitiratour
·
Feb 28, 2022","Paket tour bali group, family dan couple, paket tour lombok group, family dan couple, paket meeting bali, paket team building di bal ##bali"
5,2022-02-27T19:30:33.000Z,"dntlrdl
@acvdzoel
·
Feb 28, 2022",study tour ke bali lah
6,2022-02-27T19:22:18.000Z,"Verlaine j muhungu | Ad astra
@Verlaine_Devnet
·
Feb 28, 2022",Cloud money  Don't forget our trip to BALI 
7,2022-02-27T19:01:18.000Z,"Jago Promote
@JagoPromote48
·
Feb 28, 2022",One of fans chanting is Kecha. Inspired by 'Kecak' dance from Bali. #48FamilyFacts
8,2022-02-27T18:31:31.000Z,"tripnusapenidabali
@tripnusapenida_
·
Feb 28, 2022",Trip Nusa Penida Bali Best Offers Private Day Tours to Nusa Penida Island  #nusapenidatrip #nusapenida #tripnusapenidabali
9,2022-02-27T17:47:44.000Z,"dez
@desiraay_
·
Feb 28, 2022","went on a lil trip to SD, but I’m trying to go to like Bali next or somethinnn"
10,2022-02-27T17:31:52.000Z,"I’M BORDERLINE, TOO MUCH FOR THE MORTAL MIND
@2HorsesNAnEagle
·
Feb 28, 2022",Chidi Ashley’s Bali home tour makes me so hopeful and happy!
11,2022-02-27T14:35:19.000Z,"Camat212
@camat212
·
Feb 27, 2022",which city are you going to..? Jakarta or Bali..? have a nice trip bro
12,2022-02-27T13:47:54.000Z,"Jazzy
@jazzberlin
·
Feb 27, 2022","my perfect valentine will be watching the sunset at one of Bali's beach club. We talk about animes and video games with mojitos, sushi plus pizza."
13,2022-02-27T13:17:01.000Z,"indigo
@SER0T0JIN
·
Feb 27, 2022",I miss my friends sm I wish I was back in middle school having fun with em on the class trip to Bali again
14,2022-02-27T10:46:28.000Z,"Nuansa Rahmadi
@nuansarahmadi
·
Feb 27, 2022","With pleasure, come in and we will give you warm regards 
I'm from Bali, an island beside of Mandalika Lombok, Indonesia."
15,2022-02-27T10:33:34.000Z,"Not So Magic Mike
@musatechnow
·
Feb 27, 2022",OMG I’m so jealous!  Go check out Bali if you have time - see how they are doing with the comeback. Have a wonderful trip.
16,2022-02-27T09:01:27.000Z,"Wonderful Indonesia
@wonderfulid
·
Feb 27, 2022","Located about 10 km from ...., the capital city of Bali, Seminyak stretches from Double Six Street in the south to the villages of Kerobokan and Umalas, in the north of Petitenget Temple."
17,2022-02-27T07:55:10.000Z,"Paket tour bali
@balitiratour
·
Feb 27, 2022","Paket tour bali group, family dan couple, paket tour lombok group, family dan couple, paket meeting bali, paket team building di bal ##bali"
