No,Date,Username,Tweet
1,2022-04-08T21:43:09.000Z,"xhihab
@Xhihab_
·
Apr 9, 2022","You  just said it by yourself, Bali is a hot tourist attraction and still its people are suffering from severe poverty. 
Wen won’t thrive and benefit from tourism if our country is deeply corrupt and badly run in every single thing."
2,2022-04-08T20:36:38.000Z,"Johannes Bakker
@JohannesBakker7
·
Apr 9, 2022","For a while I thought: Bali! But after many visits I realized that despite all I knew I was still romanticizing the island. It is a great place for a well-off foreigner but for the average Balinese life can be tough. A US friend married a Balinese, but that was not always great."
3,2022-04-08T18:59:31.000Z,"it’s O
@itsofficiallyo
·
Apr 9, 2022","after all, I got a solo trip to Bali or Waikiki currently being packaged for next year.."
4,2022-04-08T18:51:04.000Z,"inosuketanjiro
@quitoriantori2
·
Apr 9, 2022","Its ur body ur decision, fuck what people says,
Love u from Indonesia, let me know if u have vacation plan to go to bali"
5,2022-04-08T18:31:30.000Z,"tripnusapenidabali
@tripnusapenida_
·
Apr 9, 2022",Trip Nusa Penida Bali Best Offers Private Day Tours to Nusa Penida Island  #nusapenidatrip #nusapenida #tripnusapenidabali
6,2022-04-08T18:24:57.000Z,"Peaceful and liberal community
@LiberalPeaceful
·
Apr 9, 2022","We have the power to dictate and that's what special status says . For protection of indigenous cultures and endangared tribal language ,culture and laws ."
7,2022-04-08T17:56:33.000Z,"Kiran
@Kiran81702735
·
Apr 9, 2022","1/2 

And we appreciate if 
1. The management spends more responsibly, and cut the losses. Even if it means taking one less vacation to Bali every weekend. 
2. Stop diluting the shares left and right. 
3. Give an update on NJ sportsbooks which was promised to be in Q1 2022"
8,2022-04-08T17:46:32.000Z,"Shivoham3
@ropaal33
·
Apr 9, 2022","Ya! It’s extremely common evidently. There r many refugee men being caught with  boys in  now. And they all have a Picachu face on when they’re told they’ll b deported. They all say d same thing “it’s normal in our religion/culture”.
 
Freedom of religion has restrictions"
9,2022-04-08T17:34:38.000Z,"Shivoham3
@ropaal33
·
Apr 9, 2022",Ur ancestors terrorized/butchered natives. Destroyed tens of thousands of temples/schools. Eleiminated culture. Forcibly converted ur other ancestors. Nothing more. The good ones were extremely rare.
10,2022-04-08T15:56:13.000Z,"Willie Bolger
@BolgerWillie
·
Apr 8, 2022",My wallet back after it got stolen off me in Bali about 5 years ago. Was never as happy to get something I own back and not have to pay for it. The Balinese man did take every penny of cash out of it however but sher look that’s culture for ya now.
11,2022-04-08T15:49:18.000Z,"Aususu
@deksususu
·
Apr 8, 2022","M32 Bali, ready to do sightseeing tour with you"
12,2022-04-08T14:58:00.000Z,"Tofu o mamoru
@tantan__1go1e
·
Apr 8, 2022",Whats worse is they target another vurnerable white people making it seem Bali is some kind of magical island that would solve their problem. Please if someone try to put this idea in your head just run away!
13,2022-04-08T17:56:33.000Z,"Kiran
@Kiran81702735
·
Apr 9, 2022","1/2 

And we appreciate if 
1. The management spends more responsibly, and cut the losses. Even if it means taking one less vacation to Bali every weekend. 
2. Stop diluting the shares left and right. 
3. Give an update on NJ sportsbooks which was promised to be in Q1 2022"
14,2022-04-08T17:46:32.000Z,"Shivoham3
@ropaal33
·
Apr 9, 2022","Ya! It’s extremely common evidently. There r many refugee men being caught with  boys in  now. And they all have a Picachu face on when they’re told they’ll b deported. They all say d same thing “it’s normal in our religion/culture”.
 
Freedom of religion has restrictions"
15,2022-04-08T17:34:38.000Z,"Shivoham3
@ropaal33
·
Apr 9, 2022",Ur ancestors terrorized/butchered natives. Destroyed tens of thousands of temples/schools. Eleiminated culture. Forcibly converted ur other ancestors. Nothing more. The good ones were extremely rare.
16,2022-04-08T15:56:13.000Z,"Willie Bolger
@BolgerWillie
·
Apr 8, 2022",My wallet back after it got stolen off me in Bali about 5 years ago. Was never as happy to get something I own back and not have to pay for it. The Balinese man did take every penny of cash out of it however but sher look that’s culture for ya now.
17,2022-04-08T15:49:18.000Z,"Aususu
@deksususu
·
Apr 8, 2022","M32 Bali, ready to do sightseeing tour with you"
18,2022-04-08T14:58:00.000Z,"Tofu o mamoru
@tantan__1go1e
·
Apr 8, 2022",Whats worse is they target another vurnerable white people making it seem Bali is some kind of magical island that would solve their problem. Please if someone try to put this idea in your head just run away!
19,2022-04-08T14:10:17.000Z,"Thando Ndlovu
@itsThandoNdlovu
·
Apr 8, 2022","Things that I love about living in Bali

- Food, its cheap, tastes good (Nasi Campur is my favourite)
- My cute scooter (I drive everywhere it's cheap to rent & the fuel is cheaper)
- The sunset (the sunset from the beach is stunning)
- The people (ex-pats, nomads & locals alike)"
20,2022-04-08T14:06:52.000Z,"6ix
@African_King617
·
Apr 8, 2022",I need a $50 round trip ticket to Bali
21,2022-04-08T14:03:22.000Z,"Xoxollu
@Xoxollu1
·
Apr 8, 2022","album only ipu, undivided, pod 45k/each
photo essay 225k
pc jihoon + group no. 1 > 45k
pc woojin ipu 25k
dom bali"
22,2022-04-08T13:26:18.000Z,"Crypto Lucky
@CL_Mania1
·
Apr 8, 2022","Yeah,There's an AMA today, Very Excited
My vacation destination is Bali because I want to see the beautiful beaches in Bali
#GGARMY #GGSOLDIER"
