No,Date,Username,Tweet
1,2022-05-10T23:03:25.000Z,"Fabo
@FlyyKidd_504
·
May 11, 2022",I think this a sign to go book that Bali trip I’ve been prolonging
2,2022-05-10T22:39:22.000Z,"gareththomasnz (Godlike/Immortal)
@gareththomasnz
·
May 11, 2022",Seeing this pictures of Bali & garbage all over the beach reminds me I am lucky to be in New Zealand
3,2022-05-10T22:28:38.000Z,"feelsbullish
@feelsbullish
·
May 11, 2022",I’ll plan a trip to bali instead of phuket if you’re going to bali as well
4,2022-05-10T21:32:42.000Z,"Don Hughes
@getfiscal
·
May 11, 2022","If Republicans and Democrats worked together to make life more livable, with strong enough social supports and a caring community, there simply wouldn't be any need for anyone to have kids. Average working people would have the resources to finish their novels or travel to Bali."
5,2022-05-10T20:53:29.000Z,"Bette Krakau
@BetteKrakau
·
May 11, 2022",Travel anywhere now? Ubud in Bali.
6,2022-05-10T20:36:31.000Z,"S. Afangideh
@ObongAnwanSalem
·
May 11, 2022","This time next year 
@Afri_Kani
 and I will be in Bali on a joint bae vacation sipping cocktails with our gentleman companions #Manifesting"
7,2022-05-10T20:35:54.000Z,"InfluenzaMNL
@InfluencerBotPH
·
May 11, 2022",Top 40 reasons to travel to Bali while children starve to death!
8,2022-05-10T19:47:51.000Z,"Bulut BAĞCI
@bulutbagci
·
May 11, 2022",I will visit Jakarta and Bali for business. For leisure I will be delighted to to visit Komodo Island 
9,2022-05-10T18:58:26.000Z,"Al H
@AGmail56
·
May 11, 2022","Don’t need a “Desert Island” check Flinders Island out in Bass Straight, best kept secret in Australia, same size as Bali, Bali has 4 million plus, Flinders has 700, roads, internet, IGA, hospital, ambulance, self sustaining, same physical landscape as Wilsons Prom"
10,2022-05-10T18:12:27.000Z,"chantibaby
@chantibaby_
·
May 11, 2022",I'm ready to plan a vacation to Bali.
11,2022-05-10T17:58:37.000Z,"CJ
@cynthia_bali
·
May 11, 2022",Were you sleeping when ethnic cleansing of Tam’s happened..when Muslim minority was ill treated? Now have u woken up to realise the beautiful country’s fate is hanging by thread.. together everyone prospers and its called Unity in Diversity which is missing in the Island nation
