No,Date,Username,Tweet
1,2022-07-30T21:01:43.000Z,"CryptoPalace
@wozmod
·
Jul 31, 2022",Bali by the beach 
2,2022-07-30T18:55:02.000Z,"tefi’s world
@sosweetstephh
·
Jul 31, 2022","Bali, Dubai, Maldives, Italy, Greece, okay and if I have to stay in the states Miami bc y’all know I live there and go every year and be on that beach  with my book for 7 days"
3,2022-07-30T18:31:29.000Z,"jaesahicats
@jaesahicats
·
Jul 31, 2022","i think jaesahi always share room everytime they go on vacation or work  (bali, jeju, manila, thailand... tbc)"
4,2022-07-30T17:01:19.000Z,"Dior Chanel
@diorChanel77
·
Jul 31, 2022",Really want a baecation but I could settle for a girls trip to Bali
5,2022-07-30T16:44:11.000Z,"Cuitlahuac Tonatiuh Guerra-Mojarro NBCT
@Tweetlahuac
·
Jul 30, 2022",All good bali it’s a tough road trip
6,2022-07-30T16:28:04.000Z,"porsche
@pissbabiesour
·
Jul 30, 2022",bali is not a real place this island is insane and  not in a good way
7,2022-07-30T16:23:46.000Z,"Tonysteve Austine Jnr‍
@Dr_Tonysteve
·
Jul 30, 2022","Someday when all this is over and we are sharing a Bottle of Champagne  in a marina Somewhere around Bali, We will talk about the past & laugh about those silly mistakes then I’ll tell my story but for now the journey continues.
TsaustineChronicles "
8,2022-07-30T15:32:18.000Z,"sunflowieee
@_bearbeerrr
·
Jul 30, 2022",Malam minggu ini rebahan di kamar sambil scroll twitter. Who knows next year I'm partying in Bali beach club and just have fun 
9,2022-07-30T15:12:34.000Z,"ArtNomads
@ArtNomads
·
Jul 30, 2022","If you're still in Bali, highly rec snorkeling/diving NW coast.
Also...blew my back out so couldn't on *our* trip, but diving with the giant sunfish in Lombok would be bucket list thing...."
10,2022-07-30T14:59:24.000Z,"Rendra Kurniawan
@rendraTEUB
·
Jul 30, 2022",Another bali dance series?
11,2022-07-30T14:41:56.000Z,"Chris Chapman クリス
@Magnum702
·
Jul 30, 2022","Take a nice long vacation until hockey season starts, work one more year to get my affairs in order and then buy my home in Bali and Indonesian citizenship so I could drop off the planet in Bali in the summer of 2023"
12,2022-07-30T14:41:46.000Z,"The Doge Groomer
@vidyaputra
·
Jul 30, 2022",much thank you :) sure will upload more cats photo from Bali
13,2022-07-30T14:32:16.000Z,"Judgmentally Petty
@demtittiesavg
·
Jul 30, 2022","The Maldives or Bali. Maybe Fiji. Somewhere remote, sunny, all inclusive, beautiful with a beach and the clearest water"
14,2022-07-30T14:26:26.000Z,"♕AlMasz
@AlMasz_Zeneca
·
Jul 30, 2022","Reminiscing travel photos because why not, I’m missing Bali."
15,2022-07-30T13:54:03.000Z,"puuurl
@czernnn
·
Jul 30, 2022","so bali new album by october then around early next year maybe mag tour na sila us and europe, then latter part next year kay sa asia ... so naa pa ta time mag ipon sof"
16,2022-07-30T13:02:26.000Z,"Chris Shaw (he/him)
@ShawChris_AU
·
Jul 30, 2022","Yeah, imagine if we banned Bali travel (as some Coalition MPs are suggesting) then Indonesia paused importing Australian beef… oh the outcry.

Numpties of very small mind, they are."
17,2022-07-30T14:59:24.000Z,"Rendra Kurniawan
@rendraTEUB
·
Jul 30, 2022",Another bali dance series?
18,2022-07-30T14:41:56.000Z,"Chris Chapman クリス
@Magnum702
·
Jul 30, 2022","Take a nice long vacation until hockey season starts, work one more year to get my affairs in order and then buy my home in Bali and Indonesian citizenship so I could drop off the planet in Bali in the summer of 2023"
19,2022-07-30T14:41:46.000Z,"The Doge Groomer
@vidyaputra
·
Jul 30, 2022",much thank you :) sure will upload more cats photo from Bali
20,2022-07-30T14:32:16.000Z,"Judgmentally Petty
@demtittiesavg
·
Jul 30, 2022","The Maldives or Bali. Maybe Fiji. Somewhere remote, sunny, all inclusive, beautiful with a beach and the clearest water"
21,2022-07-30T14:26:26.000Z,"♕AlMasz
@AlMasz_Zeneca
·
Jul 30, 2022","Reminiscing travel photos because why not, I’m missing Bali."
22,2022-07-30T13:54:03.000Z,"puuurl
@czernnn
·
Jul 30, 2022","so bali new album by october then around early next year maybe mag tour na sila us and europe, then latter part next year kay sa asia ... so naa pa ta time mag ipon sof"
23,2022-07-30T13:02:26.000Z,"Chris Shaw (he/him)
@ShawChris_AU
·
Jul 30, 2022","Yeah, imagine if we banned Bali travel (as some Coalition MPs are suggesting) then Indonesia paused importing Australian beef… oh the outcry.

Numpties of very small mind, they are."
