No,Date,Username,Tweet
0,2022-08-30T23:57:59.000Z,"arsya.
@ditecious
·
Aug 31, 2022",even aku yg dari lahir di bali aja sama sekali blm pernah coba wisata itu ay 
1,2022-08-30T23:24:04.000Z,"Ay-Yo, Bon!
@bonbonv_oir
·
Aug 31, 2022",huft pengen liburan ke Bali
2,2022-08-30T23:19:14.000Z,"Sahrul Gunawan
@sahrulgunawan__
·
Aug 31, 2022","Ada yg pernah liburan sendiei ke Bali?
Kalo ada, destinasi wisata kemana aja ya?"
3,2022-08-30T23:16:31.000Z,"nya
@sweetascandiess
·
Aug 31, 2022",coba dia disuruh ke pantai di bali
4,2022-08-30T23:11:22.000Z,"@rambutpendeq
·
Aug 31, 2022",kalo w liburan ke bali sendiri gila ga ya???
5,2022-08-30T22:36:29.000Z,"Oppie
@oppie_hyde
·
Aug 31, 2022","Min, desa wisata 2022 ini termasuk di daerah Bali kah?"
6,2022-08-30T22:21:17.000Z,"car
@Oscar47432007
·
Aug 31, 2022","Mau liburan ke biak atau ke bali? Bingung..... Maunya yang dekat2. Yg di biak mohon info t4 wisatanya yah, sekalian ajak keliling2.."
7,2022-08-30T20:21:06.000Z,"Udayana Menfess #2.1
@unudmenfess
·
Aug 31, 2022",/imissu seberapa ngeri pergaulan di bali? sender sendiri dari keluarga yg lumayan menganut budaya timur
8,2022-08-30T20:11:40.000Z,"Jelita Gabrielle Josman
@Hyjell
·
Aug 31, 2022","tapi hari ini, w lagi interest untuk liburan ke bali. padahal sadar diri  kalau itu nyusahin dan bikin capek, gue mager. 
gue jg mau coba ke pantai (fyi lagi, gue anaknya anti air bgt kek hp orang kaya). mau coba sesuatu yg baru.

jadi celebrate deh. hehe."
9,2022-08-30T20:09:31.000Z,"Jelita Gabrielle Josman
@Hyjell
·
Aug 31, 2022","Mau celebrate.

buat yg kenal w ya pasti tw w orgnya malas berpergian, apalagi ke luar kota. kalaupun liburan, w cumn ke hotel deket mall, lalu main ke game centernya, dah gitu aja. w anti bgt sm berpergian jauh karena mager (apalagi ke bali)"
10,2022-08-30T19:50:07.000Z,"qila
@kucingkejedag
·
Aug 31, 2022","""nanggung 1 eps lagi"" tapi tau² uda jam segini hadehhh mana laper tapi lebi baik ak makan apa tidur yaaa tapi kenapa ya pesan ku ga dibales padahal kan aku nungguin huhu ni apaka uda saatnya aku liburan ke Bali lagi soale uda 5x mimpiin kesana mulu mana tempatnya persis bgt"
11,2022-08-30T18:51:52.000Z,"Mid
@pemakanteman_
·
Aug 31, 2022","Kangen Bali boozy sumpah. Lafavela, pantai nyangnyang, sunrise dipantai karang, sarapan di nasi mangsit, mendaki di gunung Batur dan gunung abang. Camping di danau buyan. Dan gaada titik terang gw bakal brp lama disini."
12,2022-08-30T18:36:48.000Z,"DECK_VAN_PROJO
@Megatop99
·
Aug 31, 2022","Kalau gak paham Adat dan Budaya Bali sebaiknya jgn dipakai gaya gayaan.

1.Dalam Dongeng Orang Bali,memakai cincin dijari telunjuk itu,ibarat mendoakan org tuanya cepat mati.

2.Ujung Keris dlm busana Bali itu menghadap ke kanan."
13,2022-08-30T19:50:07.000Z,"qila
@kucingkejedag
·
Aug 31, 2022","""nanggung 1 eps lagi"" tapi tau² uda jam segini hadehhh mana laper tapi lebi baik ak makan apa tidur yaaa tapi kenapa ya pesan ku ga dibales padahal kan aku nungguin huhu ni apaka uda saatnya aku liburan ke Bali lagi soale uda 5x mimpiin kesana mulu mana tempatnya persis bgt"
14,2022-08-30T18:51:52.000Z,"Mid
@pemakanteman_
·
Aug 31, 2022","Kangen Bali boozy sumpah. Lafavela, pantai nyangnyang, sunrise dipantai karang, sarapan di nasi mangsit, mendaki di gunung Batur dan gunung abang. Camping di danau buyan. Dan gaada titik terang gw bakal brp lama disini."
15,2022-08-30T18:36:48.000Z,"DECK_VAN_PROJO
@Megatop99
·
Aug 31, 2022","Kalau gak paham Adat dan Budaya Bali sebaiknya jgn dipakai gaya gayaan.

1.Dalam Dongeng Orang Bali,memakai cincin dijari telunjuk itu,ibarat mendoakan org tuanya cepat mati.

2.Ujung Keris dlm busana Bali itu menghadap ke kanan."
16,2022-08-30T18:13:11.000Z,"puch
@PutriPuuch
·
Aug 31, 2022",Kenapa wisata Bali yang non-club dan beach club ga ada yang ke desa Truyan. Padahal menarik liat jasad2 yang ga dikubur dan tengkorak berjejer di bawah pohon kemenyan. Asli ga ada bau nya sama sekali.
17,2022-08-30T17:44:41.000Z,"y
@yaawijaya
·
Aug 31, 2022","labuan bajo - bali - gili trawangan - lombok - nusa penida - bali - baluran - bromo - yogyakarta - cirebon - jakarta 

perjalanan mengejar matahari 1.891 km
nanti kita buat cerita lagi"
18,2022-08-30T17:19:56.000Z,"sabi
@caprvenus
·
Aug 31, 2022",yang ada sampe bali tipes gak sih gak jadi liburan duitnya abis buat berobat
19,2022-08-30T17:17:35.000Z,"D
@destiahw
·
Aug 31, 2022","Kangen bali deh bangun tidur ke pantai, sore dikit ke pantai asgdfdlhdh manifesting awal taun "
20,2022-08-30T17:15:09.000Z,"𝖈𝖎𝖌𝖆𝖗𝖊𝖙𝖙𝖊𝖘 𝖆𝖋𝖙𝖊𝖗 𝖘𝖙𝖗𝖊𝖘𝖘
@rahasiautin
·
Aug 31, 2022",mending liburan ke bali apa beli kulkas sama mesin cuci yah…..
21,2022-08-30T17:11:51.000Z,"Key Senju on trip
@keysenju
·
Aug 31, 2022","Ngantuk bgt tp gue masih pgn nonton :"") pdhl nanti hrs berangkat pagi soalnya pulang kerja lsg ada makan2 dan hrs banyak rehat krn akhir minggu business trip ke bali :"")))"
