No,Date,Username,Tweet
0,2022-09-29T23:28:18.000Z,"BALI MERDEKA
@bali_merdeka
·
Sep 30, 2022","Biarlah Bali bukan pulau yang besar, tapi rakyat Bali selalu bersatu. Melindungi dan menjaga Bali! Merdeka!"
1,2022-09-29T23:19:16.000Z,"- WTS EXO SC JAKARTA CAT 1 PLATINUM A
@devonnel_
·
Sep 30, 2022",Lucu banget adeknya Wonu kemarin beneran liburan ke Bali ihiiiiyyyy
2,2022-09-29T23:09:11.000Z,"putrri
@putr1_s
·
Sep 30, 2022","Bali memiliki situs arkeologi bersejarah mirip Petra di Jordania selatan, yaitu situs Candi Gunung Kawi."
3,2022-09-29T22:56:58.000Z,"Auy
@AuliaPratiwi8
·
Sep 30, 2022",Waahhh keluarganya sebong beneran liburan ke bali
4,2022-09-29T21:32:43.000Z,"Ardi
@Ardianale
·
Sep 30, 2022",Bali itu pulau dewata. Kamu itu orang yang kuinginkan hidup bersama secara dewasa. steffizmr15
5,2022-09-29T19:59:40.000Z,"𝐁𝐋𝐀𝐍𝐓𝐈𝐊 𝐋𝐄𝐋𝐄
@AnakBlantik
·
Sep 30, 2022","jika kamu pergi tetep tak enteni , sopo ngerti kowe ngelih gek bali "
6,2022-09-29T18:56:16.000Z,"@terjungkirbaliq
·
Sep 30, 2022",apa gue blg kan ke bali hu ksian sebong ga smpt ke bali pdhl pengen liat mereka liburan
7,2022-09-29T18:44:16.000Z,"ａｎｔｉｋ
@xiekeyoun
·
Sep 30, 2022",TUHKAN KELUARGA SEBONG PADA KARYA WISATA KE BALI WKWKWKWKWKKW
8,2022-09-29T18:36:28.000Z,"j sedang mencari Maman Gendeng
@__jvkmd
·
Sep 30, 2022","awalnya mikir pulau kahyangan di mana ya kira-kira, eh pas baca lanjutannya ternyata di itu pulau Bali"
9,2022-09-29T18:14:40.000Z,"eeeeeeh
@waozowski
·
Sep 30, 2022","Ih sumpah kalian kudu bgt nonton devdan di bali

I got lucky pergi sama smp dlu, ga mahal-mahal amat jatohnya"
10,2022-09-29T17:24:35.000Z,"Miya𖧷˚*
@kmyjh_48
·
Sep 30, 2022","Oh iya maksudnya postingan dia yg naik board, seneng banget setahun ga up foto sekalinya up lagi di bali"
11,2022-09-29T17:22:10.000Z,"Novi Vidianti
@novividiant
·
Sep 30, 2022","Memang Bali ini pantai nya indah-indah ya mbak puan, masyarakat nya pun ramah-ramah"
12,2022-09-29T17:18:51.000Z,"Novi Vidianti
@novividiant
·
Sep 30, 2022","Pulau Bali sudah menjadi destinasi wisata yang mendunia, mari bergotong royong lestarikan laut dan pantainya agar tetap indah dan nyaman untuk kita semua"
13,2022-09-29T17:05:18.000Z,"markleecanada
@markleecanada1
·
Sep 30, 2022",Pengen deh punya 1 temen yang kalau diajak kemana mana liburan langsung gas kaya misal “eh ke singapore yuk “ eh ke malaysia yuk eh ke bali yuk kek langsung gas dan jadi YA ALLAH PLIS KASIH 1 ORANG AJA DI MASA DEPAN PLISSSS kalau tiba tiba itu suamik aku bagus si alhamdulillah
14,2022-09-29T16:56:35.000Z,"nabila rasyid
@nabilar16262502
·
Sep 29, 2022","Dari pada ke Bali bagus ke Karimun Jawa aja,itu kan bisa juga buat liburan mas Al dn Andin ala ala seperti di Bali yg ada tmpt penginapan nya sedang kan yg dekat dgn hutan bisa dibuat shoting flasback mas Al sewaktu terdampar di pulau "
15,2022-09-29T16:38:27.000Z,"Derey
@reygimbal
·
Sep 29, 2022",Emang bali doang yang deket pantai?
