No,Date,Username,Tweet
0,2022-10-07T22:49:31.000Z,"Sandiaga Salahuddin Uno
@sandiuno
·
Oct 8, 2022","Jangan sepelekan loh guys, salah satu cara mempromosikan wisata Indonesia yaitu dengan kekuatan “word of mouth” yang telah dilakukan Mr. Christian saat akan menuju Bali untuk agenda World Conference on Creative Economy, terbaiiik"
1,2022-10-07T22:49:28.000Z,"Sandiaga Salahuddin Uno
@sandiuno
·
Oct 8, 2022","Melalui pertemuan dengan Penasihat Menteri, Wakil Kepala Misi Kedutaan Norwegia untuk Indonesia, Mr. Christian Netland pada Rabu lalu di Bali, saya harap dapat semakin memperluas kerja sama baik dibidang akuakultur apalagi Indonesia kaya dengan wisata baharinya."
2,2022-10-07T22:48:34.000Z,"Paris
@yourpillot
·
Oct 8, 2022","Saya sedih, tapi kalo dikasih pulau Dewata Bali kayanya full senyum"
3,2022-10-07T22:00:29.000Z,"kia
@thnk4all
·
Oct 8, 2022",klo laper liburan ke bali
4,2022-10-07T21:37:44.000Z,"Noviana
@MynameisNoviana
·
Oct 8, 2022","Jadi PR nya bukan lagi cinta tanpa membenci, tetapi cinta dan belas kasih tanpa syarat pada semua mahluk. Ajaran seperti itu hanya bisa lahir dari pencapaian agung tertinggi (Moksha), itu ajaran cinta dari Pulau Bali… "
5,2022-10-07T20:27:15.000Z,"K.
@unicornnetold
·
Oct 8, 2022","Cita-cita:

Tinggal di Bali, yg deket pantai, punya anjing.
Atau tinggal di Malang, tapi gak di Sawojajar."
6,2022-10-07T20:19:38.000Z,"Tanyun
@intanyunitas
·
Oct 8, 2022","Liburan Shanum di Bali, 2022"
7,2022-10-07T20:17:12.000Z,"IndoLib
@indolib
·
Oct 8, 2022","Canary Is, berarti km cm turis doang ?
Keliling benua percuma kl cm singgah sesaat tiap kota, ga beda dgn turis bule dolan ke Bali.

Ngerti apa ttg budaya & politik lokal ?
Km pny brp teman dkt, kolega & prof yg org Barat ?
Tau siapa R Stone, J Falwell, Rob Baer, Tom Sowell ?"
8,2022-10-07T20:17:12.000Z,"999
@DfnYp
·
Oct 8, 2022",kalau tidak salah ini di pulau dewata (bali) indonesia
9,2022-10-07T19:51:36.000Z,"Im Yoona
@The_Yoona
·
Oct 8, 2022",YoonA memilih Pulau BALI sebagai tempat bulan madunya. #yoona
10,2022-10-07T19:00:43.000Z,"zaky zima
@zakyzima11
·
Oct 8, 2022","Jangan ke Bali aja pak,.saya sebagai pendukung bapak tolong untuk bisa datang ke kab.kampar prov Riau kelurahan Tanjung kec.koto Kampar hulu bantu kami bagaimana wisata dan SDA dilingkungan kami bisa kami manfaatkan pak"
11,2022-10-07T18:26:51.000Z,"ON – ENGLISHFESS
@englishfess_
·
Oct 8, 2022","eng! bantu terjemahin bahasa ingriss nya ya , karna mau interview foreigner diBali
1. Darimana tau bali?
2. Bagaimana Pendapat tentang tradisi budaya bali?
3. Bagaimana sarana dan prasarana dibali?
4. Apa kesan anda diBali?"
12,2022-10-07T20:17:12.000Z,"999
@DfnYp
·
Oct 8, 2022",kalau tidak salah ini di pulau dewata (bali) indonesia
13,2022-10-07T19:51:36.000Z,"Im Yoona
@The_Yoona
·
Oct 8, 2022",YoonA memilih Pulau BALI sebagai tempat bulan madunya. #yoona
14,2022-10-07T19:00:43.000Z,"zaky zima
@zakyzima11
·
Oct 8, 2022","Jangan ke Bali aja pak,.saya sebagai pendukung bapak tolong untuk bisa datang ke kab.kampar prov Riau kelurahan Tanjung kec.koto Kampar hulu bantu kami bagaimana wisata dan SDA dilingkungan kami bisa kami manfaatkan pak"
15,2022-10-07T18:26:51.000Z,"ON – ENGLISHFESS
@englishfess_
·
Oct 8, 2022","eng! bantu terjemahin bahasa ingriss nya ya , karna mau interview foreigner diBali
1. Darimana tau bali?
2. Bagaimana Pendapat tentang tradisi budaya bali?
3. Bagaimana sarana dan prasarana dibali?
4. Apa kesan anda diBali?"
16,2022-10-07T18:03:00.000Z,"#UsirImigranYaman
@fredyRichardo
·
Oct 8, 2022","Suara mba Niluh sdh didengar se pulau Bali, percaya mba akan sangat berpengaruh.."
17,2022-10-07T17:52:44.000Z,"kareninsane
@bbbbbbbiiiiiipp
·
Oct 8, 2022","baru nyadar kalo slama ini ada yg lebih ga kerja bgt, mungkin yg sebenernya duitku pun ngikut di diadipake liburan ke bali eng ing eeeennnngggg~"
18,2022-10-07T17:33:42.000Z,"ripys,
@Ripyseleven_
·
Oct 8, 2022",Nek iki ning bali sabtu sesok wes keluyuran ketuk pantai jimbaran ro kulineran gusti
19,2022-10-07T17:13:24.000Z,"BIG-D
@BIGdedyREDS
·
Oct 8, 2022","Biasanya Sampai Akhir Februari, Puncak Hujan Di Desember dan Sampah Yang Mengotori Pantai Juga Laut Bali Datang Di Bulan Januari..."
20,2022-10-07T17:03:07.000Z,"Ardi
@Ardianale
·
Oct 8, 2022",Bali itu pulau dewata. Kamu itu orang yang kuinginkan hidup bersama secara dewasa. steffizmr15
21,2022-10-07T16:34:37.000Z,"aven smgt
@seokhanieo
·
Oct 7, 2022",ANAK2 LIBURAN KE BALI GT KEK AWOKWOK
22,2022-10-07T16:25:08.000Z,"K I A
@morninghae_
·
Oct 7, 2022",mon maap min tapi donghae ke bali kerja keras bagai kuda bukan liburan 
23,2022-10-07T16:18:43.000Z,"𝐊𝐈𝐍𝐀𝐒𝐈𝐇.
@WANODlA
·
Oct 7, 2022","ㅤ
ㅤ
Sudah muncak ke gunung mana saja, Mas? Kalau jawabannya Bali sangat standar ngga? Haha alasan terbesarnya karena saya asli pulau dewata. 
ㅤ
ㅤ"
24,2022-10-07T16:17:42.000Z,"Wiarpiz
@wiar_piz
·
Oct 7, 2022",Pulau Dewata Bali merupakan 1 dari 10 pulau paling romantis di dunia. [majalah Travel+Leisure]
25,2022-10-07T16:06:18.000Z,"ndesss
@zzzkepode
·
Oct 7, 2022","dia dibawa petugas dgn alasan wkt di airport ngamuk dan ga nyambung. passport asal indo (tp dia ga bisa b.indo dan ga paham). setelah dikaji, dia blg tujuan dia ke indo buat liburan di bali"
26,2022-10-07T16:06:07.000Z,"Bali Travego
@balitravego
·
Oct 7, 2022",Rental Mobil Di Bali - Paket Wisata Murah #rentalmobilbali #paketwisatabali #liburanbali #liburanbalimurah #sewamobilbali #balitravego
27,2022-10-07T15:55:31.000Z,"Papa Genos
@erikaderma
·
Oct 7, 2022","Rasane kudu nangis mau sore , udan2 perjalanan seko kudus  arep nyemarang padune lewat alternatif guntur malah bablas balik tekan wonosalam , trs bali maneh lewat guntur tembus tekan gubug , kudanan, kesel , kademen , ncen Asu og. Drob link saru wae kene"
28,2022-10-07T15:55:08.000Z,"Marchell
@angzzzzzzy
·
Oct 7, 2022",Beberapa orang memilih mengeluh di twitter untuk tetap waras karena tidak punya biaya liburan ke Bali.
29,2022-10-07T15:51:50.000Z,"tal
@talithulll
·
Oct 7, 2022","foto foto study tour di bali, beneran kangen bgt sama orang orangnya, kenangannya walaupun banyak drama tapi kangen puollll"
30,2022-10-07T15:47:38.000Z,"Aci
@cirengkrispiy
·
Oct 7, 2022","""Akhir taun liburan bareng ke bali yuk sewa 1 vila gitu ramean""
Ujar temanku yg bulan desember mau nikah.

Dalem hati, ""woalah cuk klen dah pada berpasangan su"" "
31,2022-10-07T15:38:45.000Z,"Sheer
@ladsheer
·
Oct 7, 2022",Sakit sakit badan jom pergi mengurut ala bali. Lama tak jumpa!
32,2022-10-07T15:37:49.000Z,"marja (bacanya marya)
@marjamanjalii
·
Oct 7, 2022","mengurungkan niat kepergian tengah bulan ke Jakarta, dan akhir bulan ke Bali, sebab lokal tak pernah gagal menahanku lebih lama.

kejatuhan di awal bulan yang tak terduga, juga cuaca yang kian riuh menambah daftar pendek alasan-alasan sebaiknya tak perlu pergi."
33,2022-10-07T15:30:59.000Z,"︎︎ ︎︎︎︎︎︎︎Delfano
@predatosr
·
Oct 7, 2022",Baru balik liburan dr bali
34,2022-10-07T14:56:27.000Z,".
@psyczo
·
Oct 7, 2022",Up up!! Apalagi DH ke Bali juga bukan pure buat liburan aja sebenernya tapi buat syuting dan bareng EH jg. Dan kalaupun udah izin/kerja sama masa fotonya hasil nyomot doang bukan foto official dari PInya 
35,2022-10-07T14:50:02.000Z,"kusukarotidanpizza
@ArisdaCDL
·
Oct 7, 2022","dari sekian bnyk tgl dan bulan kenapa bisa harus sama sih pergi ke bali nya, lucu bgt kebetulannya.  gak ngerti lagi ini maksudnya apa yaallah jelasinnnnmn"
36,2022-10-07T14:40:55.000Z,"bi the kid
@UncleBee21
·
Oct 7, 2022",Cinderamata yg biasa dibeli setelah liburan dri bali
37,2022-10-07T15:37:49.000Z,"marja (bacanya marya)
@marjamanjalii
·
Oct 7, 2022","mengurungkan niat kepergian tengah bulan ke Jakarta, dan akhir bulan ke Bali, sebab lokal tak pernah gagal menahanku lebih lama.

kejatuhan di awal bulan yang tak terduga, juga cuaca yang kian riuh menambah daftar pendek alasan-alasan sebaiknya tak perlu pergi."
38,2022-10-07T15:30:59.000Z,"︎︎ ︎︎︎︎︎︎︎Delfano
@predatosr
·
Oct 7, 2022",Baru balik liburan dr bali
39,2022-10-07T14:56:27.000Z,".
@psyczo
·
Oct 7, 2022",Up up!! Apalagi DH ke Bali juga bukan pure buat liburan aja sebenernya tapi buat syuting dan bareng EH jg. Dan kalaupun udah izin/kerja sama masa fotonya hasil nyomot doang bukan foto official dari PInya 
40,2022-10-07T14:50:02.000Z,"kusukarotidanpizza
@ArisdaCDL
·
Oct 7, 2022","dari sekian bnyk tgl dan bulan kenapa bisa harus sama sih pergi ke bali nya, lucu bgt kebetulannya.  gak ngerti lagi ini maksudnya apa yaallah jelasinnnnmn"
41,2022-10-07T14:40:55.000Z,"bi the kid
@UncleBee21
·
Oct 7, 2022",Cinderamata yg biasa dibeli setelah liburan dri bali
42,2022-10-07T14:37:28.000Z,"Qsos
@dasamocca
·
Oct 7, 2022","Masalah nya aku bukan orang hindu,bali biar begitu dah tenar,mungkin prambanan tengger dapat lelaku minta di ajari tari Batara wisnu di atas laut itu"
