No,Date,Username,Tweet
1,2021-12-30T23:30:56.000Z,"Arif Supriyanto
@ryantgank
·
Dec 31, 2021","Klo ga salah itu di lombok ya...? Apakabar sm klo mau kawin culik dl, iring2an gendang beleq dan kecimol yg mirip budaya dan tarian hindu bali?"
2,2021-12-30T23:18:49.000Z,"Ciptaan Tuhan
@penjelajah749
·
Dec 31, 2021","Oalah pak,otakmu cina mulu, naga itu namanya antaboga (ontobugo) , antaboga adalah raja ular penjaga perut bumi, penguasa dunia bawah, sosok antaboga ini melekat pada budaya Jawa dan bali biasanya ada di ukiran gamelan, gerbang, gapura sebagai simbol penjaga"
3,2021-12-30T23:15:44.000Z,"Ciptaan Tuhan
@penjelajah749
·
Dec 31, 2021","Salah besar bro, naga itu namanya antaboga (ontobugo) , antaboga adalah raja ular penjaga perut bumi, penguasa dunia bawah, sosok antaboga ini melekat pada budaya Jawa dan bali biasanya ada di ukiran gamelan, gerbang, gapura sebagai simbol penjaga"
4,2021-12-30T23:15:25.000Z,"𝓥𝓲𝓴𝓪𝓪
@VikaFZ
·
Dec 31, 2021",tiap hari ke pantai kuta dh kyk warlok bali hafal jalan tanpa gmaps
5,2021-12-30T23:14:41.000Z,"Ciptaan Tuhan
@penjelajah749
·
Dec 31, 2021","Oalah pak, naga itu namanya antaboga (ontobugo) , antaboga adalah raja ular penjaga perut bumi, penguasa dunia bawah, sosok antaboga ini melekat pada budaya Jawa dan bali biasanya ada di ukiran gamelan, gerbang, gapura sebagai simbol penjaga"
6,2021-12-30T20:35:02.000Z,"Eunike
@euniceapril
·
Dec 31, 2021","hehe bahkan bertutur kata di bali emang mesti ati2. kena instant karma-nya ga main2. temen gw bilang salah satu pantai yg gw ajakin itu jelek (emang dia aja aneh), malemnya out of nowhere kena gatal2 sebadan tp besoknya ilang. anomali bgt"
7,2021-12-30T20:15:49.000Z,"Rajatrip.com
@raja_trip
·
Dec 31, 2021","Paket Liburan ke Bali, Kuala Lumpur, Singapore, Bangkok, Hong Kong mulai dari 1,7jt/orang !! Contact Us : BBM : 746826BB"
8,2021-12-30T18:22:53.000Z,"ikyyy
@ikiwildan
·
Dec 31, 2021","Lanjut ke postingan kedua dia di bali, cuman ada 3 foto. Kuslide dan betapa terkedjoet melihat foto yg sama persis sama foto di tinder. Orang di pantai yg difoto dari jauh dan ngadep ke tebing  kupastiin berkali-kali dan emang sama persis."
9,2021-12-30T18:19:53.000Z,"ikyyy
@ikiwildan
·
Dec 31, 2021","Tentunya abis liat foto tinder itu aku langsung meluncur ke instagram si A. Ada sekitar 70an posts dan kuscroll sampe 2018, foto pas dia di bali. Ada 2 postingan, di postingan pertama ada 10 foto. Kuslide semua dan aku nemu 1 kesamaan sama foto di tinder, celana yg dipake sama-"
10,2021-12-30T17:38:32.000Z,"Baca Rules di Bio
@karirfess
·
Dec 31, 2021",kr! untuk liburan abisin cuti 14 hari di bali mending daerah mana yaaa guyss
11,2021-12-30T17:18:58.000Z,"astagfirulloh
@Nananashir
·
Dec 31, 2021","Standarisasi story intagram menjelang tahun baru.

- pantai bali
- malioboro
- tuker kado di kantor
- belanja jagung

Kagak ada gitu yang storyin emaknye nenteng gas 3kg ke warung?"
12,2021-12-30T17:17:27.000Z,"Dagu Mancung
@Nurindahjafar
·
Dec 31, 2021",Atletnya liburan kan baru akhir2 ini. Mungkin aja dulu proses shootingnya pas atlet LG ikut tour Eropa atau pas udah di bali
13,2021-12-30T17:18:58.000Z,"astagfirulloh
@Nananashir
·
Dec 31, 2021","Standarisasi story intagram menjelang tahun baru.

- pantai bali
- malioboro
- tuker kado di kantor
- belanja jagung

Kagak ada gitu yang storyin emaknye nenteng gas 3kg ke warung?"
14,2021-12-30T17:17:27.000Z,"Dagu Mancung
@Nurindahjafar
·
Dec 31, 2021",Atletnya liburan kan baru akhir2 ini. Mungkin aja dulu proses shootingnya pas atlet LG ikut tour Eropa atau pas udah di bali
15,2021-12-30T17:11:10.000Z,"herlina sihotang
@HerlinaSihotang
·
Dec 31, 2021",Ini gimana mau road trip Jawa Bali ya. Sentul - Jekardah - Serpong aja sa tepar 
16,2021-12-30T17:04:44.000Z,"UDA R
@abclimakali
·
Dec 31, 2021","rencana akhir tahun mau liburan ke surabaya, malang, jogja. terus ke bali, pas liat dompet cuma sampe kalimalang
Hehehe300x

Bismillah 2022"
17,2021-12-30T16:58:42.000Z,"Prima Satrya
@prima_satrya
·
Dec 30, 2021","Terakhir, dunia pertemanan. Kalo di kampus ya lebih banyak di himpunan sih. Bondingnya lebih terasa sumpah. Ya gimana wong agenda liburan aja isinya rapat rapat rapat tross. Tapi ya dapet temen baru di luar Bali lumayan lah ya sekaligus nambah ruang lingkup pertemanan."
18,2021-12-30T16:52:59.000Z,"dee,
@loafingmermaid
·
Dec 30, 2021","yang liburan di bali, selamat, ak ngiri banget "
19,2021-12-30T16:52:30.000Z,"bill
@bibeeljs
·
Dec 30, 2021","Haechan milkita, haechan pulang les, haechan pelukis, mark lemon, mark kecebur, dery meong, renjun gojek, johnny pantai/hawai/bali(?), pc bumn"
20,2021-12-30T16:52:27.000Z,"ik
@ikxxyzz
·
Dec 30, 2021",Bali vs persis aja la biar sekalian liburan 
21,2021-12-30T16:47:53.000Z,"fanishe
@fanisheku_
·
Dec 30, 2021","1. keluarga makin anget
2. bisa ngadain giveaway 7 pemenang
3. liburan ke bali
4. liburan ke malang
5. 2x upgrade hp
6. banyak hal tak terduga yg baiklah pokoknya"
22,2021-12-30T16:43:22.000Z,"san22
@Ikhsaniks
·
Dec 30, 2021","Guys mau tanya dong, jd diriku insyaAllah malem tahun baru ini bisa liburan terus pgn bgt pergi ke Bali, budget sekitar 30-40jt. Kira2 gmn bs dapetin uangnya yah?

Mohon infonya nuhun."
23,2021-12-30T16:38:34.000Z,"Frrrrr
@faggynah
·
Dec 30, 2021",Ke bali tuh liburan.. bukannya malah sambil kerja. Pathetic 
24,2021-12-30T16:22:49.000Z,"gunggek
@balinesebabe
·
Dec 30, 2021",Susah min nyari temoat wisata di Bali yg bgga terlalu rame ada si yg sepi di Setra becanda ya min aduh maap
25,2021-12-30T16:20:52.000Z,"babuvici
@nmaaassssss
·
Dec 30, 2021",Cuma gk suka aja liat orang bilang kalo beling malu mare juang itu budaya adat istiadat bali. Itu sih lebih ke mindset orang2 tertentu yg kebetulan aja mereka orang bali 
26,2021-12-30T16:03:22.000Z,"tut tut tut
@tututbus
·
Dec 30, 2021","1. Salah satu anggota keluarga kena covid.
2. Patah kaki karena kepleset
3. Nilai semester sangat memuaskan
4. Bisa ktmu pacar tahun ini 3x
5. Liburan ke pulau cinta gorontalo
6. Liburan ke bali selama 2 minggu dengan teman2"
27,2021-12-30T15:40:41.000Z,"bocahpriikk
@dimzzkr
·
Dec 30, 2021","Ada cinta di Pantai Bali, Kong"
28,2021-12-30T15:38:24.000Z,"Sarwo Sarwi Pedalangan Indonesia
@SPedalangan
·
Dec 30, 2021",Indonesia dan Thailand bukan saja bersaing dalam sepak bola. Sektor wisata kita berkompetisi dlm menarik wisatawan manca negara. Kita punya Bali. Thailand mengandalkan pantai Phuket dan James Bond Island.
29,2021-12-30T15:28:33.000Z,"Ariesta_Norman
@AriesaNorman
·
Dec 30, 2021",Orang kaya gini biasanya koar2 bentengi budaya Nusantara. Tapi Nusantara dimata mereka cuma Jawa dan Bali thok.
30,2021-12-30T15:16:04.000Z,"pricil
@milopopscls
·
Dec 30, 2021",sebenernya bisa aja ke bali... tapi sm org kantor. ya masa liburan sm dinas sm mereka mulu walaupun sebenernya pasti seru sih WKWKWKWK
31,2021-12-30T15:10:45.000Z,"ana
@cutiesslonjwin
·
Dec 30, 2021","moots , ada yang punya foto trejo pas di Bali ga?"
32,2021-12-30T15:08:12.000Z,"jupii𝄞
@nojamcityrj
·
Dec 30, 2021",Ngga emang bener kan waktu itu rv datang ke indo langsung liburan ke bali
