No,Date,Username,Tweet
1,2022-01-19T23:36:25.000Z,"Carolina
@ribekkk
·
Jan 20, 2022","ibuk ini kalo ke kosan mesti terlihat bangga bgt sama krjaan anaknya yg pns, kalo cerita anaknya habis dr bali jkt, seolah2 kita2 yg bukan pns ini gabisa gitu pergi kesana. Gatau aja kayaknya ibu ini kalo tiap hari anaknya di whatsapp bikin status depresot dan mau bunuh diri "
2,2022-01-19T23:22:24.000Z,"@cessphoebe
·
Jan 20, 2022","Loh ini bukannya gosip lama ya? Sumpah ini tuh muncul jauhhhh sebelum lambe turah rame followersnya kayak sekarang, kalo kata temen gue ini gosip underground gitu orang sempet ada foto mereka di airport mau ke bali "
3,2022-01-19T23:04:05.000Z,"miaa miaw
@masihmerahmuda
·
Jan 20, 2022","Yeeay dapet trip Bali lagi. Walau gak 3 Minggu kayak bulan lalu, tapi tetep YEAY!! Karena bisa ada kesepakatan beli Pai Susu dan ke joger lagi "
4,2022-01-19T22:12:18.000Z,"AidilJumadi
@AidilJumadi
·
Jan 20, 2022",Pulau Bali dan Lombok masuk ke dalam daftar 10 pulau teratas di Asia berdasarkan Traveler's Choice Award.
5,2022-01-19T20:37:25.000Z,"dody satria
@dhodysgs
·
Jan 20, 2022","nyokap pergi ke bali, ade kesurabaya
gue tetep dagang, hiburannya cuman bulutangkis, tapi kaki lagi cidera,
ya gitu aja udah"
6,2022-01-19T20:15:48.000Z,"Rajatrip.com
@raja_trip
·
Jan 20, 2022","Paket Liburan ke Bali, Kuala Lumpur, Singapore, Bangkok, Hong Kong mulai dari 1,7jt/orang !! Contact Us : BBM : 746826BB"
7,2022-01-19T18:31:06.000Z,"Rofik Ahmad
@ajha_jho
·
Jan 20, 2022","Bu guru maen ke Bali dong, biar enak liburan"
8,2022-01-19T18:23:18.000Z,"Aqsa Ibrahim
@AqsaIbrahim15
·
Jan 20, 2022",Gue nyari cowok yang bisa gue bawa liburan di bali 2 minggu.
9,2022-01-19T18:14:33.000Z,"hm
@people_pan
·
Jan 20, 2022",klo mo ke nusa penida kira kira enakan pk agen trip gt atau pergi sendirian yakk. soalnya ada rumah jg di bali tp di denpasar timur sih deket UNUD kampus utama. soalnya klo ke penida kudu nyebrang lewat jalur sanur(lbh dkt) klo dr aku. tp lebih worth yg mn yakk
10,2022-01-19T16:41:16.000Z,"夏
@natsuoshida
·
Jan 19, 2022",Turis Bali tahun 2006.
11,2022-01-19T15:57:15.000Z,"Ssomarwane
@SomarwaneSefnat
·
Jan 19, 2022","Woy kadrunz pesek...
Indonesia tuh bukan pulau jawa saja woy..
Ada Sumatera,Kalimantan,Bali,NTB,NTT, Papua,Maluku jadi ngk usah ngarang pake maksa referendum segala.
Silahkan gantung diri masal dimonas sana drun 
Paham loe"
12,2022-01-19T15:53:10.000Z,"Mel
@melaerdbeeren
·
Jan 19, 2022","Yg lain ke Indo pgn liburan. Gue ke Indo pengen sembahyang di Bali. Klo bisa sebulan FULL di Bali biar bisa Sembahyang yg lama, ngobrol sama Tuhan di pura yg beda-beda, bisa ngumpulin air suci yang banyak, bisa bikin sesaji yang bener buat sembahyang"
13,2022-01-19T15:37:06.000Z,"soon will be fine
@McDforlyfee
·
Jan 19, 2022","Join sini jak pantai sindhu, sanur, Bali"
14,2022-01-19T15:10:59.000Z,"(Videografer, Fotografer, dan Droner) 
@menujusukseesss
·
Jan 19, 2022",Klo ke Bali nya daerah wisata yg pelosok2 aku pengen wkwk. Bosen sm wisata Bali yg sering dikunjungi kalau pake jasa tour and travel wkwk
15,2022-01-19T18:14:33.000Z,"hm
@people_pan
·
Jan 20, 2022",klo mo ke nusa penida kira kira enakan pk agen trip gt atau pergi sendirian yakk. soalnya ada rumah jg di bali tp di denpasar timur sih deket UNUD kampus utama. soalnya klo ke penida kudu nyebrang lewat jalur sanur(lbh dkt) klo dr aku. tp lebih worth yg mn yakk
16,2022-01-19T16:41:16.000Z,"夏
@natsuoshida
·
Jan 19, 2022",Turis Bali tahun 2006.
17,2022-01-19T15:57:15.000Z,"Ssomarwane
@SomarwaneSefnat
·
Jan 19, 2022","Woy kadrunz pesek...
Indonesia tuh bukan pulau jawa saja woy..
Ada Sumatera,Kalimantan,Bali,NTB,NTT, Papua,Maluku jadi ngk usah ngarang pake maksa referendum segala.
Silahkan gantung diri masal dimonas sana drun 
Paham loe"
18,2022-01-19T15:53:10.000Z,"Mel
@melaerdbeeren
·
Jan 19, 2022","Yg lain ke Indo pgn liburan. Gue ke Indo pengen sembahyang di Bali. Klo bisa sebulan FULL di Bali biar bisa Sembahyang yg lama, ngobrol sama Tuhan di pura yg beda-beda, bisa ngumpulin air suci yang banyak, bisa bikin sesaji yang bener buat sembahyang"
19,2022-01-19T15:37:06.000Z,"soon will be fine
@McDforlyfee
·
Jan 19, 2022","Join sini jak pantai sindhu, sanur, Bali"
20,2022-01-19T15:10:59.000Z,"(Videografer, Fotografer, dan Droner) 
@menujusukseesss
·
Jan 19, 2022",Klo ke Bali nya daerah wisata yg pelosok2 aku pengen wkwk. Bosen sm wisata Bali yg sering dikunjungi kalau pake jasa tour and travel wkwk
21,2022-01-19T15:05:18.000Z,"aura~
@secretaura21
·
Jan 19, 2022","Tapi krn gue bilang udh dari lama bgt pengen ke bali akhirnya gapapa, malah yg ke jogja mingdep harus gue batalin krn kata2 andalannya udh keluar “bunda gapernah larang pergi kemana2, tapi kalo bunda udh larang ya berarti jgn pergi”. Kalo udh digituin gue udh ciut deh"
22,2022-01-19T15:02:48.000Z,"Steven Paul
@PasaribuSteve30
·
Jan 19, 2022","Cari di bali lahh boy, pergi sendiri. Pulang bertiga "
23,2022-01-19T14:56:01.000Z,"q
@chocoteaaddict
·
Jan 19, 2022",ayang adalah seni pertunjukkan tradisional asli indonesia yang berasal dan berkembang pesat di pulau jawa dan bali.
24,2022-01-19T14:49:01.000Z,"Hi! Taaa || wts jimin unyel set sowoozoo
@hiditmel
·
Jan 19, 2022","Bingung mau liburan ke turki atau ke bali, duitnya buat bayar spp "
25,2022-01-19T14:33:29.000Z,"𝐶'𝑒𝑠𝑡 𝑙𝑎 𝑣𝑖𝑒
@levoici_
·
Jan 19, 2022","Mau share tentang culture di Bali, selama saya tinggal di Bali dan mengikuti prosesi adat budaya Hindu-Bali.

Di mana bumi dipijak, di situ langit dijunjung. "
26,2022-01-19T14:18:38.000Z,"Wiarpiz
@wiar_piz
·
Jan 19, 2022",Pulau Dewata Bali merupakan 1 dari 10 pulau paling romantis di dunia. [majalah Travel+Leisure]
27,2022-01-19T13:58:14.000Z,"Mutiara.H.Mafaiz
@tiarahmfz
·
Jan 19, 2022","Bingung bgt mau liburan ke bali atau lombok,soalnya uangku udah 12.500 :)"
28,2022-01-19T13:17:48.000Z,"eza
@_fahrezaaa_
·
Jan 19, 2022","bali udah mulai banyak kan kasis onicronnya bestie? idk aku juga mau study budaya ke bali bulan maret an dan ini udah mulai ketar ketir. menurutku sih put ur safety first bestie, please take care yaa"
29,2022-01-19T13:09:15.000Z,"pamanStallin
@addr_arya
·
Jan 19, 2022","""Tapi bukanya bali terkenal karena keindahan alamnya?""

Jelas betul,tapi pernahkah kalian berfikir lebih dalam kenapa alam mereka jauh lebih indah dibanding yang lainya?
Hingga banyak turis yang hanya mengenal ""Bali"" tanpa mengenal ""Indonesia""?"
30,2022-01-19T13:05:40.000Z,"edy kurniawan
@sampulorua
·
Jan 19, 2022","BALI mendadak jadi kota bola, semua tim liga 1 ada di pulau dewata, timnas ada tong ke sini menyusul"
31,2022-01-19T13:03:49.000Z,"pamanStallin
@addr_arya
·
Jan 19, 2022","Bali,
Mereka terkenal karena budhaya-nya,generasi muda nya yang masih menjunjung tinggi budaya para leluhurnya.

tidak ada rasa malu dalam diri mereka,hanya rasa bangga yang mereka miliki,Bangga dengan budaya leluhurnya!"
32,2022-01-19T13:03:44.000Z,"Contact Center AP II
@contactap2
·
Jan 19, 2022","Halo kak, informasi penerbangan saat ini sesuai SE Satgas Covid-19 No. 22 Tahun 2021 dan SE Kemenhub No. 96 Tahun 2021 untuk penerbangan dari/ke daerah di wilayah Pulau Jawa dan Bali wajib menggunakan RT-PCR dengan (1/2) -Imam"
33,2022-01-19T12:57:52.000Z,"XIA YAN POOKIE WOOKIE
@IPegXiaYan
·
Jan 19, 2022",Orang lain mah ngajakin temennya liburan ke bali kek ke jogja kek ke bandung kek ini ngajak sepedaan anjing
34,2022-01-19T12:40:26.000Z,"bray
@dumbledokyungso
·
Jan 19, 2022",ya kan!! pas aku tau jg kaget wkwkw tp kakanya yg model keliatan blasterannya sih putrinya engga bali bgt wkkww blasteran bali-itali kalo gasalah aku jg baru tau pas kawin ada foto ama bapaknya
35,2022-01-19T12:21:23.000Z,"permenyuppi
@permenyuppiee
·
Jan 19, 2022",Ingin liburan ke Bali~
36,2022-01-19T12:04:54.000Z,"Khaidlir
@enjoyutara
·
Jan 19, 2022",Mumpung iseh jeda kompetisi neng pantai Bali kui pemainmu nomer 9 kon latian nembak ombak laut ben koyo Kojiro Hyuga
37,2022-01-19T12:02:04.000Z,"vekajoki statistika & joki spss | jasa edit foto
@orderinajayuk
·
Jan 19, 2022",Pulang pergi Bali 
38,2022-01-19T12:57:52.000Z,"XIA YAN POOKIE WOOKIE
@IPegXiaYan
·
Jan 19, 2022",Orang lain mah ngajakin temennya liburan ke bali kek ke jogja kek ke bandung kek ini ngajak sepedaan anjing
39,2022-01-19T12:40:26.000Z,"bray
@dumbledokyungso
·
Jan 19, 2022",ya kan!! pas aku tau jg kaget wkwkw tp kakanya yg model keliatan blasterannya sih putrinya engga bali bgt wkkww blasteran bali-itali kalo gasalah aku jg baru tau pas kawin ada foto ama bapaknya
40,2022-01-19T12:21:23.000Z,"permenyuppi
@permenyuppiee
·
Jan 19, 2022",Ingin liburan ke Bali~
41,2022-01-19T12:04:54.000Z,"Khaidlir
@enjoyutara
·
Jan 19, 2022",Mumpung iseh jeda kompetisi neng pantai Bali kui pemainmu nomer 9 kon latian nembak ombak laut ben koyo Kojiro Hyuga
42,2022-01-19T12:02:04.000Z,"vekajoki statistika & joki spss | jasa edit foto
@orderinajayuk
·
Jan 19, 2022",Pulang pergi Bali 
43,2022-01-19T12:00:31.000Z,"mayumy
@NCITKIMJW0
·
Jan 19, 2022",Tanggal 27 mau ke jogja sama anak hs tp mama mau pergi juga ke bali plus lg di marahin krn kemaren HUAAA udh lah di rumah aja
44,2022-01-19T11:55:13.000Z,"*:･ﾟ✧ sere
@hi_seree
·
Jan 19, 2022","iyaa di bali, cuma lagi liburan ajaa "
45,2022-01-19T11:43:05.000Z,"Very Adisetyawan
@Very_Aray
·
Jan 19, 2022"," Selamat Liburan di Bali 
@PerselaFC
 . Liburan Terus sampek Lali cara e Menang"
46,2022-01-19T11:40:12.000Z,"ADAM
@adamajiko
·
Jan 19, 2022",Saran dong liburan ke bali apa bajo dulu ? soalnya uang nya baru kekumpul 2rb
47,2022-01-19T11:38:54.000Z,"anessttxx
@hrj_gfriend
·
Jan 19, 2022","Temen gue anak ceo ngajak liburan bareng ke Bali, udah kayak ngajak makan bakso anjeng. Mudah banget. Babi lah"
48,2022-01-19T11:21:19.000Z,"犬
@orgilteen
·
Jan 19, 2022","bali gasi, nyoba² keluar pulau"
49,2022-01-19T11:02:20.000Z,"Gio
@yaabismaugimana
·
Jan 19, 2022",Lagi capek2nya kerja ngeliat temen lg liburan di Bali tuhhh hhhh
50,2022-01-19T10:55:49.000Z,"Arif Aul
@aauliaa13
·
Jan 19, 2022","Study tour mang, eta tukangeun pulau bali soalna hahahaha"
51,2022-01-19T10:40:06.000Z,"cupcake
@idoycutee
·
Jan 19, 2022","Pasien setelah pulang perjalanan dari jakarta-bali kontak dengan anak²nya di rumah, satu anak kelas X SMa dan satu anak kelas VII SMP.. yups betul di daerah aku kebetulan kegiatan PTM mulai 100%. 2 hari yll anak² masi masuk sekolah seperti biasa (disini kondisi-"
52,2022-01-19T10:31:59.000Z,"cupcake
@idoycutee
·
Jan 19, 2022","Riwayat perjalanan kantor jakarta-bali keluhan nya Alhamdulillah lebih ringan di banding saat terkonfirmasi di bulan agustus lalu, semoga saat menjalani isoman ga muncul keluhan² dan gejala² yg berat aminn.."
53,2022-01-19T10:27:22.000Z,"𝐩𝐢𝐲
@vousmepiy
·
Jan 19, 2022",open donasi dong buat beliin tiket liburan ke bali dong
54,2022-01-19T10:13:01.000Z,"Info Madura
@InfoMadura3
·
Jan 19, 2022","Pulau Madura besarnya kurang lebih 5.168 km2 (lebih kecil daripada pulau Bali), dengan penduduk hampir 4 juta jiwa."
55,2022-01-19T10:12:31.000Z,"neera
@bitchflavor
·
Jan 19, 2022","aaaaaaaaa nangis banget.. Inget gak waktu 5sos liburan ke bali rame rame sama terus sama crystal dan temen temennya juga, keknya awal mula cinlok disana deh.. Terus balik ke bali lagi malah proposal, ehh balik lagi buat nikah :')"
