No,Date,Username,Tweet
1,2022-02-19T23:55:12.000Z,"Namjoon's
@vincanindya
·
Feb 20, 2022",Nunggu reda kopid. Ntar mau minta rekomen tempat lagi ya skalian alurnya biar ga bolak balik. Gw udh lama bgt ga ke Bali jd ga tau spot turis di sana skrg apa aja.
2,2022-02-19T23:49:52.000Z,"prihanto
@Paka15355258
·
Feb 20, 2022",Di Bali gak lakuuuu ....pindah Jatim.....ayo warga Jatim tolak lah wisata halal
3,2022-02-19T23:48:42.000Z,"Geronimo
@GeronimoAdr
·
Feb 20, 2022",Enak kali ya tinggal di Bali. Kalo bingung kemana tinggal ke pantai
4,2022-02-19T23:42:38.000Z,"ayra
@xyz3phyr
·
Feb 20, 2022","Dopamine gue salah banyaknya ya gue cabs balik lagi ke semarang, makan tahu gimbal jalan thamrin, gacoan, ayam bali crispynya bursky atau buatan mantan gue (ini beneran enak WKWKWK), serabi ngampin, mie yamin bergota, mie ayam bu tumini, pantai gunungkidul, ciuman, dipeluk."
5,2022-02-19T23:32:26.000Z,"Not Your Dady
@AlterPapamuda
·
Feb 20, 2022","Mimpi liburan di Bali bersama pasangan. Lalu dia ketauan telponan sambil sayang-sayangan.  Kita marahan didepan lobi. Aku katain dia ""tega banget sedang liburan, masih sayang-sayangan dengan yang lain ?"". Kemudian dia jawab sambil tersenyum ""lho mas, kita kan mantan""

#LoveStory"
6,2022-02-19T19:29:34.000Z,"Baby Bear
@Yoursassygirl16
·
Feb 20, 2022","Tiba tiba kangen bali pengen liburan:(, padahal kemarin abis dari Sulawesi:("
7,2022-02-19T18:57:02.000Z,"Toko Ragil Soka
@TokoRagil
·
Feb 20, 2022","Dalam survei tahunan Long Haul Report, menempatkan pulau Bali di urutan ketiga sebagai kawasan wisata termurah di dunia."
8,2022-02-19T18:54:00.000Z,"(IA) jess⁷ •◡•
@kmsjsimp
·
Feb 20, 2022",bali HEHEHEHEH makanya bawanya yg jin pantai HAHAHAHAHAH
9,2022-02-19T18:41:41.000Z,"재
@Bobareceh
·
Feb 20, 2022","bener. di sby tuh kalo dibuat hari tua kurang cocok sih terlalu rame. maybe kayak di bali, lombok yg walaupun banyak turis tapi feelnya beda. klo enggak yang daerah timuran atau tempat yg masih asri sama tumbuhan hehe"
10,2022-02-19T18:24:44.000Z,"edy kurniawan
@sampulorua
·
Feb 20, 2022","@Mahar3Ramadhani
 rindu curi spanduk baru pilox kritikan ke PSM, sekarang jangankan stadion kantor saja ndada

tambah lagi PSM liburan di Bali"
11,2022-02-19T18:19:22.000Z,"tumissayurpelangi
@Raffi_Fer
·
Feb 20, 2022","Isok lah next trip bali fotono aku ng kene karo si black 
@_rizzky18"
12,2022-02-19T17:03:15.000Z,"Ardi
@Ardianale
·
Feb 20, 2022",Bali itu pulau dewata. Kamu itu orang yang kuinginkan hidup bersama secara dewasa. steffizmr15
13,2022-02-19T16:25:56.000Z,"Gusti Venia
@veniagst
·
Feb 19, 2022",I remember the day starving-nya hailee jd soundtrack kerja sambil liburan di Bali. It was fun.
14,2022-02-19T16:18:54.000Z,"anak presiden
@sptyqa
·
Feb 19, 2022","Pernah sebelum pkl ke Bali h-1 nemu uang 150k dijalan, aku bagi sama temenku ehh pas udah berangkat ditengah perjalanan aku lupa bawa atm ku WAKKAKAKAKAKKA"
15,2022-02-19T18:24:44.000Z,"edy kurniawan
@sampulorua
·
Feb 20, 2022","@Mahar3Ramadhani
 rindu curi spanduk baru pilox kritikan ke PSM, sekarang jangankan stadion kantor saja ndada

tambah lagi PSM liburan di Bali"
16,2022-02-19T18:19:22.000Z,"tumissayurpelangi
@Raffi_Fer
·
Feb 20, 2022","Isok lah next trip bali fotono aku ng kene karo si black 
@_rizzky18"
17,2022-02-19T17:03:15.000Z,"Ardi
@Ardianale
·
Feb 20, 2022",Bali itu pulau dewata. Kamu itu orang yang kuinginkan hidup bersama secara dewasa. steffizmr15
18,2022-02-19T16:25:56.000Z,"Gusti Venia
@veniagst
·
Feb 19, 2022",I remember the day starving-nya hailee jd soundtrack kerja sambil liburan di Bali. It was fun.
19,2022-02-19T16:18:54.000Z,"anak presiden
@sptyqa
·
Feb 19, 2022","Pernah sebelum pkl ke Bali h-1 nemu uang 150k dijalan, aku bagi sama temenku ehh pas udah berangkat ditengah perjalanan aku lupa bawa atm ku WAKKAKAKAKAKKA"
20,2022-02-19T16:06:15.000Z,"Reza
@rezarezarezare
·
Feb 19, 2022","Mungkin nyinyir krn tiap konten budaya ada komen musyrik & suruh nutup aurat (?)
Tp bener sih lebay kalo mrk bilang budayanya terancam. Pdhl Jawa mayoritas, menyebar di daerah yg adatnya beda2, & agama yg dianut pun rata2 islam & kristen. Masa berharap murni kaya Bali/Baduy "
21,2022-02-19T15:56:13.000Z,"embun
@VivinLorenza
·
Feb 19, 2022","Osso, Enrekang, Sulawesi Selatan.
Kedua kali keluar pulau jawa setelah Bali
Di taun 2017 umur 19th, Pas nyampe bandara sulsel kehilangan duit cash kurleb 1jtan, cuma ber3 bareng tmen, kearah enrekang jalanannya jauh banget sekitar 8-11jam tapi disuguhi dengan pemandangan yang-"
22,2022-02-19T15:51:28.000Z,"Im Yoona
@The_Yoona
·
Feb 19, 2022",YoonA memilih Pulau BALI sebagai tempat bulan madunya. #yoona
23,2022-02-19T15:46:42.000Z,"apa inu ojan
@daffaibn
·
Feb 19, 2022",Skrg ngerti knapa orang² seneng liburan k bali 
24,2022-02-19T15:46:15.000Z,"Suraqil
@Suraqil1
·
Feb 19, 2022",yaaahhh....suram sekarang tuh tapi berkat itu pas pergi ke bali telinga ku ada imun buat respon gituan
25,2022-02-19T15:41:53.000Z,"Mas
@melindaade
·
Feb 19, 2022","Bali, selalu mengingatkan saya tentang sunset, birunya langit, menuju sunset udara dan suasanya jadi berbeda, pantai, ketenangan, harapan, rasa sakit, deburan ombak pantai kelingking (deburan ombaknya, tidak pernah saya temui di pantai manapun yang pernah saya kunjungi)."
26,2022-02-19T15:35:40.000Z,"Titi
@Titikim2409
·
Feb 19, 2022","Dukung KTT G20 pembangunan PLTS dan relokasi PLTG diresmikan, #PLN bersama PemProv Bali bekerja sama mendorong pemanfaatan EBT di pulau dewata. 
Iconnet  
PLN Mobile
#PLNSupportG20"
27,2022-02-19T15:25:29.000Z,"Titi
@Titikim2409
·
Feb 19, 2022","#PLN Bersama Gubernur Bali meresmikan pembangunan PLTS dan relokasi PLTG guna mendorong pemanfaatan energi bersih ramah lingkungan di pulau dewata.
Iconnet  
PLN Mobile
#PLNSupportG20"
28,2022-02-19T15:00:53.000Z,"Rajatrip.com
@raja_trip
·
Feb 19, 2022","Paket Liburan ke Bali, Kuala Lumpur, Singapore, Bangkok, Hong Kong mulai dari 1,7jt/orang !! Contact Us : BBM : 746826BB"
29,2022-02-19T14:54:49.000Z,"Traveloka Indonesia
@traveloka
·
Feb 19, 2022","Boleh ya Kak, jika kamu dari/menuju kota di luar pulau Jawa dan Bali, sudah vaksin minimal 1 dosis, kamu boleh menggunakan hasil tes Rapid Antigen yang sampelnya diambil maksimal 1x24 jam sebelum penerbangan. Terima kasih -AL"
30,2022-02-19T14:52:39.000Z,"Buoy
@laughinggcoffin
·
Feb 19, 2022",5x lagi dapat voucher liburan ke Bali ntar
31,2022-02-19T14:52:38.000Z,"Salmonella
@breathe_010
·
Feb 19, 2022","Beli pulau...
Target pulau jawa,
Next bali "
32,2022-02-19T14:47:41.000Z,"Wiarpiz
@wiar_piz
·
Feb 19, 2022",Pulau Dewata Bali merupakan 1 dari 10 pulau paling romantis di dunia. [majalah Travel+Leisure]
33,2022-02-19T14:46:04.000Z,"taeyongf
@iffahzynh
·
Feb 19, 2022",Buka balik cerita pasal pergi bali ni….i won’t repeat there anymore la ahahhajskskwkwkajha masatu umur 15 kot endup kena makan maggi je. Punya susah nak cari halal. Even halal pun satu kuali dengan kuali masak khinzir. Apooooo
34,2022-02-19T14:33:28.000Z,"rey k/ia sampe gabut
@jjeongse0ng
·
Feb 19, 2022","anjir keren, gue kira tari bali
malem² gini?"
35,2022-02-19T14:24:26.000Z,"Ayu Diah Cempaka
@ayycmpp
·
Feb 19, 2022",pingin bgt jadi orang Jakarta yg liburan ke Bali
36,2022-02-19T14:17:29.000Z,"Adjie Anderson Gates
@Adjiesupergates
·
Feb 19, 2022",“INI YANG DILAKUKAN DR. TIFANNY ADIPUTRA KEPALA DINAS KESEHATAN  BALI SAAT INI. MENEMBAKI SEMUA TURIS YANG ADA DI BALI. DAN MENUMPUK MAYAT MEREKA.”. sambung Pedro dengan mimik wajah serius. (memperlihatkan beberapa video yang berhasil direkam drone). #g1841 #cgk
37,2022-02-19T14:13:29.000Z,"ありさ
@chaaeyz
·
Feb 19, 2022",Iye bapak sy ama mama sy bsk pergi ke bali  iri
38,2022-02-19T14:17:29.000Z,"Adjie Anderson Gates
@Adjiesupergates
·
Feb 19, 2022",“INI YANG DILAKUKAN DR. TIFANNY ADIPUTRA KEPALA DINAS KESEHATAN  BALI SAAT INI. MENEMBAKI SEMUA TURIS YANG ADA DI BALI. DAN MENUMPUK MAYAT MEREKA.”. sambung Pedro dengan mimik wajah serius. (memperlihatkan beberapa video yang berhasil direkam drone). #g1841 #cgk
39,2022-02-19T14:13:29.000Z,"ありさ
@chaaeyz
·
Feb 19, 2022",Iye bapak sy ama mama sy bsk pergi ke bali  iri
40,2022-02-19T14:09:41.000Z,"JONI RASMANTO
@JoniRasmanto
·
Feb 19, 2022",PULAU BALI
41,2022-02-19T13:56:08.000Z,"Archipelago Rebels
@naviculamusic
·
Feb 19, 2022",Turis-turis rusia yang tinggal berkepanjangan di bali kapan pulang ya bela negara perang dengan ukraina
42,2022-02-19T13:55:29.000Z,"aura~
@secretaura21
·
Feb 19, 2022","Tadi nyokap cerita katanya bokap sempet ngomong “kasian jg lia gak keluar2” trus nyokap ngomong lagi tapi ke gue doang “pdhl ayah blm tau aja kamu mau ke bali” wkwk gue jadi ketawa sendiri, tumben amat bapake nanya begitu biasanya kalo gue pergi ngedumel mulu"
43,2022-02-19T13:40:33.000Z,"Titi
@Titikim2409
·
Feb 19, 2022","Wujudkan penggunaan energi bersih di pulau dewata, Dirut #PLN dan Gubernur Bali meletakan batu pertama peresmian PLTS dan relokasi PLTG Grati.
Iconnet  
PLN Mobile
#PLNTerangiG20"
