No,Date,Username,Tweet
1,2022-03-17T23:53:46.000Z,"Puri Taman Raja
@KuatKayu
·
Mar 18, 2022",Di jadwalkan pagi hari ini perjalanan Prov. Kembar menuju Bali.
2,2022-03-17T23:09:12.000Z,"putrri
@putr1_s
·
Mar 18, 2022","Bali memiliki situs arkeologi bersejarah mirip Petra di Jordania selatan, yaitu situs Candi Gunung Kawi."
3,2022-03-17T22:20:21.000Z,"Ida Basukih
@ib_ost
·
Mar 18, 2022",Pantai Batu Belah Karangasem Bali.
4,2022-03-17T21:22:23.000Z,"I M Agung
@agungvs69
·
Mar 18, 2022","Ngisi bensin full tank sekarang untuk sedan yg 3000cc, abis sejuta duaratus 

Jadi mereka bimbang dalam idupnya, mikirin mending beli bensin full tank atau liburan ke bali"
5,2022-03-17T19:13:34.000Z,"Indonesian Embassy in Windhoek
@IndonesiaInWhk
·
Mar 18, 2022","5. Dubes juga berharap agar Delegasi Parlemen Namibia menikmati Pulau Dewata Bali, yang dalam beberapa tahun terakhir selalu masuk dalam daftar salah satu Tujuan Wisata Terbaik Dunia."
6,2022-03-17T19:10:20.000Z,"ibaaaa
@ythibra
·
Mar 18, 2022",Pasti dikepang sama ibu ibu di pantai bali ya
7,2022-03-17T18:20:43.000Z,"need vitamin q◡̈
@seoulkidul
·
Mar 18, 2022","lebih banyak diminati? Karena budaya yang masih tetap dilestarikan sampai sekarang. Secara turun temurun ga pernah luntur dan kita menjunjung tinggi itu."" Jogja emang masih ada beberapa tradisi yang sampe saat ini masih ada. tp ga kayak Bali yang ke pura pakai baju adat dll."
8,2022-03-17T18:17:54.000Z,"need vitamin q◡̈
@seoulkidul
·
Mar 18, 2022","terus ga ada salahnya sih meneruskan tradisi ini. ini bisa jadi daya tarik kayak orang Bali lakukan lho. mereka melestarikan budaya mereka. karna tour guide ku pas di Bali pernah bilang ""Saya pernah ke Jogja. Pantai di Jogja ga kalah bagus sama di Bali. Tapi tau kenapa di Bali"
9,2022-03-17T17:54:38.000Z,"BAYUDHANI
@Dhani_bunshin
·
Mar 18, 2022","Kayanya dulu kita itu terpinggirkan, nda ditelengok gtu, dan malah kita dicap sebagai Pulau Subtitusi dari Pulau Bali, ada terkenal istilah ""Bali Little Brother"", ""The Seconds Bali"", kenapa nda Bali aja yang jadi ""The Seconda Lombok"" ?r"
10,2022-03-17T17:54:37.000Z,"BAYUDHANI
@Dhani_bunshin
·
Mar 18, 2022","Trus kita yang di Lombok terbiasa nonton tv yang diberitakan Jawa, Jakarta, Sumatera, Bali, nama2 daerah tenar lah, giliran Lombok beritanya paling sekelebet ""Mengenal Kuliner Taliwang Lombok"" atau ""Indahnya Pantai Pulau Lombok"". Gtu2 ajak"
11,2022-03-17T17:43:16.000Z,"siapa aku?
@ayangggmu_
·
Mar 18, 2022",knp tari bali iringane ora cetho bgt sih
12,2022-03-17T17:01:36.000Z,"2022 #hoki
@AryaBIGMARS
·
Mar 18, 2022","Pemain BU main di Bali beranggap kerja, pemain lain ke Bali nganggap liburan "
13,2022-03-17T16:39:22.000Z,"yogiee45
@yogiee45
·
Mar 17, 2022","Secara psikologis cukup berpengaruh. Meski tanpa suporter, tekanan dan jg atmosfer pertandingan terasa bagi tim lain yg bertanding vs BU. Konteks tuan rumah bukan merujuk pd stadion (Dipta) tp notabene klub yg berbasis di pulau Bali."
14,2022-03-17T17:54:37.000Z,"BAYUDHANI
@Dhani_bunshin
·
Mar 18, 2022","Trus kita yang di Lombok terbiasa nonton tv yang diberitakan Jawa, Jakarta, Sumatera, Bali, nama2 daerah tenar lah, giliran Lombok beritanya paling sekelebet ""Mengenal Kuliner Taliwang Lombok"" atau ""Indahnya Pantai Pulau Lombok"". Gtu2 ajak"
15,2022-03-17T17:43:16.000Z,"siapa aku?
@ayangggmu_
·
Mar 18, 2022",knp tari bali iringane ora cetho bgt sih
16,2022-03-17T17:01:36.000Z,"2022 #hoki
@AryaBIGMARS
·
Mar 18, 2022","Pemain BU main di Bali beranggap kerja, pemain lain ke Bali nganggap liburan "
17,2022-03-17T16:39:22.000Z,"yogiee45
@yogiee45
·
Mar 17, 2022","Secara psikologis cukup berpengaruh. Meski tanpa suporter, tekanan dan jg atmosfer pertandingan terasa bagi tim lain yg bertanding vs BU. Konteks tuan rumah bukan merujuk pd stadion (Dipta) tp notabene klub yg berbasis di pulau Bali."
18,2022-03-17T16:37:16.000Z,"VENYSYA
@aifatinvenysya
·
Mar 17, 2022",Random mimpi jalan2 ke bali brangkat pake mobil berdua sama suami. Kaya kangen liburan bgt gasi
