No,Date,Username,Tweet
1,2022-04-23T22:12:22.000Z,"cherry.
@ampasjusbuah
·
Apr 24, 2022","Semoga kegiatan truna-truni Bali seperti gamelan, seni tari, ogoh-ogoh tahunan, festival layang-layang, pelayanan upacara adat di banjar2 setempat bisa terus eksis dg penerapan yg lebih baik. Sehingga tak ada rasa gabut yg menggiring remaja2 ini untuk melakukan kegiatan kriminal."
2,2022-04-23T22:00:16.000Z,"sal⁰²
@greenxmint
·
Apr 24, 2022",tmi: nontonin treasure yg di bali.. malemnya mimpi aku kelelep di pantai 
3,2022-04-23T21:59:11.000Z,"cherry.
@ampasjusbuah
·
Apr 24, 2022","I am not saying that Bali is the best among all provinces in term of attacking criminal cases caused by murderous youngsters. Tapi, menurutku, ini ada kaitannya dg budaya pergaulan anak2 remaja tanggung di tiap kota besar. Mereka kurang kegiatan positif yang berkelanjutan."
4,2022-04-23T21:33:51.000Z,"Abdi NURU
@1404Stj
·
Apr 24, 2022","Kapan jalan-jalan, wisata ke Surabaya, Jawa Timur?
Dekat Bali"
5,2022-04-23T22:12:22.000Z,"cherry.
@ampasjusbuah
·
Apr 24, 2022","Semoga kegiatan truna-truni Bali seperti gamelan, seni tari, ogoh-ogoh tahunan, festival layang-layang, pelayanan upacara adat di banjar2 setempat bisa terus eksis dg penerapan yg lebih baik. Sehingga tak ada rasa gabut yg menggiring remaja2 ini untuk melakukan kegiatan kriminal."
6,2022-04-23T22:00:16.000Z,"sal⁰²
@greenxmint
·
Apr 24, 2022",tmi: nontonin treasure yg di bali.. malemnya mimpi aku kelelep di pantai 
7,2022-04-23T21:59:11.000Z,"cherry.
@ampasjusbuah
·
Apr 24, 2022","I am not saying that Bali is the best among all provinces in term of attacking criminal cases caused by murderous youngsters. Tapi, menurutku, ini ada kaitannya dg budaya pergaulan anak2 remaja tanggung di tiap kota besar. Mereka kurang kegiatan positif yang berkelanjutan."
8,2022-04-23T21:33:51.000Z,"Abdi NURU
@1404Stj
·
Apr 24, 2022","Kapan jalan-jalan, wisata ke Surabaya, Jawa Timur?
Dekat Bali"
9,2022-04-23T22:12:22.000Z,"cherry.
@ampasjusbuah
·
Apr 24, 2022","Semoga kegiatan truna-truni Bali seperti gamelan, seni tari, ogoh-ogoh tahunan, festival layang-layang, pelayanan upacara adat di banjar2 setempat bisa terus eksis dg penerapan yg lebih baik. Sehingga tak ada rasa gabut yg menggiring remaja2 ini untuk melakukan kegiatan kriminal."
10,2022-04-23T22:00:16.000Z,"sal⁰²
@greenxmint
·
Apr 24, 2022",tmi: nontonin treasure yg di bali.. malemnya mimpi aku kelelep di pantai 
