No,Date,Username,Tweet
1,2022-05-01T23:57:59.000Z,"Desi kurniasih
@desy_kr726
·
May 2, 2022","Gw tinggal d jkt emang udah g di kasih plastik liburan ke bali jg udah g ada plastik 
 Pas pulkam gw ke minimarket trs Abis bayar gw mau tenteng belanjaan eh masih dpt plastik brasa dpt hadiah gw ampe bengong masih ada plastik d kampung gw "
2,2022-05-01T20:08:14.000Z,"@fuckitilovyu
·
May 2, 2022",road trip ke bali enak kali ya
3,2022-05-01T19:10:43.000Z,"Raven
@nicholasraven
·
May 2, 2022",Temen2 gue kenapa pada liburan di Bali dah?
4,2022-05-01T16:48:02.000Z,"Chriestyan Kalengkongan
@ChriestyanK
·
May 1, 2022",Klo menjiplak apalagi mengklaim dgn alasan yg menurut saya tidak masuk akal jelas tidak dibenarkan. Terlihat bangs itu mengalami krisis intelektual dalam hal kebudayaan. Saya ambil contoh Barongan. Budaya Barongan berasal dari suku Jawa dan Bali. 2 suku itu bagian dari Indonesia.
5,2022-05-01T16:17:48.000Z,"gowyi tomioka
@fisikanjeng
·
May 1, 2022","Jjur gweh jg bosen sebenernya ke pantai, kecuali gweh tinggal di laos seneng kali yh, ato ga pantai nya yg kek di bali gttt"
6,2022-05-01T16:00:50.000Z,"SariMurni
@SeretYoyo
·
May 1, 2022","Ada kenalan orang Bali gak? Ayo liburan kesana tp gaada temen. Atau ""Lagi ada sibuk aoa nih?"" ""Eh dah nonton film ini belom? Atau dah lihat konser itu belom?"" banyak topik-topik ringan yg justru bagus ngebangun suasana"
7,2022-05-01T15:57:49.000Z,"GIVEAWAY MERCH CEK PIN
@schfess
·
May 1, 2022","sch! haloo yang dari bali bisa kasi rekomendasi tempat les basing gaa? makasii

✄・・・
 Trivia: Indonesia berasal dari bahasa latin yaitu indus berarti India dan nesos berarti pulau-pulau"
8,2022-05-01T15:48:38.000Z,"Call Me De
@AqKmSatu
·
May 1, 2022","Hari ini final bikin laporan dinas, iseng2 rekap perjalanan dinas keluar kota di 2022, Jan-Apr. Wow! (Bali) 7x, (Bandung) 4x, (Yogya, Solo, Cirebon) 3x, (Samarinda, Pekalongan, Lombok) 2x, (Surabaya, Semarang, Balikpapan, Aceh, Toba, Bogor, Sukabumi, Palembang) 1x. Next?"
9,2022-05-01T15:39:53.000Z,"chu 秀秀
@chustival
·
May 1, 2022",Dulu tu pengen belajar tari bali gue. Tapi gue sipit+gabisa melotot  gajadi deh
10,2022-05-01T15:22:57.000Z,"arinn
@anaktunggal13_
·
May 1, 2022","Lg vc an sama doi, doi lg ngumpul sama temennya. Terus nyanyi""+gitaran sama temen""nya. Tbtb nyanyi apa ya  pkok yg ""cinta di pantai bali"" tbtb teriak ""cinta di FKIP"" ngakak tp salting"
