No,Date,Username,Tweet
0,2022-06-10T23:53:00.000Z,"Cut Ratna Aulia
@aulia_eusoff
·
Jun 11, 2022",Aaarrghhhhh nak pergi Bali!
1,2022-06-10T23:46:28.000Z,"thaa
@00RJMN
·
Jun 11, 2022",w pen cepet cepet pulang ke bali deh mau ngebo di pulau kapuk kesayangan
2,2022-06-10T23:38:07.000Z,"Devil May Crypto
@devilmaycrypt0
·
Jun 11, 2022","Yg nuntut siapa??? Apa sih yg menarik di Bali?  Cafe? Pantai? Bule bugil? 
Makanan jepang, enak tapi klo gk halal ngapain,,,, ngapain dituntut toh mereka inisiatif sendiri buat nyari pasar warga Muslim."
3,2022-06-10T23:37:25.000Z,"IB Charisma
@IB_Charisma
·
Jun 11, 2022",WISATA BALI HALAL 
4,2022-06-10T23:32:36.000Z,"Al.
@spiceysweetie
·
Jun 11, 2022","Sama persis kayak org bali dengan budaya dan agamanya. Sama persis kayak suku2 lain di indonesia. Tp kenapa giliran suku yg bernafaskan islam, malah kena rujak gini coba? Knp bukan dibela mati2an seakan2 itu sukumu sendiri, yg ada justru malah diserang?"
5,2022-06-10T23:30:35.000Z,"diditukeneh
@diditukeneheuy
·
Jun 11, 2022","ini sih menyinggung brand identity dari masakan minang atau rumah makan padang yang kental dengan ke halalan nya, mirip di bali yang protes wisata halal lah karena value dan brand identity bali bukan itu jadi mereka protes"
6,2022-06-10T23:24:56.000Z,"nan
@reinanbraun
·
Jun 11, 2022","ya kalo gitu jangan menuntut ramen halal, bakpau halal dan wisata halal bali. kok ngatur2 budaya orang?"
7,2022-06-10T23:23:13.000Z,"cilokman
@m_nazw
·
Jun 11, 2022","Kalau menurut saya beda konteks sih, karena identitas disini soal masyarakat Padang menjaga kehalalan. Apa wisata halal bagi masy Bali itu haram? Apa selain mirin bagi masy Jepang itu haram? Kan enggak. Nyambung tuh kalau dicontohkan ""Sate Lilit Khas Bali"" tapi pake daging sapi."
8,2022-06-10T23:22:55.000Z,"KurniawanZidhan
@KurniawanZidha2
·
Jun 11, 2022",Jadi tempat wisata di Indonesia tidak halal ya...??? Gimna sih wisata di Bali itu yg tidak halal telanjang bulat di pantai gitu ya ...
9,2022-06-10T23:18:43.000Z,"Security Lover
@security_lo
·
Jun 11, 2022",Dan itu sebabnya Bali lebih disukai untuk jadi tujuan wisata banyak orang daripada kampung halaman yang tdk kalah indahnya. Mengapa begitu? Mereka tidak tersinggung berat hanya gara2 makanan yang bahannya diganti. Mereka tidak ngamuk dan menuding orang lain melecehkan adat.
10,2022-06-10T23:18:28.000Z,"disyy
@nebullaa_
·
Jun 11, 2022","sbnrnya org2 pada ga suka ada non halal naspad itu cuma karena masalah budaya, minang itu kan kental agama islamnya, jd dijunjung tinggi bgt budaya islamnya, gabisa disamain dgn wisata 'halal' di bali, sushi halal, ramen halal udh beda budaya soalnya"
11,2022-06-10T23:16:15.000Z,"MukeLuJauh
@LuJauh
·
Jun 11, 2022","Susah kayanya bang,lombok sendiri yg menggadang gadang wisata halal aja gk bisa masuk.Karena masih ada yg jual alcohol itu pun jadi pertimbangan,nah aplg bali yg pajak dr minumannya tinggi.Karena kriteria masuk wisata halal itu tidak boleh adanya penjualan alcohol."
12,2022-06-10T23:11:33.000Z,"Nuansa Rahmadi
@nuansarahmadi
·
Jun 11, 2022","Hahaha, di Bali semua makanan ada bro. 
Bali welcoming for everybody. 
Yuk kesini, nikmati wisata kelas dunia tanpa bawa embel2 agama. "
13,2022-06-10T23:18:28.000Z,"disyy
@nebullaa_
·
Jun 11, 2022","sbnrnya org2 pada ga suka ada non halal naspad itu cuma karena masalah budaya, minang itu kan kental agama islamnya, jd dijunjung tinggi bgt budaya islamnya, gabisa disamain dgn wisata 'halal' di bali, sushi halal, ramen halal udh beda budaya soalnya"
14,2022-06-10T23:16:15.000Z,"MukeLuJauh
@LuJauh
·
Jun 11, 2022","Susah kayanya bang,lombok sendiri yg menggadang gadang wisata halal aja gk bisa masuk.Karena masih ada yg jual alcohol itu pun jadi pertimbangan,nah aplg bali yg pajak dr minumannya tinggi.Karena kriteria masuk wisata halal itu tidak boleh adanya penjualan alcohol."
15,2022-06-10T23:11:33.000Z,"Nuansa Rahmadi
@nuansarahmadi
·
Jun 11, 2022","Hahaha, di Bali semua makanan ada bro. 
Bali welcoming for everybody. 
Yuk kesini, nikmati wisata kelas dunia tanpa bawa embel2 agama. "
