No,Date,Username,Tweet
0,2022-07-30T22:57:18.000Z,"ujang trompet
@barbarbinTitan
·
Jul 31, 2022",Yukk kak kebetulan aku lagi cari partner trip ke bali hehehe
1,2022-07-30T21:34:34.000Z,"Win Wan Nur
@AXEnophanes
·
Jul 31, 2022","Jelas, itu bikin pariwisata Aceh jadi khas, nggak head to head dengan Sumatera Utara. Itu 
@sandiuno
 kan terobsesi bikin wisata halal, syariah. Ya udah tepat itu buat dj Aceh, jangan Bali yang direcokin."
2,2022-07-30T21:20:16.000Z,".
@deeeeeeekz
·
Jul 31, 2022",seronoknya semua pergi bali
3,2022-07-30T19:47:38.000Z,"Kamiyanto
@mass_tatto
·
Jul 31, 2022","Biasanya ditempat wisata pantai Bang, Seperti di Pangandaran, Parangtritis,beberapa tempat di Bali/lombok dll, banyak yang jual ."
4,2022-07-30T19:28:26.000Z,"ŠĴ
@todayis_WR
·
Jul 31, 2022",Bali udah jadi rumah jadi pakaiannya santai banget atau karna pantai kan yaa
5,2022-07-30T18:21:51.000Z,"Mr. Tuki
@whatyoudigfor
·
Jul 31, 2022","Trial #2 anak motor aman.
Clumprit 
Batu 

Persiapan road trip Bali awal oktober "
6,2022-07-30T18:14:29.000Z,"AVAIL BEBAS CROT 2 JAM JAKPUS
@MissTereHyperrr
·
Jul 31, 2022","Padahal gue udh ngalah gue turutin kemauan dia biar gue ga pergi, udh gue batalin juga privat Bali, pdhl udh booking villa dan tiket pesawat juga demi dia doang !!!!! Fuck 
Tapi ternyata dia masih cari cwe yg lain juga wkwk"
7,2022-07-30T16:57:53.000Z,"Della Maulidia
@MRF_Della28
·
Jul 30, 2022","Gua tadi pas dia bilang kejadiannya di Bali, gua langsung ngakak inget foto dia yang nyempil kejepit tas mamanya wkwkwk"
8,2022-07-30T16:44:26.000Z,"Oh Nielly
@OhNielly
·
Jul 30, 2022","Setelah semua urusan bangun-membangun ini selesai, janji akan mulai fokus buat Bali's life.

Udah mulai halu bisa sunset-an setiap hari di pinggir pantai."
9,2022-07-30T16:33:03.000Z,"Proffessor Doktor . abdul latif . M.of tech..
@abdulla71088263
·
Jul 30, 2022","aku ini CUCU CICIT KESAYANGAN'nya BUDDHA JULAI

dulu di kasih hadiah pedang SAMURAI TITANIUM 

di GUNUNG AGUNG ... pulau BALI ....."
10,2022-07-30T16:31:56.000Z,"Reni Heimustovu
@Hei_Reni
·
Jul 30, 2022",Tetep cakepan Bali klo buat liburan.
11,2022-07-30T16:21:53.000Z,"han
@honeymilkkktea
·
Jul 30, 2022","dan aku isih dipaido ""gajimu mayan lo mosok liburan neng bali rakuat?"""
12,2022-07-30T16:03:57.000Z,"ʀᴜᴊᴀᴋ ᴋᴜᴀʜ ᴘɪɴᴅᴀɴɢ
@moneangenidup
·
Jul 30, 2022","makin kesini bali bakal pudar kulturnya, mau itu budaya ataupun berpakaian, masuk mall outfitnya pada ngikutin bule semua wkwkwk tpi untungnya msih bnyak juga yg localpride dan pd, salut.
see u at picafest 2022"
13,2022-07-30T16:00:31.000Z,"호랑이 power 𖧷
@nisaeee
·
Jul 30, 2022","Btw bulan lalu gue ga sanggup beli skinker gara2 beli tiket svt bkk and jkt + liburan ke bali dan bwi. Gue akuin salah perhitungan, not that i regret it, cuma konsekuensinya skrg  kulit gue breakout "
14,2022-07-30T16:33:03.000Z,"Proffessor Doktor . abdul latif . M.of tech..
@abdulla71088263
·
Jul 30, 2022","aku ini CUCU CICIT KESAYANGAN'nya BUDDHA JULAI

dulu di kasih hadiah pedang SAMURAI TITANIUM 

di GUNUNG AGUNG ... pulau BALI ....."
15,2022-07-30T16:31:56.000Z,"Reni Heimustovu
@Hei_Reni
·
Jul 30, 2022",Tetep cakepan Bali klo buat liburan.
16,2022-07-30T16:21:53.000Z,"han
@honeymilkkktea
·
Jul 30, 2022","dan aku isih dipaido ""gajimu mayan lo mosok liburan neng bali rakuat?"""
17,2022-07-30T16:03:57.000Z,"ʀᴜᴊᴀᴋ ᴋᴜᴀʜ ᴘɪɴᴅᴀɴɢ
@moneangenidup
·
Jul 30, 2022","makin kesini bali bakal pudar kulturnya, mau itu budaya ataupun berpakaian, masuk mall outfitnya pada ngikutin bule semua wkwkwk tpi untungnya msih bnyak juga yg localpride dan pd, salut.
see u at picafest 2022"
18,2022-07-30T16:00:31.000Z,"호랑이 power 𖧷
@nisaeee
·
Jul 30, 2022","Btw bulan lalu gue ga sanggup beli skinker gara2 beli tiket svt bkk and jkt + liburan ke bali dan bwi. Gue akuin salah perhitungan, not that i regret it, cuma konsekuensinya skrg  kulit gue breakout "
19,2022-07-30T15:38:17.000Z,"jscmoo 'wa
@sjwanniegf
·
Jul 30, 2022","Jalur pantai bali, eh engga deng, itu masi belum hapal siapa aja, awal stan itu waktu pas boy keluar"
