,0,1,2
0,2021-11-29T16:44:27.000Z,"Jack
@_JackRFC_
·
Nov 29, 2021",Might just sack everything off and go and live on a beach in Bali or something
1,2021-11-29T15:36:51.000Z,"Muki
@Mukila19
·
Nov 29, 2021",3 rd island Aachu arjun sir should have questioned viji how he gave left right to saran how can survivor team completely ignore the mistake done by Viji oruthana bali aadu aagitu innoruthavangala onnumey sollama Irukurathu dan than thappu iruku
2,2021-11-29T14:50:23.000Z,"BALI Awards
@BALI_Awards
·
Nov 29, 2021",Reply with your favourite BALI Awards memories and let's all take a trip down memory lane…
3,2021-11-29T14:26:04.000Z,"No Base! 沖縄 Okinawa
@nobaseyellow
·
Nov 29, 2021",But are Japanese free to pop over to Hawaii for a trip?  Or Bali?
4,2021-11-29T14:24:28.000Z,"Mythological Africans
@MythicAfricans
·
Nov 29, 2021","#MythologyMonday
This myth explains the origins of races in Kunu thought. Similar myths which explain differences in skin color and culture occur among the Kongo (DRC) and the Bali Nyonga (Cameroon). 

It is thought that these stories emerged *after* contact with Europeans."
5,2021-11-29T13:58:53.000Z,"Olivia Reilly
@olivia_reilly
·
Nov 29, 2021","@EmiratesSupport
 hi, I’ve got a travel voucher as original flights were cancelled due to covid in 2019. I would like to see what options I have as I haven’t been able to use it as Bali has been on the red list"
6,2021-11-29T13:01:32.000Z,"*She who knows*
@Jhab__
·
Nov 29, 2021",I need to plan a spiritual trip to Bali soon
7,2021-11-29T12:07:30.000Z,"@TaemNRoses
·
Nov 29, 2021","""Missing Perth man Josh Gourdwaard has been found in Thailand playing the bongos on the beach, by an American tourist. He was reported missing in Bali, with friends and family holding desperate searches since November 1.""

What the fuck is my country"
8,2021-11-29T11:14:25.000Z,"Clare Mutsaars
@BinginClare
·
Nov 29, 2021","It's the gentle Hindu nature of Bali which has kept the island peaceful, so far."
9,2021-11-29T09:25:52.000Z,"Elli Wallace
@ElliWallace6
·
Nov 29, 2021","Elli is tired of this lockdowns, i should travel to Bali but they making new lockdown :(((( #bali"
10,2021-11-29T09:18:56.000Z,"meylani
@rebahanseleraku
·
Nov 29, 2021",welcome the new journey of mey in Bali
11,2021-11-29T08:55:10.000Z,"Paket tour bali
@balitiratour
·
Nov 29, 2021","Paket tour bali group, family dan couple, paket tour lombok group, family dan couple, paket meeting bali, paket team building di bal ##bali"
12,2021-11-29T08:54:09.000Z,"ELL
@RoosterXIII
·
Nov 29, 2021","They talk about the Storm culture, Bromwich - drugs
Welch - Woman in origin camp
Munster - rehab
Nelson - Bali incident 
Cheese - Powder gate
Addo-Carr - guns with Latrell.
The list goes on, guess we want robots, nice script reading btw Vossy."
13,2021-11-29T08:47:12.000Z,"George Benson
@MrGeorgeBenson
·
Nov 29, 2021","About to upload my First video following football in Indonesia, my goal is to show you all the culture of Bali as well as the football. First Vlog i’ve done in nearly two years! Will be out very soon!"
14,2021-11-29T08:32:17.000Z,"hybrid nations
@v4raneszn
·
Nov 29, 2021",i’m french algerian currently residing in singapore but i visit bali occasionally as i own a vacation house there
15,2021-11-29T07:42:25.000Z,"Linda K
@Linda_KDewi
·
Nov 29, 2021","I've seen your photo & you're totally not 'bali banget'  you look like usual cindo  can't believe I'll heard that kind of comment in 2021 
Semangat Ta, jgn minder. You'll find better person that can accept you just the way you are "
16,2021-11-29T07:11:15.000Z,"Clare Mutsaars
@BinginClare
·
Nov 29, 2021","Hello Marie, thanks for your suggestion. We've been offered plenty of long term rates for Bali but they are so low, it's just not worth being open. Fortunately, we have a hotel in the Dominican Republic which is busy because the island has never closed."
17,2021-11-29T06:28:26.000Z,"Daniel Nguyen
@daniel_nguyenx
·
Nov 29, 2021",Looks like a lovely trip. Are you still in Bali?
18,2021-11-29T05:19:21.000Z,"naresvari
@marinnares
·
Nov 29, 2021","#2021WeeklyHighlight
Week 48:
- Bali Trip (but spent MOST of the time to work )
- Tried Roti Ayam Betutu & Ayam Sambal Matah -- lovin' the latter one 
- New Food  in Bali: Mak Beng @ Sanur Beach & Bebek Patmoroso in Kerobokan
- Had long chats again w/ my lovely bby "
19,2021-11-29T04:58:16.000Z,"ChrisKAOUP
@4EverC4
·
Nov 29, 2021","Damnnnnnn,,still bitter because my sister didn't invite me to go Bali with her...but it's okay,,I will plan my vacation to Thai without inviting her as well.. "
20,2021-11-29T04:41:56.000Z,"𝕯e𝖉𝖉𝖞licious 𓆣𓋹𓀁𓀛𓁜𓁤𓀁𓁜𓇌
@Daddylishes
·
Nov 29, 2021","Gone are the days of jumping onto a plane to get to Singapore, Jakarta, Bali, Bangkok, Phuket, Samui …. Impromptu travel is dead. Semua kena plan well in advance: booking PCR tests both ways, Vaccinated passes, designated hotels, insurance… leceh nak mampos."
21,2021-11-29T03:37:19.000Z,"Indonesia Badminton
@INA_Bminton
·
Nov 29, 2021","Next Tournament
01-05 DESEMBER 2021

HSBC WORLD TOUR FINALS BALI

Pengundian GRUP : 30 NOV 2021 - 10.30 WITA
Auditorium, Bali International Convention Centre

Are you ready ?"
22,2021-11-29T03:36:11.000Z,"Josh Edwards
@JoshEdwardsFilm
·
Nov 29, 2021","Yeah the travel sphere has certainly been at the forefront of that. Due to the way everything works nowadays we're just not comfortable with unknowns. I watched for a whole year as what felt like monthly promises of ""Bali will reopen on ______"" sailed by again and again."
23,2021-11-29T03:32:44.000Z,"Josh Edwards
@JoshEdwardsFilm
·
Nov 29, 2021","Yup. It doesn't help at all. From a selfish POV I'm frustrated regarding my own travel plans to get back home for Christmas, but that frustration ain't going to change a thing. Just need to be patient and remain level headed for now "
24,2021-11-29T02:33:54.000Z,"Sheila Scarborough
@SheilaS
·
Nov 29, 2021","That's a great question - I should do a blog post! Hong Kong, Japan, Bali, Hawaii, San Francisco/the Bay Area, Chicago, Marathon TX, the Mississippi Delta, Florida Gulf Coast, NYC, Philly, Rhode Island, Netherlands, Paris, Norway, Florence, Cairo, and the UAE."
25,2021-11-29T02:09:14.000Z,"Aryan Paladin
@AryanPaladin
·
Nov 29, 2021","Did you know that the Shaivite Hindu authorities of Bali, Indonesia have banned Iskcon on their island and shut down all local Iskcon temples there? Also they're not even allowed to have a youtube channel anymore. This is tyranny against fellow Hindus!"
26,2021-11-29T01:47:07.000Z,"The Son of God
@touchescodling
·
Nov 29, 2021",Dat group trip to Bali wud be 
27,2021-11-29T00:51:10.000Z,"chazam
@nala_zain
·
Nov 29, 2021","I believe with #babybali real project can save bali prospect tourism, all Indonesian people really want to see Bali Island back to the Greatest Tourism Place again. 
And i believe it will be happen soon.
#visitindonesia #bali #babybali #cmc"
28,2021-11-28T23:45:38.000Z,"Helen Cant
@Toffeepiglet
·
Nov 29, 2021","What a great pairing! The Lofoten Jacket and Bali Backpack look fantastic together.  #GANDYSBLACKFRIDAY 

Tagging my travel partner 
@ButYouSaid
 "
29,2021-11-28T23:45:24.000Z,"Helen Cant
@Toffeepiglet
·
Nov 29, 2021","What a great pairing! The Lofoten Jacket and Bali Backpack look fantastic together.  #GANDYSBLACKFRIDAY 

Tagging my travel partner 
@sparklerosey
 "
