,0,1,2
0,2022-09-29T23:58:55.000Z,"SLEEPY Head
@mishzguafa
·
Sep 30, 2022","Of course not in Asia because most country in Asia or SEA is hot and rains all the time. different weather & cultural norm. But if you travel to Bali, the local waitress, definitely loves to carry and playing with the guest baby while the parents having meal and that is normal"
1,2022-09-29T23:01:38.000Z,"Daisy St. Patience
@invaynity
·
Sep 30, 2022","Should we start gambling? Or tattslotto-ing? Or do that thing that Bali is offering where they have Aussies work there tax free for Western countries and have a working hub set up on the beach. Yes, yes we should to all of this."
2,2022-09-29T22:42:38.000Z,"•
@itsxelf_
·
Sep 30, 2022","thinking about it, imagine if what eunhyuk meant by ""going to Bali tomorrow"" that since they will do the show live this Friday and not pre-recorded as usual, they will celebrate donghae's birthday in Bali vacation kind of theme"
3,2022-09-29T22:33:08.000Z,"Amit Vaidya- #Author (Forever Roaming the World)
@av9901
·
Sep 30, 2022","Over the years I've spent Xmas and nye in different counties around the world, this year I'll be adding the philipines to the list of: 
Australia 
Vietnam 
Cambodia 
Bali
Colombia 

Here's a question for you

Where's the most exotic place you've spent both Xmas and nye? 
#travel"
4,2022-09-29T21:52:45.000Z,"Graham
@gypsygc
·
Sep 30, 2022",". That horse has not just bolted, That horse is not even in the next county. That horse is sipping cocktails and sunning itself on a beach in Bali."
5,2022-09-29T21:34:43.000Z,"Spencer Wells
@spwells
·
Sep 30, 2022","Yep. Travel drives it in the summer, and school/closed windows in the fall. Winter wave is initiated by the holidays. Rinse and repeat."
6,2022-09-29T20:25:10.000Z,"Paket tour bali
@balitiratour
·
Sep 30, 2022","Paket tour bali group, family dan couple, paket tour lombok group, family dan couple, paket meeting bali, paket team building di bal ##bali"
7,2022-09-29T20:06:37.000Z,"will #notserbian
@nolefams
·
Sep 30, 2022","Oh yea party and stuff. They are mostly broke Australian tourist tho. I love Bali!!!!!! I go there 3-5 times a year: cheap hotel, good food, hot gays and guys."
8,2022-09-29T20:04:33.000Z,"Jason
@Certinfy
·
Sep 30, 2022",Haha what nsfw pics would I be taking in Bali? I heard everyone there is a tourist though? Someone specifically told me everyone there is just there to drink and f***. 
9,2022-09-29T19:55:45.000Z,"Jason
@Certinfy
·
Sep 30, 2022",Haha well I’m just going to Bali after Thailand and doing a group tour which goes from like Canggu(?) to Gili T.
10,2022-09-29T19:54:10.000Z,"pea 𓆉
@paigeehollyy
·
Sep 30, 2022",can someone who wants to express their undying love for me do so with a sausage dog and a trip to bali 
11,2022-09-29T19:12:13.000Z,"Boss Lady | Virtual Assistant Coach
@theindemandva
·
Sep 30, 2022","I’m already planning next years travel.

January — Mexico City, Vegas
February — Greece  (my bday)
March — ATL, Bali
April — Thailand, Philippines, Singapore, Vietnam"
12,2022-09-29T19:55:45.000Z,"Jason
@Certinfy
·
Sep 30, 2022",Haha well I’m just going to Bali after Thailand and doing a group tour which goes from like Canggu(?) to Gili T.
13,2022-09-29T19:54:10.000Z,"pea 𓆉
@paigeehollyy
·
Sep 30, 2022",can someone who wants to express their undying love for me do so with a sausage dog and a trip to bali 
14,2022-09-29T19:12:13.000Z,"Boss Lady | Virtual Assistant Coach
@theindemandva
·
Sep 30, 2022","I’m already planning next years travel.

January — Mexico City, Vegas
February — Greece  (my bday)
March — ATL, Bali
April — Thailand, Philippines, Singapore, Vietnam"
15,2022-09-29T18:31:30.000Z,"tripnusapenidabali
@tripnusapenida_
·
Sep 30, 2022",Trip Nusa Penida Bali Best Offers Private Day Tours to Nusa Penida Island  #nusapenidatrip #nusapenida #tripnusapenidabali
16,2022-09-29T18:22:21.000Z,"🅵︎🆁︎🅰︎🅽︎🅺︎ 🆂︎🅴︎🅲︎🅷︎🅰︎🅱︎🅴︎
@Keufrank
·
Sep 30, 2022","Wow , I need my portrait photo "
17,2022-09-29T17:51:17.000Z,"Him
@kingkofijames
·
Sep 30, 2022",F1 reminder I still need to make the Singapore  Bali trip I’ve been wanting since 2019 
18,2022-09-29T17:45:46.000Z,"tabi
@yonksnim
·
Sep 30, 2022",Plus those two are going to Bali soon  I hope we get some interesting pictures from their trip!
19,2022-09-29T17:38:32.000Z,"demiahnichole
@demiahnicholee
·
Sep 30, 2022",literally finna save thousands just to travel alone to find myself or go to bali for a month
20,2022-09-29T17:34:40.000Z,"MamaYami
@Ayanda_MaKhumal
·
Sep 30, 2022","Muntu must go back to Bali to just beach, lounge, drink and eat !! Your pics are gorgeous"
21,2022-09-29T17:29:06.000Z,"Narayanan Vincent
@NarayananVince1
·
Sep 30, 2022","Through temples, dance and literature, the Cholas were culture builders whichever terrain they traversed and conquered. Right from Tamilnadu to Bali in Indonesia. Which makes them India's first seafarers and maritime explorers. The Brihadeeshwara or the Big Temple in just one."
22,2022-09-29T17:28:05.000Z,"Chrizhuu
@Chrizhuu
·
Sep 30, 2022","Starting a new digital hub in Bali before we crowdfund an island with 
@philip_ruffini
 @sternzac
 

Don’t tell anyone."
23,2022-09-29T17:24:42.000Z,"Cheryl Davidson
@cherylvdavidson
·
Sep 30, 2022","#ShareYourDream 
#Sweepstakes My dream vacation: 97 Day World Cruise, 43 ports, LA to Hawaii, NewZealand, Australia, Bali, Singapore,SriLanka, Abu Dhabi, Jordan, Egypt, Israel, Greece, Malta, Italy, France, Spain, Morocco, Portugal,Bermuda, Florida."
24,2022-09-29T16:48:21.000Z,"L o r a #Sensory_Flows
@procloudest
·
Sep 29, 2022","So what will happen in Bali? I don’t think I’d go, though.. especially if they’re in vacation."
25,2022-09-29T16:28:19.000Z,"Ranie Felia Oetami
@RanieFelia
·
Sep 29, 2022","ULTRA Beach Bali, day 2 (30 Sep)
.
.
Buy now, very under price : 1.5 juta
WA : 0818414373
.
Thanks!
@LizMeysa
 @adrianbeka
 @BarryWiryawan
.
#JualTiketUltraBeachBali4thedition #SaleUltraBeachBaliTicket4thedition #SellUltraBeachBaliTicket4thedition"
26,2022-09-29T16:25:17.000Z,"LoveDongHyuk
@LuckyStar_DnE
·
Sep 29, 2022","Good night Chihiro, Have a sweet dream. We will wait Eunhae trip in Bali."
27,2022-09-29T16:12:25.000Z,"Foreigner
@ForeignerJose
·
Sep 29, 2022","Wrong. The richest part is Java Island in which are located Jakarta, Surabaya and Bandung.  Java is the engine of Indonesia economy. Muslim majority and Catholics live in harmony there. Btw, except for Bali have you ever visited any other part of the country?"
28,2022-09-29T16:10:25.000Z,"yuhae
@kisseuhae_
·
Sep 29, 2022","Whatever they're going to do with Bali thingy, just let them enjoy their trip peacefully "
29,2022-09-29T16:00:35.000Z,"LoveDongHyuk
@LuckyStar_DnE
·
Sep 29, 2022","Yes, I hope that they will share their photos about Bali trip."
30,2022-09-29T15:54:56.000Z,"SAY - 1904
@SAY590
·
Sep 29, 2022",I have travelled extensively over my adult years ( I can't believe I am 70 already ).It was my passion & I don't regret any of it even the mishaps that are part of the experience. Bali was my favourite nature trip ( 3 months mostly in Ubud back in 1993 ) then Paris is my fav city
31,2022-09-29T15:52:52.000Z,"Hugo Korhonen
@hugoraphy
·
Sep 29, 2022",This beach in Bali?
32,2022-09-29T15:48:57.000Z,"Sanctuary
@hegelianisme
·
Sep 29, 2022","Well, i know a perfect beach if u r in bali"
33,2022-09-29T15:38:19.000Z,"Shagufta
@shayyyss
·
Sep 29, 2022",Island hopping? Bali to hawaii to canary? Say yes
34,2022-09-29T14:47:02.000Z,"Kemmy O
@Kemy_87
·
Sep 29, 2022","Okay atp i need to make a trip to Bali, y’all odeeeeee with these Bali pics "
35,2022-09-29T14:39:29.000Z,"B. Terrell
@itsBTerrell
·
Sep 29, 2022","tryna get to London to see 
@2121Mikiah
 and 
@LondonLions
 next year. 

A vacation to Bali or Thailand. 

and then hmm… I’m tryna hit someone’s spot (forgot what it’s called) to squish some grapes w/ my feet. "
36,2022-09-29T16:00:35.000Z,"LoveDongHyuk
@LuckyStar_DnE
·
Sep 29, 2022","Yes, I hope that they will share their photos about Bali trip."
37,2022-09-29T15:54:56.000Z,"SAY - 1904
@SAY590
·
Sep 29, 2022",I have travelled extensively over my adult years ( I can't believe I am 70 already ).It was my passion & I don't regret any of it even the mishaps that are part of the experience. Bali was my favourite nature trip ( 3 months mostly in Ubud back in 1993 ) then Paris is my fav city
38,2022-09-29T15:52:52.000Z,"Hugo Korhonen
@hugoraphy
·
Sep 29, 2022",This beach in Bali?
39,2022-09-29T15:48:57.000Z,"Sanctuary
@hegelianisme
·
Sep 29, 2022","Well, i know a perfect beach if u r in bali"
40,2022-09-29T15:38:19.000Z,"Shagufta
@shayyyss
·
Sep 29, 2022",Island hopping? Bali to hawaii to canary? Say yes
