,0,1,2
0,2022-10-30T23:27:57.000Z,"Nathaniel
@Nathaniel_local
·
Oct 31, 2022",How much is a trip to Bali?
1,2022-10-30T23:24:00.000Z,"Kaeeeeee ;)
@__Kaylaa
·
Oct 31, 2022","My man said you know we doing Bali next year right, so get prepared.  Bali is my dream vacation. "
2,2022-10-30T22:17:06.000Z,"Agung Yacub
@yacubhurgronje
·
Oct 31, 2022","It's still funny how people still depict Bali as a country, it's only a small island in a very huge country - called Indonesia which stretch the equivalent distant as the Europe territory. The visa allows you to enter this country with thousands of tropical island to choose from."
3,2022-10-30T21:20:09.000Z,"Jesper
@FeffehJ
·
Oct 31, 2022",Russell would have been given a paid vacation to Bali for this
4,2022-10-30T20:40:14.000Z,"@Marteekuh
·
Oct 31, 2022",I need a trip to Bali
5,2022-10-30T19:37:47.000Z,"Puckerglen
@puckerglen
·
Oct 31, 2022","After Kuzmenko's KHL season was over he went on a summer vacay journey starting in Russia, thru Azerbaijan, Dubai, Bali and a host of other bucket list vacay places then eventually signing in Vancouver.
Notice I left Edmonton out of his vacay stops? Lol"
6,2022-10-30T19:29:02.000Z,"Charleyb, stamp out emojis, memes and gifs
@charleyb2355
·
Oct 31, 2022",Sounds a lot like young Australian men on an end of season footy trip to Bali.  You're right it's not just confined to one nationality as they are interchangeable.  Glad you stood up and made a stand.
7,2022-10-30T19:22:27.000Z,"Cade
@Cade9TV
·
Oct 31, 2022",All good Bali mansion commune w/ the boys inbound free range alpacas and outside beach gym coming soon
8,2022-10-30T18:31:29.000Z,"tripnusapenidabali
@tripnusapenida_
·
Oct 31, 2022",Trip Nusa Penida Bali Best Offers Private Day Tours to Nusa Penida Island  #nusapenidatrip #nusapenida #tripnusapenidabali
9,2022-10-30T18:05:28.000Z,"malika
@malikascals
·
Oct 31, 2022","do bucket lists for cities : (3/3)

- bangkok, thailand
- ho chi minh city, vietnam
- bali, indonesia
- sydney, australia
- queenstown, new zealand
- honolulu, hawaii (usa)
- funafuti, tuvalu ()

if you don't want to do bucket lists, watch people travel around the world :))"
