,0,1,2
0,2021-12-30T15:55:48.000Z,"𝑨𝐧𝐚𝐝𝐲𝐚 𝑺𝐞𝐤𝐚𝐫.
@anadyasekar
·
Dec 30, 2021","As one of Bali’s oldest and most highly regarded temples, the beauty of Lempuyang Temple is unmatched. Anadya could feel the soothing atmosphere when she stepped out of the rented car. She was mesmerized. "
1,2021-12-30T15:55:16.000Z,"mangrioadi
@mangrioadi19
·
Dec 30, 2021",bali united jilid 2 journey in liga 1
2,2021-12-30T15:47:19.000Z,"LaTerika Molden
@_trulyblessed3
·
Dec 30, 2021",First time I won’t be going anywhere for my birthday . My Bali trip was canceled 
3,2021-12-30T15:29:14.000Z,"Kaizer
@Hindu_Preacher
·
Dec 30, 2021","Indonesia? Hindus are in majority just in the island of Bali so they're isolated, Thus no conflict.

Malaysia? Someone was giving rants on how Hindus gods are this and that, And how Hindus should not exist just 2 months ago. don't forget that it's illegal in Malaysia for...."
4,2021-12-30T15:27:51.000Z,"Aditya
@MandirsOverseas
·
Dec 30, 2021","They can have darshan during Rath Yatras and other festivals

I do feel bad for them but everyone have to respect local tradition
Their are temples in Bali and Java where I am not allowed to enter Because I am Indian not Of Island or of that tradition"
5,2021-12-30T15:12:21.000Z,"n
@sippincoke
·
Dec 30, 2021","Ending this year not in the way i expected it would be: 
1. I’m not on a vacation in Bali or any other amazing place 
2. My gpa is a bitch 
3. Anxious as shit about how my future would turn out 
4. Worrying that i would not possess the Hermes and yacht I’ve always dreamed of"
6,2021-12-30T14:48:21.000Z,"Ø
@ilhaammmf
·
Dec 30, 2021","yogya done, next trip : bali"
7,2021-12-30T13:59:54.000Z,"𝗮𝗱𝗮𝗺
@realadamli
·
Dec 30, 2021","with my schedule i was thinking
q2-early q3 canada
q3 iceland europe trip into dubai into SEA (maldives, bali, sgp, hk, japan)

fingers crossed on covid restricts"
8,2021-12-30T13:00:23.000Z,"Jamie Taylor: JT’s Journeys
@JTJamieT
·
Dec 30, 2021",Thanks! The plan is to base in Singapore for a few weeks and then maybe travel to Bali
9,2021-12-30T12:52:21.000Z,"Girish Sethi
@Trekgrey70
·
Dec 30, 2021",Please state correct facts. There are hardly any Hindus in the vicinity of Mount Bromo. Hindus only reside in Island of Bali in Indonesia
10,2021-12-30T12:24:27.000Z,"@v
@firebal_ind
·
Dec 30, 2021",Yes sir he did no work in 7 yrs. Just enjoying in bali island all these yrs
11,2021-12-30T11:39:05.000Z,"Barbara Maddux
@BarbaraMaddux
·
Dec 30, 2021","Good morning, Twitter. A travel program in TV from Bali. *sighs*"
12,2021-12-30T11:37:32.000Z,"No Longer a Sad Potato
@Ndiikuminwa
·
Dec 30, 2021","I don’t know how I’m gonna manage but I’m doing that Lazilia Dubai/Bali trip. Bra God, please. Please. "
13,2021-12-30T11:05:06.000Z,"Neil E C de Miranda
@neilendrigo
·
Dec 30, 2021","Are you talking about the boat trip to Bali? Actually the real Satoshi was in Indonesia that year. He even was invited to give a speech in Bali in a Youth Entrepreneurship Forum. However, Craig forgot that there was a volcano eruption and Satoshi plane could not depart to Bali."
14,2021-12-30T10:10:17.000Z,"♡
@bbqcrispytofu
·
Dec 30, 2021","Watched all yura and donne videos about their deep healing journey make me want to be rich right friggin' now so i can afford hajj, go to mecca, and afford the pricey yet impactful and worthy healing method in bali"
15,2021-12-30T09:01:12.000Z,"drey
@lionoftarth
·
Dec 30, 2021","As an Indonesian, unfortunately I haven't visited most of the local tourist attractions. I'm based in Jakarta and the furthest I've gone in the country is Bali."
16,2021-12-30T08:55:10.000Z,"Paket tour bali
@balitiratour
·
Dec 30, 2021","Paket tour bali group, family dan couple, paket tour lombok group, family dan couple, paket meeting bali, paket team building di bal ##bali"
