,0,1,2
0,2022-04-08T21:43:09.000Z,"xhihab
@Xhihab_
·
Apr 9, 2022","You  just said it by yourself, Bali is a hot tourist attraction and still its people are suffering from severe poverty. 
Wen won’t thrive and benefit from tourism if our country is deeply corrupt and badly run in every single thing."
1,2022-04-08T20:36:38.000Z,"Johannes Bakker
@JohannesBakker7
·
Apr 9, 2022","For a while I thought: Bali! But after many visits I realized that despite all I knew I was still romanticizing the island. It is a great place for a well-off foreigner but for the average Balinese life can be tough. A US friend married a Balinese, but that was not always great."
2,2022-04-08T18:59:31.000Z,"it’s O
@itsofficiallyo
·
Apr 9, 2022","after all, I got a solo trip to Bali or Waikiki currently being packaged for next year.."
3,2022-04-08T18:51:04.000Z,"inosuketanjiro
@quitoriantori2
·
Apr 9, 2022","Its ur body ur decision, fuck what people says,
Love u from Indonesia, let me know if u have vacation plan to go to bali"
4,2022-04-08T18:31:30.000Z,"tripnusapenidabali
@tripnusapenida_
·
Apr 9, 2022",Trip Nusa Penida Bali Best Offers Private Day Tours to Nusa Penida Island  #nusapenidatrip #nusapenida #tripnusapenidabali
5,2022-04-08T18:24:57.000Z,"Peaceful and liberal community
@LiberalPeaceful
·
Apr 9, 2022","We have the power to dictate and that's what special status says . For protection of indigenous cultures and endangared tribal language ,culture and laws ."
6,2022-04-08T17:56:33.000Z,"Kiran
@Kiran81702735
·
Apr 9, 2022","1/2 

And we appreciate if 
1. The management spends more responsibly, and cut the losses. Even if it means taking one less vacation to Bali every weekend. 
2. Stop diluting the shares left and right. 
3. Give an update on NJ sportsbooks which was promised to be in Q1 2022"
7,2022-04-08T17:46:32.000Z,"Shivoham3
@ropaal33
·
Apr 9, 2022","Ya! It’s extremely common evidently. There r many refugee men being caught with  boys in  now. And they all have a Picachu face on when they’re told they’ll b deported. They all say d same thing “it’s normal in our religion/culture”.
 
Freedom of religion has restrictions"
8,2022-04-08T17:34:38.000Z,"Shivoham3
@ropaal33
·
Apr 9, 2022",Ur ancestors terrorized/butchered natives. Destroyed tens of thousands of temples/schools. Eleiminated culture. Forcibly converted ur other ancestors. Nothing more. The good ones were extremely rare.
9,2022-04-08T15:56:13.000Z,"Willie Bolger
@BolgerWillie
·
Apr 8, 2022",My wallet back after it got stolen off me in Bali about 5 years ago. Was never as happy to get something I own back and not have to pay for it. The Balinese man did take every penny of cash out of it however but sher look that’s culture for ya now.
10,2022-04-08T15:49:18.000Z,"Aususu
@deksususu
·
Apr 8, 2022","M32 Bali, ready to do sightseeing tour with you"
11,2022-04-08T14:58:00.000Z,"Tofu o mamoru
@tantan__1go1e
·
Apr 8, 2022",Whats worse is they target another vurnerable white people making it seem Bali is some kind of magical island that would solve their problem. Please if someone try to put this idea in your head just run away!
