,0,1,2
0,2022-06-29T23:59:53.000Z,"oʇuɐʇsıɹʞ
@affoga_nto
·
Jun 30, 2022","Will be planning on my solo one-week-vacation trip.
Thailand or Bali? "
1,2022-06-29T23:56:03.000Z,"Aughra says you must be gelfling
@audienceofone5
·
Jun 30, 2022",Lucky I travel to Bali using my personal teleporter
2,2022-06-29T23:55:10.000Z,"taylor !
@zaynsheartthrob
·
Jun 30, 2022",ayo what if we planned a vacation together. i'm thinking Bali
3,2022-06-29T23:22:37.000Z,"cosmic jester
@cosmicjester
·
Jun 30, 2022","Airports, planes, hotels, indoors restaurants, bars and nightclubs all exist in australia, and apart from airports you can go to Bali and avoid most of these if you wish. Why is overseas travel the thing you point out instead of the high risk activities that can be done anywhere?"
4,2022-06-29T23:15:46.000Z,"Kels | UGC Creator
@KelsVaughne
·
Jun 30, 2022",Ahhhh yesss bali is such a special island!
5,2022-06-29T22:51:02.000Z,"petrina darrah
@petrina_darrah
·
Jun 30, 2022","I've been in bali for a week and have taken exactly one photo, I'm either the best tourist or the worst tourist ever"
6,2022-06-29T22:42:00.000Z,"user error
@Sherman_Walte
·
Jun 30, 2022",Shrooming on Gilis … lol. You should tour the Green School it was very cool. Parts of Bali are like Tijuana other parts are as beautiful as you can imagine. Drinks (or stay) at the Four Seasons is cool. I miss the breakfast - very good food. Have fun!
7,2022-06-29T22:22:14.000Z,"ShiuaSnek Vtuber -Comms Open-
@ShiuaSnek
·
Jun 30, 2022","what if you go to the beach?
what if you go to the mall?
what if the prince of Bali invites you to a gala where hundreds of people will judge you and perhaps give you amazing opportunities in life if you manage to surprise them!??!?!
gotta be READY!!!!!!!!!!!!!"
8,2022-06-29T21:29:41.000Z,"fatty boombatti
@FattyTattoos
·
Jun 30, 2022","Koh phangan, island in Thailand, hop n skip from Bali, absolutely gorgeous and can ball out for a month on 1-2k"
9,2022-06-29T20:58:06.000Z,"48Family's Full News
@48FullNews
·
Jun 30, 2022",One of fans chanting is Kecha. Inspired by 'Kecak' dance from Bali. #48MemberFact
10,2022-06-29T20:01:41.000Z,"@f_fb88
·
Jun 30, 2022",I need a spiritual vacation to bali
11,2022-06-29T19:54:02.000Z,"Sakti Sulistyo
@sakti_as07
·
Jun 30, 2022",Congrats !!!! I hope I can represent my country in bali island
12,2022-06-29T19:45:13.000Z,"Ashray Malhotra
@ashray_malhotra
·
Jun 30, 2022","Thanks 
@kocharpravesh
 ! 
@sairarahman
 doing my first solo trip to Bali next week, happy to share learnings :)"
13,2022-06-29T19:27:00.000Z,"Jazzie
@askboutjay
·
Jun 30, 2022",my dream trip is bali indonesia my 23 birthday im going idc idc idc it’s a go 
14,2022-06-29T19:14:12.000Z,"Frosyaaaaaaa
@kiosse1809
·
Jun 30, 2022","..,which will be held November 15-16 on the island of Bali, via video link."
15,2022-06-29T21:29:41.000Z,"fatty boombatti
@FattyTattoos
·
Jun 30, 2022","Koh phangan, island in Thailand, hop n skip from Bali, absolutely gorgeous and can ball out for a month on 1-2k"
16,2022-06-29T20:58:06.000Z,"48Family's Full News
@48FullNews
·
Jun 30, 2022",One of fans chanting is Kecha. Inspired by 'Kecak' dance from Bali. #48MemberFact
17,2022-06-29T20:01:41.000Z,"@f_fb88
·
Jun 30, 2022",I need a spiritual vacation to bali
18,2022-06-29T19:54:02.000Z,"Sakti Sulistyo
@sakti_as07
·
Jun 30, 2022",Congrats !!!! I hope I can represent my country in bali island
19,2022-06-29T19:45:13.000Z,"Ashray Malhotra
@ashray_malhotra
·
Jun 30, 2022","Thanks 
@kocharpravesh
 ! 
@sairarahman
 doing my first solo trip to Bali next week, happy to share learnings :)"
20,2022-06-29T19:27:00.000Z,"Jazzie
@askboutjay
·
Jun 30, 2022",my dream trip is bali indonesia my 23 birthday im going idc idc idc it’s a go 
21,2022-06-29T19:14:12.000Z,"Frosyaaaaaaa
@kiosse1809
·
Jun 30, 2022","..,which will be held November 15-16 on the island of Bali, via video link."
22,2022-06-29T19:11:38.000Z,"Halle Day
@HalleDay
·
Jun 30, 2022","Random thought.
From all the places that I visited, I wonder how it would be like living in New York, Auckland, Bali, London, Tokyo, Big Island Hawaii...
If I could I would live a year in each 1 of them.
Any other suggestions?

#RandomThoughts
#wednesdaythought #questiontime"
23,2022-06-29T18:48:07.000Z,"did i kiss tobey/andrew/tom?
@namastebites
·
Jun 30, 2022",I don’t think the beach is in Bali
24,2022-06-29T18:45:56.000Z,"Fee Adamson
@feeadamson_x
·
Jun 30, 2022",Not normal how much i want a trip to Bali. Is next year too soon?! 
25,2022-06-29T18:37:39.000Z,"Anindito Bramantio
@AninditoBram1
·
Jun 30, 2022","I never been see Bali...

Hv a good trip Miss.."
26,2022-06-29T18:18:24.000Z,"EverEvolver
@EverEvolver
·
Jun 30, 2022",A3.  The beach!  I'd love to see the beaches in Bali! #expediachat #sweepstakes
27,2022-06-29T18:16:56.000Z,"SaMo
@TheSabster17
·
Jun 30, 2022","I've smoked weed on all my international trips.

I dont think I'd ever go to a country where its banned or death penalty. So I'll probably never go to Bali. But I feel once you seen one beach you've seen almost all of them. (Except US beaches)"
28,2022-06-29T17:31:13.000Z,"Semi Nomaden
@seminomaden
·
Jun 30, 2022",new drop from the trip to bali is coming 
29,2022-06-29T17:19:59.000Z,"toRa // Macan Wigit
@torantula
·
Jun 30, 2022","Depending on where. In Bali it’s either very party heavy with night club or like something you’d see in The Beach (that 90s DiCaprio movie) with even more spirituality. It’s generally lowkey, great place if you want to lay back and enjoy life."
30,2022-06-29T17:13:10.000Z,"Chris Chafin
@gentlemanstimes
·
Jun 30, 2022",there's a way to present wealth as luxurious and entertaining escapism and then there's 'people sitting in business class talking about their daughter's vacation to Bali'
31,2022-06-29T17:06:33.000Z,"flore
@bisfitmiscuit
·
Jun 30, 2022",i mean of course it's gonna be bali and i have zero knowledge of balinese culture But representation nonetheless !!!
32,2022-06-29T17:06:06.000Z,"InfluenzaMNL
@InfluencerBotPH
·
Jun 30, 2022",Top 1293 adventures to travel to Bali while children starve to death!
33,2022-06-29T17:05:56.000Z,"Rohan Sharma
@chunnusharma
·
Jun 30, 2022",hi.. was the experience worth it? i am planning a trip to Bali in Septemebr
34,2022-06-29T16:59:38.000Z,"Rohan Sharma
@chunnusharma
·
Jun 29, 2022","i am planning for a honeymoon trip to Bali, in September. can you please help us let know about the cleanest beaches and best place for scuba diving? thanks"
35,2022-06-29T16:48:39.000Z,"Dunny
@YaDunKnow__
·
Jun 29, 2022","Mauritius, Bali, Bora Bora then a tour of the Americas, I’m going into hibernation for the next year to save up for this trip icl"
36,2022-06-29T16:25:27.000Z,"SilverRaptor
@SilverRaptor3
·
Jun 29, 2022","Bali, I went there on vacation unannounced and basically unplanned by myself in my younger days. I stayed in Kuta Beach, yards from the ocean. I met so many other Americans, men, and women, traveling by themselves for months. What a great trip!"
37,2022-06-29T16:14:25.000Z,"Christine Marie Frazer
@TADAFrazer
·
Jun 29, 2022",Maybe there's something we could do. I propose a total reading reset. Perhaps on a beach in Bali for 6 weeks... research purposes only. See if we can find our reading mojo/zone? Who's up for funding this research? 
38,2022-06-29T16:14:12.000Z,"Edward Pollard
@ehbpollard
·
Jun 29, 2022",Wallacea. Island hop from Bali eastwards. Or just the primates of Sulawesi perhaps
39,2022-06-29T16:05:07.000Z,"ash
@Crypto_zero7
·
Jun 29, 2022",Zelensky and Putin will meet at Bali and drink coconut together at beach. At nite they will have party 
40,2022-06-29T16:25:27.000Z,"SilverRaptor
@SilverRaptor3
·
Jun 29, 2022","Bali, I went there on vacation unannounced and basically unplanned by myself in my younger days. I stayed in Kuta Beach, yards from the ocean. I met so many other Americans, men, and women, traveling by themselves for months. What a great trip!"
41,2022-06-29T16:14:25.000Z,"Christine Marie Frazer
@TADAFrazer
·
Jun 29, 2022",Maybe there's something we could do. I propose a total reading reset. Perhaps on a beach in Bali for 6 weeks... research purposes only. See if we can find our reading mojo/zone? Who's up for funding this research? 
42,2022-06-29T16:14:12.000Z,"Edward Pollard
@ehbpollard
·
Jun 29, 2022",Wallacea. Island hop from Bali eastwards. Or just the primates of Sulawesi perhaps
43,2022-06-29T16:05:07.000Z,"ash
@Crypto_zero7
·
Jun 29, 2022",Zelensky and Putin will meet at Bali and drink coconut together at beach. At nite they will have party 
44,2022-06-29T14:55:10.000Z,"Paket tour bali
@balitiratour
·
Jun 29, 2022","Paket tour bali group, family dan couple, paket tour lombok group, family dan couple, paket meeting bali, paket team building di bal ##bali"
45,2022-06-29T14:42:31.000Z,"Anastasia Chulkova
@Nastasia_photo
·
Jun 29, 2022",This so beautiful  Is this Bali?
46,2022-06-29T14:32:42.000Z,"Rebecca Kiew | by 2025
@RebeccaKiew
·
Jun 29, 2022","Becca: Okay guys I am gonna go on diet for Bali.
Also me: *sets 3 big dinners 2 weeks before the trip*"
47,2022-06-29T13:41:17.000Z,"Crong is Evan Lu's loyal dog
@soymilkdelight
·
Jun 29, 2022","cuz from my perspective as indonesian and observing my irls (though i cant speak for all indonesians), we don't really use this concept of 'orientalism' whenever fellow asians using our culture attributes (like when koreans use batik, bali village in hainan, etc) -con-"
48,2022-06-29T13:18:22.000Z,"Danny Bali
@BaliDanny
·
Jun 29, 2022",I mean night club or beach club in bali
49,2022-06-29T12:53:10.000Z,"Tee
@Kim2020A
·
Jun 29, 2022","Capt 
@GirentheGray
, this is Bali, the most iconic island in Indonesia.. 

waiting for you here.. "
50,2022-06-29T12:48:55.000Z,"Fraas
@Fraas81691722
·
Jun 29, 2022","third class?Indonesia much more advanced than India,our GDP per capita is even much higher than India.number of poverty in Indonesia is much lower than in India.Bali,Indonesia is one of the most beautiful island in the world.u don't have source before comment"
51,2022-06-29T12:38:46.000Z,"ᮙᮅᮜᮔ
@NairdaMaulana
·
Jun 29, 2022",Hai. I from Indonesia we live together in university with Harmony i have friend from Bali Island (Hinduism Majority Place) and lot learning about Hindu Dharma/Tirta
52,2022-06-29T12:38:36.000Z,"hana
@TOFUXlAO
·
Jun 29, 2022","megumi: sorry it's not bali and its earlier than planned but i had some money saved and--

gojo, close to crying again: MEGUMI??? A BEACH TRIP??? I KNEW IT YOU STILL WANTED A HONEYMOON--

megumi: WE'RE NOT MARRIED"
53,2022-06-29T12:38:35.000Z,"hana
@TOFUXlAO
·
Jun 29, 2022","gojo ends up cancelling their trip to bali but megumi felt really bad seeing his boyfriend mope around for several days because ""i just wanted to give megumi a good vacation"" so megumi ends up scheduling their own trip in okinawa instead."
54,2022-06-29T12:32:41.000Z,"Lucky e
@Kells2x
·
Jun 29, 2022","Perfect vacation would be in either Dubai, Bali, or the Bahamas with my kids, girlfriend,and a few selected members of our families depending on who we feel like being bothered with "
55,2022-06-29T12:25:15.000Z,"sunfl0wer
@sunfl0werbud
·
Jun 29, 2022",Latest trip AH&M dgn their close friends pergi bali to celebrate his birthday.
56,2022-06-29T12:04:55.000Z,"Niel du Toit
@niel_dutoit
·
Jun 29, 2022","I am keen to go on a surf trip to Bali, hence asking. Was in Maldives a while ago and the humidity was immense, same in Bali?"
57,2022-06-29T11:54:13.000Z,"guaguamane
@blueshadowmoses
·
Jun 29, 2022","he told me i’d get 20 bands if i helped him escape and settle down in a new country… guess who’s going on a vacation to Bali!! 

#whatfriendsarefor"
58,2022-06-29T11:50:44.000Z,"Niel du Toit
@niel_dutoit
·
Jun 29, 2022",Easy to travel in Bali?
