,0,1,2
0,2022-07-03T23:10:49.000Z,"Parroty Rich Graves CISSP GSE hazgoodjob
@Pheg90mn3
·
Jul 4, 2022","I’m not disagreeing with a single word. People suck. Men tend to suck in brutal ways. Yin and yang exist in every culture. Thesis and anti-thesis, Parable of the Good Samaritan and its opposites, etc.  Scandinavia, New Zealand, and Bali have reportedly figured a few things out."
1,2022-07-03T22:55:14.000Z,"chorne
@kangas290873
·
Jul 4, 2022","@JetstarAirways
 about to board to travel to Bali, they call up business class passengers then before they can step on the plane, bang, delayed due to engineering requirements…, seriously 
@JetstarAirways"
2,2022-07-03T22:48:57.000Z,"AAG
@burn_evil
·
Jul 4, 2022",I am talking about inki bali lene waali kali btw  n there are many more in their culture who ask for blood right 
3,2022-07-03T21:46:56.000Z,"Cyndi Bif
@Cyndi_Briff
·
Jul 4, 2022",I'm surprised Bali don't allow unvaccinated people in. Almost the most traveld places tourist go to.
4,2022-07-03T21:14:30.000Z,"Agrivet Business Consulting
@Agrivetbusiness
·
Jul 4, 2022","There is already a response underway in terms of supporting the FMD vaccination program….

But Bali is what it is….

A major tourist destination with an enormous amount of air traffic between Australia and Bali…

And in Bali, cattle are everywhere and close to humans…."
5,2022-07-03T21:12:41.000Z,"Wizia
@luijkx_wim
·
Jul 4, 2022",Crypto is gonna pay my trip to Bali next bullrun
6,2022-07-03T21:08:56.000Z,"ra ❁
@SVEENTIIN
·
Jul 4, 2022",study tour ke bali 
7,2022-07-03T19:36:38.000Z,"말랑쥬
@ricekookerjune
·
Jul 4, 2022","Ahh if u wanna go on a timeline then you should prolly start from summertime (saipan, bali, hawaii) and then wintertime, high school trip, ilogu, and thenn my type o w o"
8,2022-07-03T18:06:23.000Z,"SkyLaw
@ChasekluckS
·
Jul 4, 2022",Gonna try to film and release a video before my trip to bali
9,2022-07-03T17:58:45.000Z,"Dare Vincen
@dancaptain1
·
Jul 4, 2022","Happy Birthday, vacation di Bali"
10,2022-07-03T17:55:35.000Z,"𝕀𝕞𝕒𝕟
@ImnNazri
·
Jul 4, 2022",+ another week of vacation in Bali
11,2022-07-03T17:54:01.000Z,"fly to logan airport
@taxiloganboston
·
Jul 4, 2022","Mildly upset that Kuala Lumpur & Bali airport lounges are closed via /r/airport

So, just came back from a long trip to Bali. While the trip was wonderful, the experience in the airports, not so much!
To my utter misfortune, both airport lounges in Bali (Denpasar) and Kuala …"
12,2022-07-03T17:34:38.000Z,"smschlei
@smschlei
·
Jul 4, 2022",This is true!  Bali… wowww that will be an incredible trip!!
13,2022-07-03T17:23:49.000Z,"windymint
@windymint1
·
Jul 4, 2022","Phuket island was a good one , also Ho Chi Minh up to Cui Cui Tunnels , all over Bali and Goa "
14,2022-07-03T17:58:45.000Z,"Dare Vincen
@dancaptain1
·
Jul 4, 2022","Happy Birthday, vacation di Bali"
15,2022-07-03T17:55:35.000Z,"𝕀𝕞𝕒𝕟
@ImnNazri
·
Jul 4, 2022",+ another week of vacation in Bali
16,2022-07-03T17:54:01.000Z,"fly to logan airport
@taxiloganboston
·
Jul 4, 2022","Mildly upset that Kuala Lumpur & Bali airport lounges are closed via /r/airport

So, just came back from a long trip to Bali. While the trip was wonderful, the experience in the airports, not so much!
To my utter misfortune, both airport lounges in Bali (Denpasar) and Kuala …"
17,2022-07-03T17:34:38.000Z,"smschlei
@smschlei
·
Jul 4, 2022",This is true!  Bali… wowww that will be an incredible trip!!
18,2022-07-03T17:23:49.000Z,"windymint
@windymint1
·
Jul 4, 2022","Phuket island was a good one , also Ho Chi Minh up to Cui Cui Tunnels , all over Bali and Goa "
19,2022-07-03T16:59:15.000Z,"I AM The Ke
@Legacyke
·
Jul 3, 2022","I just want to travel to Bali with my man, be romantic, see beautiful scenery and make love (not fuhk) the entire trip  Then come back with that “I been having good sex everyday” skin glow"
20,2022-07-03T16:35:26.000Z,"ASHLEY DEVONNA
@MsAshleyDevonna
·
Jul 3, 2022","That Bali trip was so much fun! He’s a great travel buddy, I just have to pay for everything and plan everything "
21,2022-07-03T16:10:53.000Z,"val6bodie
@val6bodie
·
Jul 3, 2022","""walk along the beach at night."" I was there in  FL. 
   (;-) Also recalled a time long ago I had a bad trip & was walking on beach in Bali, after 2nd night eating some mushrooms (from menu) at beach outdoor restaurant. (Place was gone years ago.)"
22,2022-07-03T15:37:39.000Z,"Wiranatagd
@chillschool1
·
Jul 3, 2022","So sad, im living in Bali, but i dont know you are in Bali & today is your last day, hope can get selfie with you . But thank you for visiting our beautiful island"
23,2022-07-03T15:35:30.000Z,"hunter ʚɞ joel miller’s wife
@NIKOLAILOML
·
Jul 3, 2022","there’s this foreigner, she was in bali and talk shit about luwak coffee. ig white people just love portraying asian culture as something disgusting "
24,2022-07-03T15:26:15.000Z,"Rob Williams
@rswilliams_mla
·
Jul 3, 2022",May even be useful to consider banning travel to & from Bali/Indo. We banned travel for 2 years during CoVID. This has the same level of proportionately for our red meat industry.
25,2022-07-03T14:03:54.000Z,"Alea
@myuitoki
·
Jul 3, 2022",BALI DONG. saya sebagai warga bali vv recommend bali for your trip w your friends coz u can get all in one only in bali trust me.
26,2022-07-03T14:02:44.000Z,"Ssefnum
@ssefnum
·
Jul 3, 2022",-rl labuan bajo / bali for a vacation with friends
