,0,1,2
0,2021-11-11T23:59:10.000Z,"Junjungan Sihotang
@Joen_Sihotang
·
Nov 12, 2021","Bali hanya mengandalkan pariwisata doank. Ini? Udh dibangun sirkuit. Ada lagi wisata yang terkenal. Kenapa masih tidur? Berbenah lah. Jangan lagi tidur.
Seperti ini ibaratnya.
Disana ada emas. Tapi kita tak berniat mencari. Sama aja."
1,2021-11-11T23:22:49.000Z,"tonight
@tigikaga
·
Nov 12, 2021","Sebelum tidur bacain thread atlet badminton yg lagi pada di Bali berujung kebawa mimpi. Mimpinya jojo, ginting, fajri bikin band terus pake atraksi salto. Apeeeuu."
2,2021-11-11T23:11:30.000Z,"dhn
@tska__
·
Nov 12, 2021","Yaampun seru bgt liatin story nya atlet badminton. Mereka lebih happy di bali karena kaya liburan gitu, deket pantai pula hotelnya."
3,2021-11-11T22:21:14.000Z,"🅻🅸🅽🆃🅽🅶
@Rembulan_101
·
Nov 12, 2021","pingin banget liburan ke Bali....

kapan ya bisa big win trus holiday gitu?"
4,2021-11-11T22:20:07.000Z,"LEONIEL JUARA
@yassirlyhsn
·
Nov 12, 2021","Lee Yang di Bali: ""gk mau tau gw harus foto sama Ahsan Hendra"" "
5,2021-11-11T21:53:39.000Z,"mei hwa
@ELF_Mei05
·
Nov 12, 2021","Wisata Halal ala Islam buat aja di Aceh. Udah jelas serambi Mekah...(atau Tasik) kok ngusik2 bali yaa..

Tp mnurutku ga bakal, krna Bali sdh dilindungi Garuda Wisnu Kencana "
6,2021-11-11T21:18:16.000Z,"Arnadie
@Arnadie216
·
Nov 12, 2021",Bali kan salah satu destinasi wisata favorit dunia makannya pada excited yaa ni para atlit
7,2021-11-11T20:25:36.000Z,"Phantom
@IniDenny_
·
Nov 12, 2021",Open trip ke Bali sini ditunggu dey
8,2021-11-11T19:54:31.000Z,"Nuy
@Nurfitrianikhoe
·
Nov 12, 2021",Pemain badmint di Bali kaya lagi pada liburan bareng yaa bukan mau tanding 
9,2021-11-11T19:52:38.000Z,"Im Yoona
@The_Yoona
·
Nov 12, 2021",YoonA memilih Pulau BALI sebagai tempat bulan madunya. #yoona
10,2021-11-11T18:53:34.000Z,"Araa
@shiberwoo_
·
Nov 12, 2021","nah iya boljug tuh,bali pantai nya bagus2 "
11,2021-11-11T18:01:55.000Z,"@yaelahhtania
·
Nov 12, 2021",klo lg gabut kadang sampe mikir apa stay di bali aja gitu yaa? kan di sonk banyak turis tuh sapa tau nyantol satu ketawa bgt wkwkwk
12,2021-11-11T17:32:49.000Z,"el
@lzjswy_L
·
Nov 12, 2021",i rasa kat bali tu paling jauh momota jalan memang kat lobby je dia tak pergi jalan tempat lain 
13,2021-11-11T17:28:26.000Z,"Raja Paido
@ufutureboyy
·
Nov 12, 2021","Selamat ulang taon wahai pemuda BALItar yg kini merantau ke Pulau BALi 
@senjapahlawn
 salam kebajikan orang islam, muka kristen "
14,2021-11-11T17:02:13.000Z,"annisa
@puppyyjw
·
Nov 12, 2021",liat sw sama sg tmn tmn pada upload foto kak hafez sama kak nashir. aku be like: allahuakbar seriusan ini rakernas di bali bulan depan? 
15,2021-11-11T16:56:39.000Z,"Joni yoe
@joniyang21
·
Nov 11, 2021",Tunggu 1 cent kita lihat bulan di pulau bali
16,2021-11-11T20:25:36.000Z,"Phantom
@IniDenny_
·
Nov 12, 2021",Open trip ke Bali sini ditunggu dey
17,2021-11-11T19:54:31.000Z,"Nuy
@Nurfitrianikhoe
·
Nov 12, 2021",Pemain badmint di Bali kaya lagi pada liburan bareng yaa bukan mau tanding 
18,2021-11-11T19:52:38.000Z,"Im Yoona
@The_Yoona
·
Nov 12, 2021",YoonA memilih Pulau BALI sebagai tempat bulan madunya. #yoona
19,2021-11-11T18:53:34.000Z,"Araa
@shiberwoo_
·
Nov 12, 2021","nah iya boljug tuh,bali pantai nya bagus2 "
20,2021-11-11T18:01:55.000Z,"@yaelahhtania
·
Nov 12, 2021",klo lg gabut kadang sampe mikir apa stay di bali aja gitu yaa? kan di sonk banyak turis tuh sapa tau nyantol satu ketawa bgt wkwkwk
21,2021-11-11T17:32:49.000Z,"el
@lzjswy_L
·
Nov 12, 2021",i rasa kat bali tu paling jauh momota jalan memang kat lobby je dia tak pergi jalan tempat lain 
22,2021-11-11T17:28:26.000Z,"Raja Paido
@ufutureboyy
·
Nov 12, 2021","Selamat ulang taon wahai pemuda BALItar yg kini merantau ke Pulau BALi 
@senjapahlawn
 salam kebajikan orang islam, muka kristen "
23,2021-11-11T17:02:13.000Z,"annisa
@puppyyjw
·
Nov 12, 2021",liat sw sama sg tmn tmn pada upload foto kak hafez sama kak nashir. aku be like: allahuakbar seriusan ini rakernas di bali bulan depan? 
24,2021-11-11T16:56:39.000Z,"Joni yoe
@joniyang21
·
Nov 11, 2021",Tunggu 1 cent kita lihat bulan di pulau bali
25,2021-11-11T16:35:57.000Z,"light
@lightkunnnn
·
Nov 11, 2021","ayok live debat, yang kalah traktir tiket liburan ke Bali"
26,2021-11-11T16:30:37.000Z,"@darourie
·
Nov 11, 2021","aku tiap liat Vega malah kesian ama Mamanya. Kelihatan capek bgt. Perjalanan pesawat bawa bayi itu capeknya 3x lipat. Para athletes yg sendirian aja pada ngeluh.
You are so strong Mama Vega. Enjoy Bali, ya
Take some me time while your spouse off the court. Massage is the best."
27,2021-11-11T16:29:36.000Z,"karina
@dikapusu
·
Nov 11, 2021",gemes bgt sih liat ig story para atlet badminton luar di bali wkwk melokal bgt trs kayak bukan mau turnamen tapi liburan brg2
28,2021-11-11T16:21:58.000Z,"pinguin
@etheralwthu
·
Nov 11, 2021",Menurut gw ikut ekskul balet tuh mahal dan gak secantik orang yg tari Bali. Makannya gw ya pas SD nungguin sambil ya nyoba nyoba nari aja.
29,2021-11-11T16:10:59.000Z,"yca | mention after dm!
@pjsboba
·
Nov 11, 2021",wta… sanur itu apa di bali adanya sanur tu daerah.. pantai…
30,2021-11-11T16:06:18.000Z,"Bali Travego
@balitravego
·
Nov 11, 2021",Rental Mobil Di Bali - Paket Wisata Murah #rentalmobilbali #paketwisatabali #liburanbali #liburanbalimurah #sewamobilbali #balitravego
31,2021-11-11T16:05:19.000Z,"tamaraklesia :)
@tmrklesia
·
Nov 11, 2021","Semua org isi storynya pasti ada vega lucu banget btw, yuta bawa mama papanya sekalian liburan ke bali "
32,2021-11-11T16:04:21.000Z,"@lemonceri
·
Nov 11, 2021","Bagus deh diapus. Yg lain lagi pada happy ngeliat atlet2 happy di Bali, eh die malah dengki lihat si K happy repost foto bareng top player"
33,2021-11-11T16:04:05.000Z,"Black Diamond
@al__diamond
·
Nov 11, 2021","Atlet badminton dunia kek liburan bareng di bali. Ah pingin ketemu popor,meli,arisa, victor, alkane sma yuta"
34,2021-11-11T16:03:29.000Z,"Dewhy Nurfhadillah
@dhillahDNF
·
Nov 11, 2021",Ngeliat fotofoto para pemain batminton pengen langsung otw bali liburan 
35,2021-11-11T16:01:06.000Z,"@burgeonfire
·
Nov 11, 2021",kirain tbtb kamu solo trip ke bali makanya ilang
36,2021-11-11T15:59:58.000Z,"carot
@fruithazle
·
Nov 11, 2021","eh gataunya risa, sandra, fadil supresin nina mrk dtg ke bali ke villanya nina sumpah lucu bgt kan kaya gbs terpisahkan gt kl liburan hrs brg brg, gemeec langgeng ya samsolese"
37,2021-11-11T15:56:48.000Z,"cebink
@txtdrcebing
·
Nov 11, 2021","yaallah gua mah kl punya banyak duit mau bgt vacation di bali sebulan nyewa vila gede plus pool di seminyak atau nusa dua tiap dua hari sekali spa, tiap sore ke cafe pinggir pantai yang minumannya aja satunya cepe sambil liat sunset malemnya metime bubble bath pake lampu ala ala"
38,2021-11-11T15:54:56.000Z,"emon
@monalenasinaga
·
Nov 11, 2021","Mereka punya grup chat gak ya, MS Bali 2021  atau MD - Bali 2021  terus abis foto dikirim di grup, pasti paling banyak foto mas anton "
39,2021-11-11T15:45:20.000Z,"I Wayan Alfarizi
@bakmipunksyit
·
Nov 11, 2021","Bisa sekalian promosiin wisata di bali, karna nyatanya atletnya juga pada seneng main di bali bisa liat pantai pas senggang"
40,2021-11-11T15:39:00.000Z,"AA
@fisyhrn
·
Nov 11, 2021",Yuta bawa ortu ke bali? Wawawaaa adeeek kerja bawa ortu sekalian liburan ya
41,2021-11-11T15:28:42.000Z,"pine green
@chocomintsoul
·
Nov 11, 2021","Ttg liburan keluar kota yg gagal uda ke 3x, dr gagal ke bromo sm gagal kabur ke bali jaman perpantian "
42,2021-11-11T15:54:56.000Z,"emon
@monalenasinaga
·
Nov 11, 2021","Mereka punya grup chat gak ya, MS Bali 2021  atau MD - Bali 2021  terus abis foto dikirim di grup, pasti paling banyak foto mas anton "
43,2021-11-11T15:45:20.000Z,"I Wayan Alfarizi
@bakmipunksyit
·
Nov 11, 2021","Bisa sekalian promosiin wisata di bali, karna nyatanya atletnya juga pada seneng main di bali bisa liat pantai pas senggang"
44,2021-11-11T15:39:00.000Z,"AA
@fisyhrn
·
Nov 11, 2021",Yuta bawa ortu ke bali? Wawawaaa adeeek kerja bawa ortu sekalian liburan ya
45,2021-11-11T15:28:42.000Z,"pine green
@chocomintsoul
·
Nov 11, 2021","Ttg liburan keluar kota yg gagal uda ke 3x, dr gagal ke bromo sm gagal kabur ke bali jaman perpantian "
46,2021-11-11T15:25:22.000Z,"klar mt after dm
@klarisaurus
·
Nov 11, 2021",bener2 buka ig tiap hariiiii ada yg ke bali. sungguh w kayak ikut liburan tiap hari 
47,2021-11-11T15:24:56.000Z,"𝓙𝓲𝓼𝓮𝓵
@janerubyu
·
Nov 11, 2021","RT BadmintonTalk: Kalau yang lain bawa anak istri, dek Yuta Watanabe ditemenin mami papinya ke Bali.

Foto dulu sama abang concierge.

#In…"
48,2021-11-11T15:24:00.000Z,"klar mt after dm
@klarisaurus
·
Nov 11, 2021","dipikir2 gak butuh2 amat pergi ke bali... sepanjang temen2 w ada yg ke sana dan bikin story bagus2, it's enough "
49,2021-11-11T15:23:20.000Z,"rin søgaard
@azzhrinn
·
Nov 11, 2021",berarti ke Bali ini beneran liburan yaa. beberapa ortu atlet jg pada ikut
50,2021-11-11T15:22:23.000Z,"• kcressie •
@Lyracressi
·
Nov 11, 2021","Fue punya temen si F,  G,  R nah si G sama F mau liburan tahun ini ke bandung sedangkan gue maunya ke bali aja  nah si R belom nentuin mau ngikut yg mana.sedangkan gue udah bilang ke si R ""kalo lu ikut ke bandung sama F juga G fue bakal tetep kebali sendirian"""
51,2021-11-11T15:18:54.000Z,"Hello there!
@dinaasbrn
·
Nov 11, 2021","Lucu banget gasi liat atlet atlet badminton yang di bali, berasa lagi gathering liburan gitu"
52,2021-11-11T15:17:52.000Z,"tehkotak
@Tehmanisbangets
·
Nov 11, 2021","Jadi kaya lagi pada liburan keluarga sambil arisan di bali yaa gengss, abis tuuu sat set sat set lagi dilapangan ~"
53,2021-11-11T15:01:16.000Z,"MAS-GUS
@gusti_lah
·
Nov 11, 2021",Yuk nabung serius ini mah pengen ke bali dah biar bisa ikut cerita yang topiknya liburan ke Bali
54,2021-11-11T14:54:03.000Z,"roothie toothie
@sstarkchan
·
Nov 11, 2021","atuy keknya lagi bener2 nikmati liburan di bali yaa sampe lupa update story? gapapaaa sih, tapi kangen :("
55,2021-11-11T14:50:46.000Z,"Ram
@inisialdiram
·
Nov 11, 2021",Lagi iki enek projek tapi bayaran nunggak 5 bln -_- bos e isok e liburan nak bali 
56,2021-11-11T14:47:53.000Z,"Resturito
@servisouva
·
Nov 11, 2021","Di Bali ada bulu tangkis & di Lombok ada balap motor, dua ikon wisata Indonesia sedang didatangi oleh atlet mancanegara dan menjadi sorotan dunia. Semoga acara yang akan digelar bisa berjalan dengan lancar tanpa ada gangguan dari pihak manapun."
57,2021-11-11T14:33:39.000Z,"Cinta
@cccintaaaaa
·
Nov 11, 2021","Wkwkwk udh 2 bulan di eropa sampe bali ga ada fotonya samsek i mean foto dia dimana gitu, di eiffel kek, atau di luar gitu suasana eropa ya kan"
58,2021-11-11T14:26:53.000Z,"chandler's
@Awkoakwoakwok
·
Nov 11, 2021",benerrr kalo diseriusin tari2an gitu tuh keren banget cuma ya nyiksa badannya itu yang nggak sanggup :((( setaunan deh kayaknya itu juga cuma belajar aja karena terpaksa disuruh pilih ekskul di sekolah dan pilihannya gaenak semua akhirnya pilih tari bali aja awkoakwoakwok
59,2021-11-11T14:25:07.000Z,"Budidaya KKP (DJPB)
@BudidayaKKP
·
Nov 11, 2021","Myanda Agatha Ginting meraih peringkat 3 dalam kategori Lomba Tulisan Opini dan I.G. Uttaram meraih peringkat 3 dalam kategori Lomba Foto Internal (11/11)
#akuakulturuntukmasadepan
#MenteriKelautanPerikanan
#SaktiWahyuTrenggono
#kkprebound
#ekonomibiruuntukindonesia
#bali"
60,2021-11-11T14:24:57.000Z,"Vikeeya
@vikeeya
·
Nov 11, 2021",DIliat2 ini yg ke bali vibes2 liburan amat ga ada vibes2 turnamennya
61,2021-11-11T14:23:21.000Z,"ubi ubi an
@ubi_cilembuuw
·
Nov 11, 2021",BAWA AKU KE BALI PLISS PEN IKUTAN LIBURAN
62,2021-11-11T14:13:34.000Z,"close
@pdukark
·
Nov 11, 2021","Mumpung di Tanggal yang cantik ada Harga Gledek Online Tiket Week aku mau OTW sama keluarga ke Bali pake 
@tiket
 , lumayan banget kan , OTW Liburan Lagi"
63,2021-11-11T14:13:09.000Z,"soshi win
@soshi1506
·
Nov 11, 2021","Mau OTW Bali atau OTW Singapura? takut kantong bolong? Tenang aja Guise karena di Tanggal yang cantik di Harga Gledek ini kan 
@tiket
 ada Online Tiket Week dengan Harga Gledek nih + dapat diskon jugakk, dijamin liburan anti boros deh  , terbaik nih , OTW Liburan Lagi"
64,2021-11-11T14:12:56.000Z,"windkie
@windkie
·
Nov 11, 2021","Ayok siapa yang mau OTW Bali bareng aku karena aku beli tiketnya anti mahal makanya traktir kalian, belinya di 
@tiket
 pakai Harga Gledek beli Online Tiket Week dijamin murah meriah dan berdiskon yeayy   , terbaik nih , OTW Liburan Lagi"
65,2021-11-11T14:25:07.000Z,"Budidaya KKP (DJPB)
@BudidayaKKP
·
Nov 11, 2021","Myanda Agatha Ginting meraih peringkat 3 dalam kategori Lomba Tulisan Opini dan I.G. Uttaram meraih peringkat 3 dalam kategori Lomba Foto Internal (11/11)
#akuakulturuntukmasadepan
#MenteriKelautanPerikanan
#SaktiWahyuTrenggono
#kkprebound
#ekonomibiruuntukindonesia
#bali"
66,2021-11-11T14:24:57.000Z,"Vikeeya
@vikeeya
·
Nov 11, 2021",DIliat2 ini yg ke bali vibes2 liburan amat ga ada vibes2 turnamennya
67,2021-11-11T14:23:21.000Z,"ubi ubi an
@ubi_cilembuuw
·
Nov 11, 2021",BAWA AKU KE BALI PLISS PEN IKUTAN LIBURAN
68,2021-11-11T14:13:34.000Z,"close
@pdukark
·
Nov 11, 2021","Mumpung di Tanggal yang cantik ada Harga Gledek Online Tiket Week aku mau OTW sama keluarga ke Bali pake 
@tiket
 , lumayan banget kan , OTW Liburan Lagi"
69,2021-11-11T14:13:09.000Z,"soshi win
@soshi1506
·
Nov 11, 2021","Mau OTW Bali atau OTW Singapura? takut kantong bolong? Tenang aja Guise karena di Tanggal yang cantik di Harga Gledek ini kan 
@tiket
 ada Online Tiket Week dengan Harga Gledek nih + dapat diskon jugakk, dijamin liburan anti boros deh  , terbaik nih , OTW Liburan Lagi"
70,2021-11-11T14:12:56.000Z,"windkie
@windkie
·
Nov 11, 2021","Ayok siapa yang mau OTW Bali bareng aku karena aku beli tiketnya anti mahal makanya traktir kalian, belinya di 
@tiket
 pakai Harga Gledek beli Online Tiket Week dijamin murah meriah dan berdiskon yeayy   , terbaik nih , OTW Liburan Lagi"
71,2021-11-11T14:10:48.000Z,"twxnklie | follback!
@twxnklie
·
Nov 11, 2021","Gaes udah denger belum kalo di Tanggal yang cantik di Harga Gledek ini 
@tiket
 ngadain promo Online Tiket Week dengan Harga Gledek lho, cuss pesan sekarang biar ga kehabisan biar OTW Bali juga makin cepet khannn  , lumayan banget kan , OTW Liburan Lagi"
72,2021-11-11T14:10:34.000Z,"Guhara
@guhaining
·
Nov 11, 2021","Kadang suka bedmud juga nih kalo di Tanggal yang cantik di Harga Gledek gini ngga OTW, OTW Bali sekalian ah kan aku pesan tiketnya di 
@tiket
 beli Online Tiket Week Harga Gledek banget, kantong aman nih karena dapat diskon 50% hehee  , lumayan banget kan , OTW Liburan Lagi"
73,2021-11-11T14:10:14.000Z,"Fubaiyih
@guinnmiyahh
·
Nov 11, 2021","Mau OTW Bali atau OTW Singapura? takut kantong bolong? Tenang aja Guise karena di Tanggal yang cantik di Harga Gledek ini kan 
@tiket
 ada Online Tiket Week dengan Harga Gledek nih + dapat diskon jugakk, dijamin liburan anti boros deh  , lumayan banget kan , OTW Liburan Lagi"
