,0,1,2
0,2022-10-20T23:09:19.000Z,"αℓ
@mochhiiy
·
Oct 21, 2022",last day di pulau bali 
1,2022-10-20T22:31:43.000Z,"@cronashi
·
Oct 21, 2022","Hal yang paling kusyukuri adalah papa dan mama merantau ke manado, dan gak tinggal bermasyarakat di bali. Bali seru, asik, budayanya keren. Tapi aku sangat sangat sangat gak bisa kalo harus tinggal, bermasyarakat di sini terus tiap hari ngadepin budaya patriarkinya."
2,2022-10-20T22:26:26.000Z,"je
@coblosjywn
·
Oct 21, 2022","INI BETULL JIRR pas st ke bali kan ada rest di skitaran malang-jogja, itu smua masjid ada kolam gini.. pling prah masjid yg di malang dket wisata apel itu dsitu dalem bgt bnrn smpe lutut. jd mw solat kek ada rintangan menyebrangi danau dlu kasian yg pake jeans, ky abis ngobak"
3,2022-10-20T21:19:27.000Z,"Loi
@Loivinn_
·
Oct 21, 2022","Kalo pergi dari Bali sedih karna tempatnya. Sekarang pergi dari Jakarta sedih karna orang-orangnya. Lingkungan ter-aman buatku, walaupun kalo cerita pasti orang lain bakal ""eh bego bgt."""
4,2022-10-20T21:05:03.000Z,"noeyeyah
@chinmayPaarth6
·
Oct 21, 2022","Jadi tahun lalu pergi ke semarang pas belanja kan dapet plastik karena di bali udah gapernah pake plastik jadi sampe mastiin sama mba mbaknya, mbak ini beneran dapet atau bayar lagi . Sama agak shock waktu ke luar bali rumah orang orangnya jarang ada pagar"
5,2022-10-20T18:21:16.000Z,"Im Yoona
@The_Yoona
·
Oct 21, 2022",YoonA memilih Pulau BALI sebagai tempat bulan madunya. #yoona
6,2022-10-20T18:13:46.000Z,"B4STtaarrd
@b4st1d
·
Oct 21, 2022","#dramainstagram

7 dari 10 Selebgram yang gw follow is sekong...

Baru aja kejadian eue2 1 dari 4/7 lagi liburan di Bali dahal dia baru balik dari LaVel!!

Dan ada 3 dari 7 itu langsung pasang ""harga"" ketika gw comment Story-nya...."
7,2022-10-20T17:38:02.000Z,"x𝗽𝗿𝗮𝘆𝗼𝗴𝗮
@psychedeIies
·
Oct 21, 2022","Trending twitter bulan ini lumayan unik-unik juga ya. 
- cowok mau makan tai sm pipis cewek dan dijadiin “slave” 
- cewek vs cewek perkara foto selfie viral
- banjir di Bali 
- film aku tayang di dua film festival jkt sm bali  (ini gak trending) 

Drama apalagi ya?"
8,2022-10-20T16:58:02.000Z,"ann
@bottdle
·
Oct 20, 2022","yang pas tmi bali tu ada foto mashiho diambil dari fans, kulitnya seputih pasir pantai"
9,2022-10-20T16:41:20.000Z,"JUAL FROZEN FOOD
@sultanfrozen
·
Oct 20, 2022","Kerja dari jam 8 sampe jam 10, kadang lanjut jam 2 sampai 3.
Fasilitas? Makan sama dibantu cicil rumah/kendaraan, tiap tahun liburan paling sering ke Bali wkw sampe bosen
Gaji? Bebas, yang penting tau diri.
Hybrid.
Lokasi, 5 menit dari rumah."
