,0,1,2
0,2021-12-04T23:44:44.000Z,"Gue Kepo MasBuLoh
@GueKepoMasBuLoh
·
Dec 5, 2021",Liburan ke Bromo atau ke Bali?
1,2021-12-04T23:42:24.000Z,"yun
@hisnameisjeno
·
Dec 5, 2021","ayahku krja jadi sopir di hotel gitu kak. 
nah kakak tau kan di bali itu banyak turis asing yg sering dtg kesini. jd gt deh, ayahku kenal baik gt sm tamunya, jd dikasih deh sepatunya. 
ayahku emg bnyk kok pny temen"" bule gt gara"" kenal pas ayah nganter"" tamunya pas masih di bali."
2,2021-12-04T23:31:31.000Z,"si rijal
@mepetkiri
·
Dec 5, 2021","Lagi ngebayangin liburan di Bali, duduk di kolam renang hotel berbintang dgn view pantai sambil sarapan menu sehat bersama pasangan. Eh tiba2 token listrik bunyi."
3,2021-12-04T23:28:24.000Z,"BALI MERDEKA
@bali_merdeka
·
Dec 5, 2021","Biarlah Bali bukan pulau yang besar, tapi rakyat Bali selalu bersatu. Melindungi dan menjaga Bali! Merdeka!"
4,2021-12-04T23:04:43.000Z,"Jiah Al Jafara
@jiahaljafara
·
Dec 5, 2021",Gak semua pantai ada mangrovenya. Jadi penasaran yang di Bali kaya apa. Pasti keren karena jadi percontohan
5,2021-12-04T22:32:37.000Z,"Lei
@simp4mrklee
·
Dec 5, 2021","pgn liburan tp yg gamau dket2,  pgn ke Bali trus ngeliat tiket PP 6 jt gue mnta maap mending di rumah rebahan."
6,2021-12-04T22:24:44.000Z,"zifa
@jiknou
·
Dec 5, 2021","ji bali, ino bandung
ceritanya ji turis malaysia yang tersesat"
7,2021-12-04T18:10:52.000Z,"Amarrylan
@amarrylan
·
Dec 5, 2021","Ga mau nyoba, tapi disuru rapat di sini. Jadi ya aku tu manut aja de  Mo curhat gw, dari tgl 2 gw di Bali tapi ga sempet kemana2 HAHAHAHA padahal tinggal jalan 3km dah ketemu pantai "
8,2021-12-04T17:59:52.000Z,"꧋ꦏ꧀ꦭꦶꦮꦺꦴꦩ꧀
@AbishaVina
·
Dec 5, 2021","Kek'i urep jare resiko, di tari sek gae urep pengen bali mengko bingung"
9,2021-12-04T17:48:26.000Z,"Wiarpiz
@wiar_piz
·
Dec 5, 2021",Pulau Dewata Bali merupakan 1 dari 10 pulau paling romantis di dunia. [majalah Travel+Leisure]
10,2021-12-04T17:45:24.000Z,"SHAREloc
@jalanmuter
·
Dec 5, 2021","pernah ke kota lumajang, saat pulang perjalanan darat dr Bali. Sengaja dr arah pelabuhan Banyuwangi belok kiri melintas Jember."
