,0,1,2
0,2022-01-02T23:58:52.000Z,"Kaivan.
@gvratkisah
·
Jan 3, 2022",Salam kenal Rey. Saya Jun. Sekarang sedang sibuk liburan di Bali. Bagaimana denganmu?
1,2022-01-02T23:23:50.000Z,"Riza Hariati • 依扎/Icha
@rizahariati
·
Jan 3, 2022","Kalo caranya kek gini, kalian ga usah repot2 mikir bakal jadi presiden Indonesia. Karena paling2 ujung2 cuma tinggal pulau jawa doang sama bali"
2,2022-01-02T23:14:34.000Z,":v
@wibuenak
·
Jan 3, 2022","gak juga, biasa aja kalo bagi orang Bali sih kecuali tinggalnya di daerah pantai bisa aja sambil jalan2 disana"
3,2022-01-02T20:49:20.000Z,"sena
@upnyu
·
Jan 3, 2022",tungguin runaway trip gua ama habibi ke bali guys
4,2022-01-02T20:45:36.000Z,"Contact Center AP II
@contactap2
·
Jan 3, 2022","Halo kak 
@Nkt4962
 Dapat kami informasikan sesuai SE Satgas Covid-19 No. 22 Tahun 2021 dan SE Kemenhub Nomor 96 Tahun 2021 untuk rute penerbangan dari/ke/antar daerah di wilayah Pulau Jawa dan Bali (1)."
5,2022-01-02T19:43:53.000Z,"Sal
@hvtsleep
·
Jan 3, 2022","Pengen ke Jogja, Jakarta, Bali. Bener2 sepengen itu liburan. Banget banget banget"
6,2022-01-02T19:18:12.000Z,"Wiarpiz
@wiar_piz
·
Jan 3, 2022",Pulau Dewata Bali merupakan 1 dari 10 pulau paling romantis di dunia. [majalah Travel+Leisure]
7,2022-01-02T18:45:24.000Z,"alee
@hoqben
·
Jan 3, 2022",ada yg pernah solo trip ke Bali gak sih disini
8,2022-01-02T17:29:13.000Z,"JOKOWI ≠ OLIGARKI
@wahngarti
·
Jan 3, 2022",Mau ke bali hid? Ga ada referensi tempat wisata lainnya gue 
9,2022-01-02T17:23:04.000Z,"Arief Irawan
@irawanarief80
·
Jan 3, 2022",Kebelet banget liburan ke bali . Dan akhir nya gitukan .. maff ya itu salah sendiri ..
10,2022-01-02T17:20:23.000Z,"Rio Kharisma
@riokharisma_
·
Jan 3, 2022",road trip pake agya ke bali seru kali yaa
11,2022-01-02T17:08:41.000Z,"M ⁷
@pacarseokjinie
·
Jan 3, 2022","Sksksk
Jadi kepikiran ini ntik jadi liburan ke bali apa enggaaaa
Kok kayanya jauh jauuuh tempatnyaaa, huhuuuu"
12,2022-01-02T17:07:37.000Z,"ire. (blm up au)
@eclairedelange
·
Jan 3, 2022",bali 4 jam perjalanan masih di bali WKWKWKW
13,2022-01-02T23:23:50.000Z,"Riza Hariati • 依扎/Icha
@rizahariati
·
Jan 3, 2022","Kalo caranya kek gini, kalian ga usah repot2 mikir bakal jadi presiden Indonesia. Karena paling2 ujung2 cuma tinggal pulau jawa doang sama bali"
