,0,1,2
0,2022-04-29T23:08:41.000Z,"devilicious
@d3vilicious
·
Apr 30, 2022","That's what I heard. Tapi masih dibelain juga. Sekarang biarin aja mereka berulah berbuat kriminal di Bali, kalo turis lain dah muak gak mau datang yg rugi mereka sendiri."
1,2022-04-29T23:04:27.000Z,"TheCrazyChicken
@OnlyOnesia
·
Apr 30, 2022","Turis mereka di Bali juga suka berulah, termasuk ketika bikin content video."
2,2022-04-29T22:51:56.000Z,"icha
@cutiefortpeat
·
Apr 30, 2022","Masa aku ngimpi aku, victor sama Alden liburan ke bali, trs nginepnya tuh di kencana hotel, hotelnya tuh bgs bgt ada waterboom nya"
3,2022-04-29T21:36:24.000Z,"#GOthamSiti
@kangnugo85
·
Apr 30, 2022","Paling ideal desa wisata dikelola desa & dikembangkan ku desa sendiri via BUMDes, korporasi desa dll. Siga konsep di Bali, Jogja, dll. Problem di Jabar byk yg dikelola ku org Jkt, masy lokal cm jd pegawe biasa."
4,2022-04-29T21:09:11.000Z,"Made in Indonesia
@MadeSupada
·
Apr 30, 2022","Kalo saya boleh saran...mbak 
@SisiwittFrida
  mesti belajar banyak berbahasa inggris atau asing sama tukang asongan di pantai Kuta Bali...! Spontanitasnya lebih berasa...!"
5,2022-04-29T18:53:39.000Z,"hihang hoheng
@august8pm
·
Apr 30, 2022",Hee nek pengen adem slimutan kain pantai bali
6,2022-04-29T18:38:31.000Z,"tom's enterprise
@tomenterprise
·
Apr 30, 2022","30 menit lu bantul jogja 

Sama sama pantai selatan dr jawa menjalar selatan bali dan selatan lombok

Serem ini atap kosan gemuruh gitu kedengeran kenceng"
7,2022-04-29T18:00:33.000Z,"Name cannot be empty
@Yourqueennns
·
Apr 30, 2022","Yey !!!
Liburan ke Bali ntar ada temen yuhuuu~"
8,2022-04-29T17:27:30.000Z,"Piput
@misspiput
·
Apr 30, 2022","Kan, ngopi+rokok tuh bikin ga pengen makan.
Aku kan pernah tinggal di mertasari, klo pergi kerja mampir kopi bali yg di bypass sanur, di situ americano-nya enak bgt, ketagihan ngopi deh"
9,2022-04-29T17:25:23.000Z,"@copaibathieves
·
Apr 30, 2022","Nyawang story kanca kancane bali kerjo do nyanding bojone jan wissss melu seneng tenan aku, bismillah wisata masa depan"
10,2022-04-29T17:12:03.000Z,"Haitooo
@HitohitomiNika
·
Apr 30, 2022",Keluar pulau dongg (ke bali)
11,2022-04-29T17:06:56.000Z,"Lialiohooo
@chirativatlia
·
Apr 30, 2022",Cindy Cenora - Pulau Bali
12,2022-04-29T17:02:00.000Z,"kucing
@____fajar
·
Apr 30, 2022",Bali berhasil menjadi tujuan wisata karena berhasil dengan mempertahankan kebudayaan leluhurnya.
13,2022-04-29T16:37:50.000Z,"seana
@seanaana_
·
Apr 29, 2022","Kangen bangett loh mas, keliling jogja, terus liburan bareng. Padahal masih ada our wishlist untuk visit bali juga bromo huhuhu. Miss u badly dear:("
14,2022-04-29T15:39:46.000Z,"yuka
@kakatuano
·
Apr 29, 2022",Ini membre ngga ada yang mau liburan ke Bali gitu? Nyusulin saya disini 
15,2022-04-29T15:30:32.000Z,"Eunoia
@hima_himako51
·
Apr 29, 2022",33. selama  ke bali ga main di pantai
16,2022-04-29T15:17:58.000Z,"K E T E L
@ketelizm
·
Apr 29, 2022","Ngecek tiket Jakarta-Bali di traveloka sudah normal gaes (+-900k). 

Jadi mikir 

November-Desember 2021 kemarin masih bisa sebulan sekali pergi kesana karena tiketnya masih dapet +-1jt buat pulang pergi "
17,2022-04-29T14:55:53.000Z,"y
@percy_jtlt
·
Apr 29, 2022","di bali bukan liburan, tapi nugas dengan air mata"
18,2022-04-29T14:16:24.000Z,"cimol k/ia
@kagsbbio
·
Apr 29, 2022","ke bali uyyy, ga tidur di perjalanan "
19,2022-04-29T13:58:15.000Z,"neng geulis
@chlstann
·
Apr 29, 2022",excited bgtt lebaran taun ini di bali wkwk lebih ke liburan ya say bukan lebaran
20,2022-04-29T13:42:43.000Z,"arb
@aknbcot
·
Apr 29, 2022",juara tapi gaji pemain ga di bayar ibarat liburan ke bali pake pesawat udah sampe gamau bayar 
21,2022-04-29T13:00:24.000Z,"Haitooo
@HitohitomiNika
·
Apr 29, 2022",Mau kemana tia? Jgn pergi dari bali 
22,2022-04-29T12:30:01.000Z,"in the sky in the smoy
@nyomskyy
·
Apr 29, 2022","Blm move on dari 2521.
Mau youtube musik, bosen.
Channel tari bali blm ada yg baru.
Video abi Quraish dah abis ditonton.
Mau nonton Habib Husein byk editan vid spam nya.
Estes deui kituuuuu?? Road to gloryyyyy cussssssss!!!!"
23,2022-04-29T11:57:33.000Z,"ruwnaaa
@cranesbillxyris
·
Apr 29, 2022","keknya kalo pergi kmn gt enak kali yak, ok pak barang, berjalan jalan aja dlu, siapa tau sampe Bali"
24,2022-04-29T11:38:57.000Z,"COLLEGE / CAMPUS BASE
@schcampus
·
Apr 29, 2022","SchApp! Kakak kakak ada yang daftar beasiswa inspiratif ga disini?

✄・・・
 Trivia: Hak Tawan Karang menjadi penyebab pecahnya Perang Puputan di Pulau Bali"
25,2022-04-29T11:36:27.000Z,"rezt,
@artcmys
·
Apr 29, 2022","dititipin kura² kecil sama tante soalnya liburan ke bali.. GEMES BANGET WOI, jadi pengen piara sendiri juga"
26,2022-04-29T11:32:40.000Z,"Ardi
@Ardianale
·
Apr 29, 2022",Bali itu pulau dewata. Kamu itu orang yang kuinginkan hidup bersama secara dewasa. steffizmr15
27,2022-04-29T11:22:19.000Z,"Deny
@Denald
·
Apr 29, 2022","Seorang teman nanya, ke Bali ke mana saja? Saya jawab : ya segala macam pantai lah, ke mana lagi. Saya sukanya pantai. Balas dendam di NL ga ada pantai yg kece. Plus berburu makanan

Mau lihat sawah, di desa sendiri sudah bertebaran sawah. Jadi ya, saya puas2kan berwisata pantai."
28,2022-04-29T10:57:56.000Z,"Deleteee
@indomiekarisoto
·
Apr 29, 2022",Liburan ke mana nih? Seputaran Bali? Wkwk
29,2022-04-29T11:36:27.000Z,"rezt,
@artcmys
·
Apr 29, 2022","dititipin kura² kecil sama tante soalnya liburan ke bali.. GEMES BANGET WOI, jadi pengen piara sendiri juga"
30,2022-04-29T11:32:40.000Z,"Ardi
@Ardianale
·
Apr 29, 2022",Bali itu pulau dewata. Kamu itu orang yang kuinginkan hidup bersama secara dewasa. steffizmr15
31,2022-04-29T11:22:19.000Z,"Deny
@Denald
·
Apr 29, 2022","Seorang teman nanya, ke Bali ke mana saja? Saya jawab : ya segala macam pantai lah, ke mana lagi. Saya sukanya pantai. Balas dendam di NL ga ada pantai yg kece. Plus berburu makanan

Mau lihat sawah, di desa sendiri sudah bertebaran sawah. Jadi ya, saya puas2kan berwisata pantai."
32,2022-04-29T10:57:56.000Z,"Deleteee
@indomiekarisoto
·
Apr 29, 2022",Liburan ke mana nih? Seputaran Bali? Wkwk
33,2022-04-29T10:55:20.000Z,"Rommy
@Rommy123_
·
Apr 29, 2022","Meskipun perjalanan panjang, tp tdk ada rasa bosan sama sekali. Duduk diatas kapal dengan secangkir kopi sambil memandang lautan dan menikmati sunset . Bahkan kalau beruntung kita bs menlihat lumba2 di perairan bali."
34,2022-04-29T10:35:35.000Z,"m
@_meeyeuh
·
Apr 29, 2022",KMREN TETANGGA (masih ada keluarga dikit) mau liburan ke bali :) trus td pagi dapat telpon keluarga sana nya lagi laporan pindahan ke bali kekkkk wtf kan mau jgg
35,2022-04-29T10:12:54.000Z,"Ichwan Anto
@IchwanAnto1
·
Apr 29, 2022",Terpaksa mungkin ke Bali cari turis asing 
