,0,1,2
0,2022-05-16T23:54:39.000Z,"aan
@aan__
·
May 17, 2022",Bersyukur Ra. Bayangkan kami yang lagi di bali dan jogja masih liburan gimana panasnya huft
1,2022-05-16T23:29:03.000Z,"™
@akuikibutoijo
·
May 17, 2022","kata anak jakarta klo liburan di bali waktu cepat sekali berlalu, iyalah, kan bali 1 jam lbh cepat daripada jakarta zizizi..."
2,2022-05-16T23:26:22.000Z,"@prodbythemoon
·
May 17, 2022","aku mimpi lagi karya wisata sama pentagon ke bali. kino lucu banget, ketawa terus. :("
3,2022-05-16T23:21:17.000Z,"Roti Sobek Jimin
@dojahyelloww
·
May 17, 2022",temen gue mengajak liburan ke bali tapi gue saja lebih memilih rebahan di kasur ketimbang pergi2 mager betul akakakakka
4,2022-05-16T17:34:46.000Z,"FPY
@ladyfunnee
·
May 17, 2022",Pen ke bali supaya bisa jalan paginya ke pantai~ wkwk
5,2022-05-16T17:23:30.000Z,"Irsan Junud
@JunudIrsan
·
May 17, 2022","Aku mendapatkan senyummu, saat senja tiba. Saat biru laut menelan rona surya. Di sana, sepetak negeri bernama Turki. Lalu rindu memenuhi rongga malam. Di sini, sekeping pulau bernama....
Bali."
6,2022-05-16T16:31:14.000Z,"fin
@exxtaxxe
·
May 16, 2022",pengen liburan anjir. ke bali seminggu habis sejuta bisa ga y
7,2022-05-16T16:25:57.000Z,"Rulie Maulana
@ruliemaulana
·
May 16, 2022",Jadi inget skit Trevor Noah tentang wisata kemiskinan di Bali. Ada pasarnya yang gini ini.
8,2022-05-16T16:18:31.000Z,"Tirani LibasPersepsi Lukisan hidup berkanvas hitam
@malesaee
·
May 16, 2022",nonton Dewa (Ari lasso) ae seharga liburan Bali asoooo
9,2022-05-16T16:02:52.000Z,"zaaa
@zaezaaa_
·
May 16, 2022",Liburan ke jogja atau bali yu
10,2022-05-16T16:02:44.000Z,"Ardi
@Ardianale
·
May 16, 2022",Bali itu pulau dewata. Kamu itu orang yang kuinginkan hidup bersama secara dewasa. steffizmr15
11,2022-05-16T23:54:39.000Z,"aan
@aan__
·
May 17, 2022",Bersyukur Ra. Bayangkan kami yang lagi di bali dan jogja masih liburan gimana panasnya huft
12,2022-05-16T23:29:03.000Z,"™
@akuikibutoijo
·
May 17, 2022","kata anak jakarta klo liburan di bali waktu cepat sekali berlalu, iyalah, kan bali 1 jam lbh cepat daripada jakarta zizizi..."
13,2022-05-16T23:26:22.000Z,"@prodbythemoon
·
May 17, 2022","aku mimpi lagi karya wisata sama pentagon ke bali. kino lucu banget, ketawa terus. :("
14,2022-05-16T23:21:17.000Z,"Roti Sobek Jimin
@dojahyelloww
·
May 17, 2022",temen gue mengajak liburan ke bali tapi gue saja lebih memilih rebahan di kasur ketimbang pergi2 mager betul akakakakka
