,0,1,2
0,2022-06-29T22:48:14.000Z,"Di_Na
@DRoshifa
·
Jun 30, 2022","Punya temen yg perhatian tu masyaallah bgt. Di bulan juni ini banyak kejutan mulai dari ucapan dari temen² dan dosen dihari ultah waktu otw liburan ke Bali, makin deket ma temen, dll."
1,2022-06-29T22:46:59.000Z,"giiif
@gikkk__
·
Jun 30, 2022","Mimpi liburan ke bali, baru sampe nyanyi2 di dalem bis, trus udah pagi"
2,2022-06-29T22:32:47.000Z,"MukeLuJauh
@LuJauh
·
Jun 30, 2022","Diatas di jelasin klo lombok pulau seribu mesjid.Waktu saya kesana emng bener sih ketemu mesjid hadap hadapan Pas saya tanya rekan saya org lombok,kok bisa di lombok julukannya 'pulau seribu mesjid' ? kata beliau ingin menyaingi bali 'pulau seribu pura'.Oiya tp sangat disayang~"
3,2022-06-29T22:32:34.000Z,"sya
@pierzza
·
Jun 30, 2022",gua mimpi pergi sm lu ke bali semalem trs ketemu tmn lu yg namanya di.. siapa gt dpnnya di woiiii sumpah bgt gua yg nyetir mobil disana HAHAH RANDOMMMM
4,2022-06-29T22:22:42.000Z,"dhen bali
@dhen392532292
·
Jun 30, 2022",Yuk liburan ke bali
5,2022-06-29T22:16:44.000Z,"dhen bali
@dhen392532292
·
Jun 30, 2022",Liburan ke bali yuk
6,2022-06-29T22:15:05.000Z,"dhen bali
@dhen392532292
·
Jun 30, 2022",Cocok liburan ke bali
7,2022-06-29T22:10:19.000Z,"ian
@kangkung_694
·
Jun 30, 2022","Aku cukup minat no kat bawa, pernah naik flight pergi dn bali kapal yg sma dgn no yg kt bawa tu "
8,2022-06-29T21:32:59.000Z,"@fncytail
·
Jun 30, 2022","problematic, skip. mending liburan atau sekalian pindah ke bali"
9,2022-06-29T19:07:43.000Z,"shy
@Setiorita
·
Jun 30, 2022",Kerjaan w tiap hari pas lagi di poopie buka gallery liat foto dan video di Bali  gak bisa move on aku sis
10,2022-06-29T18:40:37.000Z,"nickway
@baenick9
·
Jun 30, 2022",Liburan ke bali tapi gak tau mau kemana (?)
11,2022-06-29T18:26:21.000Z,"hayoo siaapaa
@hayollo
·
Jun 30, 2022","Bisa bisanya ada ardhito pramono sama nadin amizah live performance di bali, pantai mertasari deket bgt tapi aku nggak tau 
Nangiiissss
Dua duanya kesayangan "
12,2022-06-29T17:40:10.000Z,"Pamungkas
@pamungkaas___
·
Jun 30, 2022","Yang pengen banget refreshing ke Bali atau pantai + pulau manapun, coba Retweet!?"
13,2022-06-29T16:41:12.000Z,"jinmilloo freetag
@xwin1st
·
Jun 29, 2022",emang lagi rame ya liburan ke bali?
14,2022-06-29T16:25:48.000Z,"@xafinan
·
Jun 29, 2022",Km kyk stress gitu pdhl lagi liburan di bali?¿¿
15,2022-06-29T21:32:59.000Z,"@fncytail
·
Jun 30, 2022","problematic, skip. mending liburan atau sekalian pindah ke bali"
16,2022-06-29T19:07:43.000Z,"shy
@Setiorita
·
Jun 30, 2022",Kerjaan w tiap hari pas lagi di poopie buka gallery liat foto dan video di Bali  gak bisa move on aku sis
