,0,1,2
0,2022-07-06T23:52:28.000Z,"devina bertha
@vintha_devina
·
Jul 7, 2022","Healing di Bali murah, cobain deh motoran aja terus ngopi pinggir pantai, ga sampe 30K ama jajanannya"
1,2022-07-06T23:47:20.000Z,"hubbyy
@liyarikihasan_
·
Jul 7, 2022","OPEN PROMO
#follbackNKRI
Izin 
@hemaviton99
Raja-raja Nusantara dan Dunia Gelar Pertemuan di Bali pada Agustus 2022

Promoter 
@HendraSien
Mentor @Just__Aya9

Cc
@BaraTerpendam
@LokoJoyo81
@fajarzalukhu
@liyarikihasan_
Reply
Festival Adat dan Budaya Nusantara
#GloryNKRI"
2,2022-07-06T23:34:38.000Z,"𝗣𝗮𝘄𝗶𝗲
@eaunha
·
Jul 7, 2022",kalau aku liburan ke bali hotelnya boleh disini?
3,2022-07-06T22:56:32.000Z,"jon otnos cucu pki
@Sagat79666746
·
Jul 7, 2022",islam nusantara pergi haji nya bukan nya ke bali pak 
4,2022-07-06T22:34:30.000Z,"Zebra Alfa Alfa Alfa
@NanoYankeeAlpha
·
Jul 7, 2022","eh ya sebenernya ga meng-cancel bahwa di Bali banyak kopi pagi yang enak, tapi tentu harus berkesadaran bahwa di daerah lain dengan budaya ngopi kuat, hal tersebut juga tersedia."
5,2022-07-06T22:01:16.000Z,"euden
@ikanleleikanh1u
·
Jul 7, 2022",gapapa nangis nangis dulu semangat ya cantik abis ini semangat lagi biar bisa liburan ke bali
6,2022-07-06T18:46:12.000Z,"ela
@ellalalaell
·
Jul 7, 2022","tari bali, pramuka, jurnalistik, komputer"
7,2022-07-06T16:51:48.000Z,"SF14N
@Suufeeiaan
·
Jul 6, 2022",First monkeypox case in SG. Please jgn lockdown dulu. Aku nk pergi bali next mth.
8,2022-07-06T16:45:50.000Z,"Buayabetinamu
@Lelah26554232
·
Jul 6, 2022",11. Waktu studytour di bali ke Pantai kuta ihhh ketemu turis ganteng2 yawlohh pengen bungkus ihhhh. 
9,2022-07-06T16:45:50.000Z,"sipalingpaling
@yunayunabiiii
·
Jul 6, 2022",Dan pas liburan ke bali bnr bnr jalan kaki pake mtr plingan malem. Seminggy lebih di bali jalan kaki kaki dan boking gw mkin kenceng
10,2022-07-06T16:42:06.000Z,"Salonpas
@Salonpaspas
·
Jul 6, 2022","Ldr ga lama, ga bisa tahan sange. Udah mau ons aja. Setelah ketemu ga ada rasa bersalah ngajak liburan ke bali. Kek hah sumpah ya muka tembok banget anjir."
11,2022-07-06T16:40:10.000Z,"Lee Shin Yong
@intimatehumann
·
Jul 6, 2022","Eh anak Bali nih??? Saranin kegiatan selain ke pantai dongg, nanti keknya mau liburan ke bali"
12,2022-07-06T16:45:50.000Z,"sipalingpaling
@yunayunabiiii
·
Jul 6, 2022",Dan pas liburan ke bali bnr bnr jalan kaki pake mtr plingan malem. Seminggy lebih di bali jalan kaki kaki dan boking gw mkin kenceng
13,2022-07-06T16:42:06.000Z,"Salonpas
@Salonpaspas
·
Jul 6, 2022","Ldr ga lama, ga bisa tahan sange. Udah mau ons aja. Setelah ketemu ga ada rasa bersalah ngajak liburan ke bali. Kek hah sumpah ya muka tembok banget anjir."
14,2022-07-06T16:40:10.000Z,"Lee Shin Yong
@intimatehumann
·
Jul 6, 2022","Eh anak Bali nih??? Saranin kegiatan selain ke pantai dongg, nanti keknya mau liburan ke bali"
15,2022-07-06T16:21:30.000Z,"안드레
@warriorshidae
·
Jul 6, 2022","Butuh liburan pake banget. Dan jujurly pengen ke bali lagi tapii mungkin kalo berangkat lagi bakal sendiri :"""
16,2022-07-06T16:05:17.000Z,"arga novand
@arga_novan
·
Jul 6, 2022",Masih ingat perjalanan dari bali ke maumere ntt. Mayoritas penumpangnya bule. Pas mendarat bulenya pada ketawa.
17,2022-07-06T15:55:47.000Z,"Muhamad Gugus Tri P
@mgpamungkas
·
Jul 6, 2022",trip ke Bali
18,2022-07-06T15:40:57.000Z,"@cheesebburgerrr
·
Jul 6, 2022","Gue suka bgt kulit coklat bahkan ini mau berjemur di pantai lagi tapi ga ada temen, cuman gue di Indonesia yg dimana putih lah yg cantik tapi gue kan tinggal di Bali yg dimana kulit coklat itu bagus "
19,2022-07-06T15:24:13.000Z,"Metasequoia
@KumisCapKucing
·
Jul 6, 2022","Di Indonesia, orang Aceh, Gayo, Minangkabau, Sunda, Jawa, Madura, Bali, Dayak, Batak, Nias, Toraja, Bugis, dll tetap dianggap sebagai etnisnya masing-masing. Kami mempunyai budaya dan bahasanya sendiri, tetapi kami mengaku satu sebagai bangsa Indonesia. Sederhana."
20,2022-07-06T15:22:03.000Z,"Alvin Kurniawan
@i_multistan
·
Jul 6, 2022","Sekarang lawannya club luar negeri pernah diadain di Bali tahun lalu lawan Barca, Atletico sama Bali United karena 1 peserta dari club Spanyol gak bisa pergi ke Indonesia"
21,2022-07-06T15:20:03.000Z,"Askrlfess
@Askrlfess
·
Jul 6, 2022",[askrl] yg udh pernah ke bali mau nanya dong kirakira kalo liburan kebali harus siapin budget min berapa yaaa? soalnya mau nabung untuk liburan akhir tahunn hehe
22,2022-07-06T15:14:24.000Z,".
@coreofme_
·
Jul 6, 2022","oiya mba dini td ada bilang ""mama lnd ga peduli loh sm bapak dr dulu, ini bapak udh cape2 besarin lnd eh mereka mau ambil lnd gitu aja""
mau bantah tapi bener, misal aku beneran jadi pergi ke bali or jkt, pasti dan aku yakin, lama kelamaan aku pasti ngelupain palembang.."
23,2022-07-06T14:52:10.000Z,"Oyong Kota Bebek
@Fido_Dildo
·
Jul 6, 2022","Aku cuma sedikit makan nasi malem ini eh adik dateng liburan dari Bali + Semarang bawain jenang Kudus, mochi, bakpia... Aku nyerah "
24,2022-07-06T14:46:00.000Z,"piii
@taeeetann
·
Jul 6, 2022","kepo sama yang katanya idol pergi ke bali, trs kepoin, trs kepincut jihoon, trs malah ngebiasin junkyu"
25,2022-07-06T14:39:19.000Z,"Enero.
@Eneroisbulking
·
Jul 6, 2022",Malibu nya Miley Cyrus ni mood banget deh buat mobilan pinggir pantai di Bali gitu
26,2022-07-06T14:33:40.000Z,"ha?
@stevfny
·
Jul 6, 2022","Pdhl gua sadar bgt loh posisi gua, makanya gua menjauh, gapunya duit , gapernah liburan ke bali, gapunya barang2 branded jd yaudah mending gua yg menghilang "
27,2022-07-06T14:04:21.000Z,"Bby!
@nolongerurbby21
·
Jul 6, 2022",Pusing banget klo punya 3 circle berbeda semua ngajak liburan barengan 1 ke bajo 1 ke bali 1 ke thailand sama singapore ya allah belah aku jadi 3 :( dan berikan hamba uang yg banyak
28,2022-07-06T13:59:57.000Z,"Re ⑰ {free tag ∞}
@renjanakota
·
Jul 6, 2022",1 pulau bali
29,2022-07-06T13:53:04.000Z,"dyahhh
@xzyhuangdyahp
·
Jul 6, 2022",Ke pantai lovina Bali aja junn kuyyy 
30,2022-07-06T13:35:54.000Z,"lagi rapuh
@ahlinafasbuatan
·
Jul 6, 2022","Dari awal corona sampe sekarang udah ngga pernah holiday, kayanya harus holiday tahun ini nih. Antara malang/bali, tinggal cari partner liburan nya aja "
31,2022-07-06T13:35:52.000Z,"ʀ ꜰ
@chaanRJ
·
Jul 6, 2022","10. Wardah UV Shield SPF 30

sebelum pke azarine, gue juga sempet pake ini. dan hebatnya, sunscreen ini beneran efektif buat nahan sinar uv padahal gue pake ga banyak terbukti pas gue ke pantai di bali, kulit gue ga belang padahal sinar matahari bali mantep banget kaannn"
32,2022-07-06T13:30:02.000Z,"DANIEL Strange.
@knostelasi
·
Jul 6, 2022","I learn how to spell it perfectly during the styling session. Ehe. I'm so lucky I can sleep anywhere, so yeah, I slept well last night.” Di pesawat.

Ya, Daniel harus melakukan perjalanan panjang setelah merampungkan rekam adegan film pendek di Bali."
33,2022-07-06T13:28:13.000Z,"PDI Perjuangan
@PDI_Perjuangan
·
Jul 6, 2022","“Dengan 7 ribu orang yang hadir di kegiatan Kongres dan Pesta Bolon, tentu akan mendongkrak hunian hotel serta restaurant di Pulau Dewata yang sejalan dengan semangat Pemerintah Provinsi Bali yakni sedang bekerja keras memulihkan ekonomi Bali."""
34,2022-07-06T12:58:26.000Z,"june
@honeyfloew
·
Jul 6, 2022","Wih udh 1M followers nih, met 1M followers wil. Kiw giveaway tiket liburan ke bali/jogja dong"
35,2022-07-06T13:30:02.000Z,"DANIEL Strange.
@knostelasi
·
Jul 6, 2022","I learn how to spell it perfectly during the styling session. Ehe. I'm so lucky I can sleep anywhere, so yeah, I slept well last night.” Di pesawat.

Ya, Daniel harus melakukan perjalanan panjang setelah merampungkan rekam adegan film pendek di Bali."
36,2022-07-06T13:28:13.000Z,"PDI Perjuangan
@PDI_Perjuangan
·
Jul 6, 2022","“Dengan 7 ribu orang yang hadir di kegiatan Kongres dan Pesta Bolon, tentu akan mendongkrak hunian hotel serta restaurant di Pulau Dewata yang sejalan dengan semangat Pemerintah Provinsi Bali yakni sedang bekerja keras memulihkan ekonomi Bali."""
37,2022-07-06T12:58:26.000Z,"june
@honeyfloew
·
Jul 6, 2022","Wih udh 1M followers nih, met 1M followers wil. Kiw giveaway tiket liburan ke bali/jogja dong"
38,2022-07-06T12:40:39.000Z,"𝔾ℝ𝕆𝔹𝕆𝔾𝔸ℕ𝕊 𝕃𝔸𝔻𝕊 ℂℝ𝔼𝕎
@0292crew
·
Jul 6, 2022","kalo enak mah jelas bali, nonton bola sambil liburan"
39,2022-07-06T12:38:19.000Z,"Pras
@udidntknowmeya
·
Jul 6, 2022","sumpah ya ternyata pantai di malang ga kalah bagus sama di bali, i love malang"
40,2022-07-06T12:18:51.000Z,"lilnai
@lilnai18
·
Jul 6, 2022","Mau liburan ke bali
#DuarDuarKembar"
41,2022-07-06T12:17:32.000Z,"Araminta
@makalormakalor
·
Jul 6, 2022","Bahkan di Bali pun bangunan tidak boleh lebih dari 15 meter. Hanya GWK saja yg melebihi itu. Candi Prambanan, Borobudur, dan Mendut saja ketinggiannya melebihi 15 meter. Apakah mrk akan mengatakan bahwa kebijakan spt itu adlh kebijakan yg kuno dan tertinggal berabad2 lamanya?"
42,2022-07-06T12:16:53.000Z,";
@fgrananda
·
Jul 6, 2022","Trauma bgt anjir make ini pas lagi study tour ke Bali di pantai kena ombak ni sendal bisa²nya copottt kebawa arus pdhl tali yg bisa dinaikinnya w turunin gegara takut kebawa ombak; ehhh gangaruh

Sepanjang jalan balik ke bis nyari org jual sandal untung ada"
43,2022-07-06T12:05:49.000Z,"zaya
@zayaeng_
·
Jul 6, 2022","kangen dehh, eh btw foto sing pas ng bali dwk sempet selfie kan? Esih ana ora?"
44,2022-07-06T12:01:29.000Z,"yuna²⁵
@sxftbbyblue
·
Jul 6, 2022",Orng bali apa lg liburan di bali kak?
45,2022-07-06T11:44:24.000Z,"cottoncandy
@najilakhansa
·
Jul 6, 2022",Ibu dipulau Bali anaknya di pulau Sumatera nanti ketemunya di Jakarta
46,2022-07-06T11:44:14.000Z,"yukbisayuk
@besokcobaaja
·
Jul 6, 2022","fase capek lihat akun utama, close friend dan second accound temen kek beda kepribadian anjir liburan ke bali di first account pake jilbab, close friend rambut badai kelek an, second acc pake bikini.. HEYY aku terima km apa adanya! tp aku yg lihat pun capek km g capek apa??!"
47,2022-07-06T11:42:08.000Z,"Ony Saputra
@onysaputra
·
Jul 6, 2022",Aku tipe orang yang ga pernah mentingin penampilan dari masih SD sampai Kuliah. Setelah liat foto di Bali jaman KKL jadi pengen ngulang kesana 
48,2022-07-06T11:28:46.000Z,"𝙷𝚊𝚔𝚞𝚗𝚊 𝙼𝚊𝚝𝚊𝚝𝚊 
@hasugian_
·
Jul 6, 2022","Aku sempat khawatir apa bisa si Nonik ini yg notabene udah hampir 70 umurnya jalan2 ke Bali sana perjalanan panjang naik kapal trus bus juga, tapi barusan aku telpon segar bugar bah dia, ah puji Tuhan."
49,2022-07-06T11:15:05.000Z,"Justin
@justin_justwin
·
Jul 6, 2022","Mck, Bela²-in ngurus ijazah duluan karena takut keluarnya pas dah pergi ke Bali nanti, eh, ternyata keluar serentak besok untuk seluruh siswa. Tau gitu besok aja anjirr, mana dah 2 kali bolak-balik ke sekolah, ikut besok 3 kali karena tadi belum ditandatangani."
50,2022-07-06T11:03:47.000Z,"Sapawarga
@sapawarga_jabar
·
Jul 6, 2022",Capaian vaksinasi COVID-19 di luar Pulau Jawa-Bali terhitung masih rendah.
51,2022-07-06T10:53:17.000Z,"Jeha
@beachiampoor
·
Jul 6, 2022","Walaupun indo target pasarnya, tapi peran nct dream nih bagus banget loh bisa ngenalin makanan tradisional Indonesia, tempat tempat bagus di Jakarta ( GAK CUMA BALI DOANG), ngenalin budaya warisan batik, tari tradisional dll. Thank you NCT "
52,2022-07-06T10:51:05.000Z,"@audiensea
·
Jul 6, 2022",Masih menjadi misteri knapa klo foto kelas ditempat wisata aku suka ketinggalan alias gk ke ajak:') dulu waktu di Jogja sama IPA 1 gk ikut foto klas karna lagi di toilet. Sekarang waktu di Bali juga ketinggalan pas lagi di toilet. Mengsadd
53,2022-07-06T10:42:56.000Z,"div
@purpleisdiv
·
Jul 6, 2022","Terkenal nder, mungkin karena di Bali gitu jd kayakk susah mau beda pulaunya I mean buat org2 yg punya ortu syg bgt sm anaknya, buat ngekos dan beda pulau sm ortu agak susah izinnya pdhl sbm jg aku pengen ke unud, tp udh gk boleh pas bilang itu di Bali:"""
54,2022-07-06T10:36:27.000Z,"Cerah Bersinar
@Sunyshine9
·
Jul 6, 2022",Pengen liburan kyk di vlognya bang wili. Alias pengen bgt ke Bali  #DuarDuarKembar
55,2022-07-06T10:23:13.000Z,"si Rambut Ubanan
@aunb132
·
Jul 6, 2022",Met menikmati liburan di Bali
56,2022-07-06T10:04:15.000Z,"-
@masrud_
·
Jul 6, 2022","rencana sih pulau liburan trus nginep di pulau kapuk sebelahnya tabanan bali, tapi kalo ke pulau kapuk nggak jadi kita bakalan ke greed island, klo greed island gagal lagi mau ke isekai, kalo semuanya gagal yaudah ke telaga sarangan aja mam pecel.
#DuarDuarKembar #DuarDuarKembar"
